지점,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28,2017-05-29,2017-05-30
달서구,22,16,19,26,23,26,24,34,30,17,32,33,23,15,11,14,23,33,27,23,25,26,28,31,20,9,15,25,29,43
달성군,23,17,20,19,17,16,16,24,17,13,23,25,17,12,9,12,20,27,25,19,22,23,21,23,17,9,13,21,24,32
동구,18,13,17,26,24,32,24,31,30,18,30,31,24,13,10,12,23,30,23,20,24,26,26,31,10,5,12,23,24,36
동구,20,12,15,22,26,28,23,31,30,23,34,33,24,15,11,14,24,28,22,18,23,28,28,35,27,7,14,25,25,36
북구,22,14,23,30,32,39,26,36,39,27,39,47,31,16,15,17,20,37,27,25,26,32,40,39,30,11,19,27,32,41
북구,25,12,19,26,24,29,26,34,32,19,31,35,22,13,11,12,23,29,21,15,19,26,27,30,23,8,12,22,23,30
서구,19,11,21,30,25,25,20,30,29,23,35,41,25,13,11,13,26,37,25,20,21,25,27,35,25,8,14,24,23,43
수성구,17,10,14,18,18,14,14,18,18,14,22,24,18,11,10,12,21,26,20,17,22,21,22,28,21,8,12,22,24,31
수성구,22,12,17,20,23,28,23,28,25,20,29,28,24,15,11,14,27,35,24,20,25,26,29,34,25,9,16,23,25,30
중구,21,12,18,23,24,27,24,31,30,22,37,35,28,15,11,14,28,41,25,18,24,27,27,35,27,8,14,24,25,50
