DATE1,LOC,LOC_1,a_pm10,a_pm25
20160101,Gangwon-do,강릉시,43.2727,31.3750
20160101,Gangwon-do,고성군,43.4583,0.0000
20160101,Gangwon-do,동해시,33.0417,25.5909
20160101,Gangwon-do,삼척시,30.5417,25.9375
20160101,Gangwon-do,양구군,53.5833,0.0000
20160101,Gangwon-do,원주시,76.5833,67.8667
20160101,Gangwon-do,정선군,57.7917,0.0000
20160101,Gangwon-do,춘천시,89.7083,68.2727
20160101,Gangwon-do,횡성군,52.7917,0.0000
20160101,Gyeonggi-do,가평군,70.6667,0.0000
20160101,Gyeonggi-do,고양시,79.7083,0.0000
20160101,Gyeonggi-do,과천시,67.6042,0.0000
20160101,Gyeonggi-do,광명시,70.1250,0.0000
20160101,Gyeonggi-do,광주시,98.5417,0.0000
20160101,Gyeonggi-do,구리시,88.8542,64.6667
20160101,Gyeonggi-do,군포시,56.9167,0.0000
20160101,Gyeonggi-do,김포시,89.1111,55.9583
20160101,Gyeonggi-do,남양주시,74.5417,0.0000
20160101,Gyeonggi-do,동두천시,98.0000,0.0000
20160101,Gyeonggi-do,부천시,73.2917,62.3750
20160101,Gyeonggi-do,성남시,70.1198,33.4583
20160101,Gyeonggi-do,수원시,71.4286,41.9848
20160101,Gyeonggi-do,시흥시,68.4444,0.0000
20160101,Gyeonggi-do,안산시,74.2917,46.7361
20160101,Gyeonggi-do,안성시,69.5000,0.0000
20160101,Gyeonggi-do,안양시,70.1563,0.0000
20160101,Gyeonggi-do,양주시,98.2083,0.0000
20160101,Gyeonggi-do,양평군,77.1250,49.7083
20160101,Gyeonggi-do,여주시,89.8333,0.0000
20160101,Gyeonggi-do,연천군,75.0000,0.0000
20160101,Gyeonggi-do,오산시,65.4167,0.0000
20160101,Gyeonggi-do,용인시,73.4167,44.8261
20160101,Gyeonggi-do,의왕시,64.5417,32.2917
20160101,Gyeonggi-do,의정부시,80.7500,83.6667
20160101,Gyeonggi-do,이천시,99.2292,0.0000
20160101,Gyeonggi-do,파주시,86.3333,0.0000
20160101,Gyeonggi-do,평택시,86.6528,0.0000
20160101,Gyeonggi-do,포천시,90.1250,0.0000
20160101,Gyeonggi-do,하남시,92.3750,45.6667
20160101,Gyeonggi-do,화성시,70.8333,0.0000
20160101,Gyeongsangnam-do,거제시,45.3542,36.1667
20160101,Gyeongsangnam-do,거창군,71.4167,0.0000
20160101,Gyeongsangnam-do,김해시,48.9583,31.2500
20160101,Gyeongsangnam-do,사천시,62.1667,32.6250
20160101,Gyeongsangnam-do,양산시,56.1250,45.7083
20160101,Gyeongsangnam-do,진주시,65.7639,44.3404
20160101,Gyeongsangnam-do,창원시,54.0042,43.6632
20160101,Gyeongsangnam-do,하동군,53.6250,32.5833
20160101,Gyeongsangbuk-do,경산시,64.3333,0.0000
20160101,Gyeongsangbuk-do,경주시,0.0000,0.0000
20160101,Gyeongsangbuk-do,구미시,63.8750,0.0000
20160101,Gyeongsangbuk-do,김천시,58.0833,56.0833
20160101,Gyeongsangbuk-do,안동시,63.3333,0.0000
20160101,Gyeongsangbuk-do,영덕군,58.4583,0.0000
20160101,Gyeongsangbuk-do,영주시,81.2083,0.0000
20160101,Gyeongsangbuk-do,영천시,48.8750,0.0000
20160101,Gyeongsangbuk-do,울릉군,21.0833,18.2500
20160101,Gyeongsangbuk-do,의성군,66.6667,0.0000
20160101,Gyeongsangbuk-do,포항시,46.3167,0.0000
20160101,Gwangju,광산구,59.4167,44.2083
20160101,Gwangju,남구,64.7917,50.3750
20160101,Gwangju,동구,46.8333,30.5417
20160101,Gwangju,북구,58.3472,39.7292
20160101,Gwangju,서구,74.3750,52.0833
20160101,Daegu,남구,59.7917,0.0000
20160101,Daegu,달서구,57.6250,43.0455
20160101,Daegu,달성군,51.5833,30.2500
20160101,Daegu,동구,69.5106,54.0417
20160101,Daegu,북구,70.1667,44.4167
20160101,Daegu,서구,77.5625,48.6458
20160101,Daegu,수성구,61.5208,44.8936
20160101,Daegu,중구,65.2917,0.0000
20160101,Daejeon,대덕구,60.5625,0.0000
20160101,Daejeon,동구,47.8333,0.0000
20160101,Daejeon,서구,45.7222,0.0000
20160101,Daejeon,유성구,60.5833,44.1250
20160101,Daejeon,중구,60.8750,0.0000
20160101,Busan,강서구,56.5000,47.3958
20160101,Busan,금정구,60.4681,44.6875
20160101,Busan,기장군,41.6875,31.8125
20160101,Busan,남구,51.6667,44.2083
20160101,Busan,동구,48.0857,39.8485
20160101,Busan,동래구,65.1042,47.1667
20160101,Busan,부산진구,56.0833,56.5833
20160101,Busan,북구,61.5833,56.8333
20160101,Busan,사상구,59.9167,52.2500
20160101,Busan,사하구,66.5000,54.6250
20160101,Busan,서구,50.5417,48.5833
20160101,Busan,수영구,55.6250,44.4583
20160101,Busan,연제구,60.4167,50.3333
20160101,Busan,영도구,47.4583,41.3333
20160101,Busan,중구,58.8750,51.4583
20160101,Busan,해운대구,47.7917,40.7083
20160101,Seoul,강남구,71.0625,44.2083
20160101,Seoul,강동구,71.0625,45.4167
20160101,Seoul,강북구,73.6667,51.6667
20160101,Seoul,강서구,67.6875,37.6667
20160101,Seoul,관악구,65.5000,44.2083
20160101,Seoul,광진구,85.3333,63.6667
20160101,Seoul,구로구,56.0833,40.7917
20160101,Seoul,금천구,63.7083,48.7083
20160101,Seoul,노원구,68.2083,49.1667
20160101,Seoul,도봉구,66.7083,41.3750
20160101,Seoul,동대문구,67.7083,44.1250
20160101,Seoul,동작구,70.9792,39.4583
20160101,Seoul,마포구,73.1458,49.0833
20160101,Seoul,서대문구,68.7917,38.5417
20160101,Seoul,서초구,80.1667,41.7083
20160101,Seoul,성동구,75.2500,39.0833
20160101,Seoul,성북구,70.9375,45.0000
20160101,Seoul,송파구,63.5000,39.0000
20160101,Seoul,양천구,47.6000,34.4000
20160101,Seoul,영등포구,83.9167,40.4167
20160101,Seoul,용산구,69.2917,45.5833
20160101,Seoul,은평구,58.2917,35.0417
20160101,Seoul,종로구,69.5417,51.1250
20160101,Seoul,중구,61.3750,35.1667
20160101,Seoul,중랑구,65.9167,40.7917
20160101,Sejongsi,세종,62.2292,0.0000
20160101,Ulsan,남구,45.6071,28.4167
20160101,Ulsan,동구,47.4583,38.9167
20160101,Ulsan,북구,51.0000,0.0000
20160101,Ulsan,울주군,52.9375,36.0417
20160101,Ulsan,중구,46.7692,42.0417
20160101,Incheon,강화군,64.4167,48.6250
20160101,Incheon,계양구,78.1667,56.5417
20160101,Incheon,남구,88.1250,0.0000
20160101,Incheon,남동구,72.1714,54.5294
20160101,Incheon,동구,61.0833,0.0000
20160101,Incheon,부평구,50.4792,0.0000
20160101,Incheon,서구,54.1979,37.4167
20160101,Incheon,연수구,60.7917,0.0000
20160101,Incheon,옹진군,31.9375,18.9583
20160101,Incheon,중구,62.3542,50.5435
20160101,Jeollanam-do,광양시,56.4737,37.2069
20160101,Jeollanam-do,목포시,58.9375,38.8333
20160101,Jeollanam-do,순천시,47.4681,42.7917
20160101,Jeollanam-do,여수시,47.0083,40.1458
20160101,Jeollanam-do,영암군,54.6250,45.4167
20160101,Jeollanam-do,화순군,37.5385,0.0000
20160101,Jeollabuk-do,고창군,52.4167,0.0000
20160101,Jeollabuk-do,군산시,59.5000,44.9000
20160101,Jeollabuk-do,김제시,57.9167,49.7083
20160101,Jeollabuk-do,남원시,63.2083,0.0000
20160101,Jeollabuk-do,부안군,56.5000,47.2083
20160101,Jeollabuk-do,익산시,65.8169,50.7917
20160101,Jeollabuk-do,임실군,60.5417,0.0000
20160101,Jeollabuk-do,전주시,68.6771,0.0000
20160101,Jeollabuk-do,정읍시,49.3333,0.0000
20160101,Jeju-do,서귀포시,50.2500,36.5417
20160101,Jeju-do,제주시,52.8194,36.5902
20160101,Chungcheongnam-do,공주시,56.5833,0.0000
20160101,Chungcheongnam-do,당진군,41.7708,0.0000
20160101,Chungcheongnam-do,서산시,31.1042,0.0000
20160101,Chungcheongnam-do,아산시,54.9167,0.0000
20160101,Chungcheongnam-do,천안시,58.7500,49.5263
20160101,Chungcheongnam-do,태안군,41.7083,0.0000
20160101,Chungcheongbuk-do,괴산군,67.0417,0.0000
20160101,Chungcheongbuk-do,단양군,57.0417,45.3750
20160101,Chungcheongbuk-do,제천시,68.2500,49.5000
20160101,Chungcheongbuk-do,청주시,70.7222,57.0903
20160101,Chungcheongbuk-do,충주시,65.9375,57.6875
20160102,Gangwon-do,강릉시,44.2083,29.5000
20160102,Gangwon-do,고성군,39.0833,0.0000
20160102,Gangwon-do,동해시,35.6667,26.5833
20160102,Gangwon-do,삼척시,33.8750,23.0417
20160102,Gangwon-do,양구군,46.4167,0.0000
20160102,Gangwon-do,원주시,66.4792,58.6087
20160102,Gangwon-do,정선군,43.0000,0.0000
20160102,Gangwon-do,춘천시,73.9583,54.8750
20160102,Gangwon-do,횡성군,28.3333,0.0000
20160102,Gyeonggi-do,가평군,71.9583,0.0000
20160102,Gyeonggi-do,고양시,63.1667,0.0000
20160102,Gyeonggi-do,과천시,53.2083,0.0000
20160102,Gyeonggi-do,광명시,53.1667,0.0000
20160102,Gyeonggi-do,광주시,87.0000,0.0000
20160102,Gyeonggi-do,구리시,76.0625,56.3750
20160102,Gyeonggi-do,군포시,47.7917,0.0000
20160102,Gyeonggi-do,김포시,63.0417,35.2500
20160102,Gyeonggi-do,남양주시,64.0625,0.0000
20160102,Gyeonggi-do,동두천시,59.6250,0.0000
20160102,Gyeonggi-do,부천시,51.0500,37.9583
20160102,Gyeonggi-do,성남시,53.6302,25.7083
20160102,Gyeonggi-do,수원시,54.3690,28.7500
20160102,Gyeonggi-do,시흥시,50.2917,0.0000
20160102,Gyeonggi-do,안산시,54.0521,30.7083
20160102,Gyeonggi-do,안성시,38.5833,0.0000
20160102,Gyeonggi-do,안양시,54.3125,0.0000
20160102,Gyeonggi-do,양주시,67.9167,0.0000
20160102,Gyeonggi-do,양평군,76.8333,47.1667
20160102,Gyeonggi-do,여주시,80.4583,0.0000
20160102,Gyeonggi-do,연천군,60.5417,0.0000
20160102,Gyeonggi-do,오산시,50.5417,0.0000
