DATE1,LOC,a_pm10,a_pm25
20160101,Gangwon-do,55.8403,48.7364
20160101,Gyeonggi-do,76.4510,49.3881
20160101,Gyeongsangnam-do,55.4076,40.1221
20160101,Gyeongsangbuk-do,55.8309,46.6250
20160101,Gwangju,61.5833,42.9821
20160101,Daegu,65.9721,44.8730
20160101,Daejeon,54.9042,44.1250
20160101,Busan,55.4245,46.0511
20160101,Seoul,69.9798,43.5061
20160101,Sejongsi,62.2292,0.0000
20160101,Ulsan,48.7913,36.2917
20160101,Incheon,61.3406,45.7727
20160101,Jeollanam-do,51.0051,40.0000
20160101,Jeollabuk-do,61.9008,48.2935
20160101,Jeju-do,52.1771,36.5765
20160101,Chungcheongnam-do,47.5208,49.5263
20160101,Chungcheongbuk-do,68.0492,55.2792
20160102,Gangwon-do,49.3243,41.6338
20160102,Gyeonggi-do,58.0323,35.2944
20160102,Gyeongsangnam-do,62.3030,42.5833
20160102,Gyeongsangbuk-do,51.4167,40.2391
20160102,Gwangju,61.5231,40.2500
20160102,Daegu,67.8502,44.4531
20160102,Daejeon,48.4500,31.4583
20160102,Busan,59.3821,46.6199
20160102,Seoul,53.5830,30.9466
20160102,Sejongsi,52.2917,0.0000
20160102,Ulsan,53.1972,36.0139
20160102,Incheon,50.6481,37.1406
20160102,Jeollanam-do,50.2500,40.7085
20160102,Jeollabuk-do,55.6979,40.0211
20160102,Jeju-do,44.1789,30.2442
20160102,Chungcheongnam-do,43.9707,32.8750
20160102,Chungcheongbuk-do,54.5606,40.7083
20160103,Gangwon-do,68.2034,56.6831
20160103,Gyeonggi-do,97.9524,57.9553
20160103,Gyeongsangnam-do,60.7553,41.3270
20160103,Gyeongsangbuk-do,57.5244,53.6667
20160103,Gwangju,67.6852,45.0893
20160103,Daegu,72.4231,46.6073
20160103,Daejeon,61.8608,45.2609
20160103,Busan,60.6064,46.6646
20160103,Seoul,98.5324,57.7521
20160103,Sejongsi,67.3333,0.0000
20160103,Ulsan,60.8694,39.3427
20160103,Incheon,90.9582,70.7181
20160103,Jeollanam-do,51.7843,38.8559
20160103,Jeollabuk-do,69.4694,58.2809
20160103,Jeju-do,60.7419,45.1884
20160103,Chungcheongnam-do,64.3458,57.2917
20160103,Chungcheongbuk-do,72.3485,56.8824
20160104,Gangwon-do,73.8583,58.3264
20160104,Gyeonggi-do,84.8138,48.9577
20160104,Gyeongsangnam-do,68.8642,49.7713
20160104,Gyeongsangbuk-do,79.3107,61.1042
20160104,Gwangju,80.3785,55.7470
20160104,Daegu,74.4161,47.1316
20160104,Daejeon,82.1042,63.1667
20160104,Busan,81.4037,62.6270
20160104,Seoul,78.6567,46.8711
20160104,Sejongsi,71.5625,0.0000
20160104,Ulsan,73.6966,48.4786
20160104,Incheon,70.8768,52.5284
20160104,Jeollanam-do,81.5012,56.7026
20160104,Jeollabuk-do,98.0917,72.3636
20160104,Jeju-do,117.9255,87.6800
20160104,Chungcheongnam-do,64.3290,62.1364
20160104,Chungcheongbuk-do,82.1776,61.4958
20160105,Gangwon-do,26.9780,17.5504
20160105,Gyeonggi-do,39.0441,17.7151
20160105,Gyeongsangnam-do,46.7022,28.7266
20160105,Gyeongsangbuk-do,23.5035,16.4318
20160105,Gwangju,24.9194,14.1758
20160105,Daegu,31.2939,17.8696
20160105,Daejeon,32.4000,16.4762
20160105,Busan,45.6000,30.1122
20160105,Seoul,33.7587,16.3946
20160105,Sejongsi,33.2917,0.0000
20160105,Ulsan,34.4956,13.6331
20160105,Incheon,35.5761,15.7838
20160105,Jeollanam-do,29.2935,20.8945
20160105,Jeollabuk-do,36.0882,19.8280
20160105,Jeju-do,42.0211,27.8000
20160105,Chungcheongnam-do,30.1682,17.4091
20160105,Chungcheongbuk-do,32.2738,19.1500
20160106,Gangwon-do,45.8054,31.0876
20160106,Gyeonggi-do,66.7405,34.5169
20160106,Gyeongsangnam-do,38.4982,22.5802
20160106,Gyeongsangbuk-do,41.7919,23.7174
20160106,Gwangju,43.7606,26.0545
20160106,Daegu,47.2997,26.7083
20160106,Daejeon,57.1083,33.4286
20160106,Busan,38.8071,25.1811
20160106,Seoul,57.9039,29.4587
20160106,Sejongsi,56.3125,0.0000
20160106,Ulsan,41.1317,19.3542
20160106,Incheon,53.9313,31.0851
20160106,Jeollanam-do,35.0150,23.2949
20160106,Jeollabuk-do,62.8263,40.7789
20160106,Jeju-do,45.8298,28.3789
20160106,Chungcheongnam-do,52.3957,36.0500
20160106,Chungcheongbuk-do,58.0795,35.8828
20160107,Gangwon-do,46.3625,33.6993
20160107,Gyeonggi-do,49.4845,25.6371
20160107,Gyeongsangnam-do,43.7083,26.1231
20160107,Gyeongsangbuk-do,41.6667,23.3191
20160107,Gwangju,39.2546,22.5417
20160107,Daegu,45.7569,27.2513
20160107,Daejeon,42.8375,24.2381
20160107,Busan,50.2371,34.9370
20160107,Seoul,41.7842,20.4603
20160107,Sejongsi,44.0833,0.0000
20160107,Ulsan,44.8040,23.9044
20160107,Incheon,37.0065,18.5707
20160107,Jeollanam-do,32.3382,21.6458
20160107,Jeollabuk-do,48.6016,29.0208
20160107,Jeju-do,43.9158,27.1053
20160107,Chungcheongnam-do,37.2301,25.0000
20160107,Chungcheongbuk-do,45.9042,28.5210
20160108,Gangwon-do,37.1967,23.9514
20160108,Gyeonggi-do,45.0640,22.7542
20160108,Gyeongsangnam-do,28.2234,17.3000
20160108,Gyeongsangbuk-do,27.4977,17.4565
20160108,Gwangju,27.8565,18.7440
20160108,Daegu,32.4007,18.0890
20160108,Daejeon,34.8708,17.7083
20160108,Busan,33.1040,21.7879
20160108,Seoul,36.6232,17.5234
20160108,Sejongsi,35.0444,0.0000
20160108,Ulsan,30.7542,13.5634
20160108,Incheon,34.0574,16.9568
20160108,Jeollanam-do,22.9673,16.7950
20160108,Jeollabuk-do,35.2827,23.1667
20160108,Jeju-do,28.6237,17.0652
20160108,Chungcheongnam-do,32.3974,17.5000
20160108,Chungcheongbuk-do,37.7132,21.1975
20160109,Gangwon-do,36.2857,24.9375
20160109,Gyeonggi-do,46.1616,23.8361
20160109,Gyeongsangnam-do,35.6486,22.3511
20160109,Gyeongsangbuk-do,32.5301,20.2609
20160109,Gwangju,35.1620,21.2321
20160109,Daegu,39.2465,22.9740
20160109,Daejeon,34.3500,19.6250
20160109,Busan,35.6123,24.9722
20160109,Seoul,39.1071,19.3677
20160109,Sejongsi,39.2826,0.0000
20160109,Ulsan,32.6417,15.8014
20160109,Incheon,35.1828,18.7043
20160109,Jeollanam-do,25.1701,18.7573
20160109,Jeollabuk-do,37.0365,23.8152
20160109,Jeju-do,34.7474,20.8316
20160109,Chungcheongnam-do,33.2269,22.0000
20160109,Chungcheongbuk-do,45.4886,28.7542
20160110,Gangwon-do,33.9833,24.2681
20160110,Gyeonggi-do,40.4311,22.2444
20160110,Gyeongsangnam-do,43.6933,27.4924
20160110,Gyeongsangbuk-do,46.1875,32.0870
20160110,Gwangju,48.2454,32.2798
20160110,Daegu,51.0147,31.6859
20160110,Daejeon,51.3750,32.5417
20160110,Busan,41.9087,30.5397
20160110,Seoul,34.4764,18.6644
20160110,Sejongsi,50.1250,0.0000
20160110,Ulsan,45.0836,26.3007
20160110,Incheon,36.5240,22.4158
20160110,Jeollanam-do,43.8519,31.2292
20160110,Jeollabuk-do,70.2448,53.2500
20160110,Jeju-do,44.1075,29.6146
20160110,Chungcheongnam-do,38.5278,26.7391
20160110,Chungcheongbuk-do,47.7348,31.7625
20160111,Gangwon-do,33.1583,23.1439
20160111,Gyeonggi-do,46.7196,23.0452
20160111,Gyeongsangnam-do,39.9376,25.0039
20160111,Gyeongsangbuk-do,35.2353,20.1111
20160111,Gwangju,39.3565,23.9821
20160111,Daegu,40.3298,23.4415
20160111,Daejeon,45.5212,25.9583
20160111,Busan,36.3879,24.8222
20160111,Seoul,41.8598,20.7610
20160111,Sejongsi,44.2708,0.0000
20160111,Ulsan,34.9070,16.9104
20160111,Incheon,38.5596,19.6158
20160111,Jeollanam-do,36.3442,25.4077
20160111,Jeollabuk-do,46.3542,28.1875
20160111,Jeju-do,43.0652,26.3438
20160111,Chungcheongnam-do,35.1416,24.4583
20160111,Chungcheongbuk-do,42.3764,25.8042
20160112,Gangwon-do,38.3458,26.5571
20160112,Gyeonggi-do,54.6842,25.8078
20160112,Gyeongsangnam-do,33.8877,19.3077
20160112,Gyeongsangbuk-do,35.9093,23.7838
20160112,Gwangju,28.4717,15.3902
20160112,Daegu,41.3665,23.1927
20160112,Daejeon,41.6314,25.4091
20160112,Busan,35.7892,23.0040
20160112,Seoul,50.9936,23.4730
20160112,Sejongsi,44.6458,0.0000
20160112,Ulsan,36.5465,16.0365
20160112,Incheon,38.0108,17.5847
20160112,Jeollanam-do,24.8291,16.0083
20160112,Jeollabuk-do,40.3886,24.6064
20160112,Jeju-do,24.8404,11.5417
20160112,Chungcheongnam-do,38.2731,27.2917
20160112,Chungcheongbuk-do,49.4091,29.4226
20160113,Gangwon-do,37.2926,25.7050
20160113,Gyeonggi-do,43.7367,23.4944
20160113,Gyeongsangnam-do,29.5733,18.2317
20160113,Gyeongsangbuk-do,30.6458,15.7813
20160113,Gwangju,28.4601,18.3054
20160113,Daegu,33.1731,19.1497
20160113,Daejeon,31.8703,15.6923
20160113,Busan,33.4269,21.8715
20160113,Seoul,39.7207,19.9363
20160113,Sejongsi,33.2083,0.0000
20160113,Ulsan,30.3034,13.5455
20160113,Incheon,34.6821,18.3125
20160113,Jeollanam-do,25.5783,18.0844
20160113,Jeollabuk-do,31.7431,22.2921
20160113,Jeju-do,32.4607,19.3438
20160113,Chungcheongnam-do,30.9674,17.7500
20160113,Chungcheongbuk-do,32.5492,22.4750
20160114,Gangwon-do,34.1195,23.0963
20160114,Gyeonggi-do,50.4519,25.4886
20160114,Gyeongsangnam-do,38.4358,23.5135
20160114,Gyeongsangbuk-do,30.8019,19.3636
20160114,Gwangju,32.3915,18.2530
20160114,Daegu,35.9894,20.0423
20160114,Daejeon,38.3782,18.5455
20160114,Busan,38.8775,27.3667
20160114,Seoul,47.7894,21.0998
20160114,Sejongsi,37.5122,0.0000
20160114,Ulsan,38.9889,19.9296
20160114,Incheon,42.3570,22.0984
20160114,Jeollanam-do,31.6915,20.4599
20160114,Jeollabuk-do,35.1895,24.5789
20160114,Jeju-do,55.6235,33.7802
20160114,Chungcheongnam-do,43.8476,20.3077
20160114,Chungcheongbuk-do,35.2460,20.8875
20160115,Gangwon-do,46.5105,38.8671
20160115,Gyeonggi-do,62.5914,37.8616
20160115,Gyeongsangnam-do,65.2164,35.9053
20160115,Gyeongsangbuk-do,56.8571,36.2500
20160115,Gwangju,61.2917,38.5476
20160115,Daegu,68.3264,40.5156
20160115,Daejeon,61.7161,35.7500
20160115,Busan,69.5343,47.0337
20160115,Seoul,54.4384,29.3098
20160115,Sejongsi,58.7292,0.0000
20160115,Ulsan,63.6211,37.6127
20160115,Incheon,51.2796,32.8148
20160115,Jeollanam-do,58.0315,39.8771
20160115,Jeollabuk-do,68.0787,56.4375
20160115,Jeju-do,61.1778,41.9063
20160115,Chungcheongnam-do,61.0873,56.6250
20160115,Chungcheongbuk-do,63.9921,46.3250
20160116,Gangwon-do,57.5458,49.1056
20160116,Gyeonggi-do,84.6565,54.3444
20160116,Gyeongsangnam-do,87.7313,54.6603
20160116,Gyeongsangbuk-do,73.0208,51.4146
20160116,Gwangju,74.6465,52.8631
20160116,Daegu,96.9350,62.9628
20160116,Daejeon,87.5625,58.4167
20160116,Busan,80.4969,60.0219
20160116,Seoul,70.8816,42.5794
20160116,Sejongsi,85.4583,0.0000
20160116,Ulsan,77.0306,50.6014
20160116,Incheon,72.8305,53.9167
20160116,Jeollanam-do,68.5342,49.9625
20160116,Jeollabuk-do,89.3698,75.1798
20160116,Jeju-do,56.6264,39.9674
20160116,Chungcheongnam-do,77.1000,84.2857
20160116,Chungcheongbuk-do,82.9886,64.6778
20160117,Gangwon-do,66.8417,58.4931
20160117,Gyeonggi-do,82.1515,54.2618
20160117,Gyeongsangnam-do,71.5254,45.2879
20160117,Gyeongsangbuk-do,61.7847,58.3784
20160117,Gwangju,56.4815,42.2857
20160117,Daegu,81.3066,55.9740
20160117,Daejeon,70.9167,54.0417
20160117,Busan,47.4646,36.9683
20160117,Seoul,72.8535,46.4417
20160117,Sejongsi,73.5417,0.0000
20160117,Ulsan,56.1532,35.9720
20160117,Incheon,76.4063,60.0521
20160117,Jeollanam-do,49.7927,39.5000
20160117,Jeollabuk-do,81.9531,76.1860
20160117,Jeju-do,39.4624,27.5495
20160117,Chungcheongnam-do,71.5833,55.1111
20160117,Chungcheongbuk-do,73.4773,59.3125
20160118,Gangwon-do,53.0342,37.0935
20160118,Gyeonggi-do,59.0777,32.1657
20160118,Gyeongsangnam-do,34.2541,21.4094
20160118,Gyeongsangbuk-do,38.8404,29.5610
20160118,Gwangju,26.6528,17.4583
20160118,Daegu,40.6049,26.1390
20160118,Daejeon,35.5107,24.0526
20160118,Busan,35.5195,26.4859
20160118,Seoul,57.6977,31.7052
20160118,Sejongsi,40.0417,0.0000
20160118,Ulsan,32.4846,20.7986
20160118,Incheon,48.9524,29.5585
20160118,Jeollanam-do,27.3750,19.5992
20160118,Jeollabuk-do,40.8177,25.7253
20160118,Jeju-do,44.3297,25.9158
20160118,Chungcheongnam-do,43.6167,23.2000
20160118,Chungcheongbuk-do,42.6061,29.6625
20160119,Gangwon-do,31.7919,14.7910
20160119,Gyeonggi-do,34.5569,13.4789
20160119,Gyeongsangnam-do,18.9523,8.5929
20160119,Gyeongsangbuk-do,26.7068,15.7381
20160119,Gwangju,12.2639,6.6905
20160119,Daegu,21.9752,9.7072
20160119,Daejeon,20.2652,7.0000
20160119,Busan,23.4073,12.0180
20160119,Seoul,35.7823,12.7281
20160119,Sejongsi,26.6579,0.0000
20160119,Ulsan,19.9178,7.4577
20160119,Incheon,26.6140,10.3297
20160119,Jeollanam-do,17.0157,8.2165
20160119,Jeollabuk-do,22.3858,12.6222
20160119,Jeju-do,27.1053,11.6196
20160119,Chungcheongnam-do,26.0886,9.8333
20160119,Chungcheongbuk-do,23.8276,11.2469
20160120,Gangwon-do,39.3406,28.2148
20160120,Gyeonggi-do,45.8373,26.1226
20160120,Gyeongsangnam-do,28.4432,17.9803
20160120,Gyeongsangbuk-do,32.1132,24.1818
20160120,Gwangju,23.1256,16.0440
20160120,Daegu,34.1111,20.2775
20160120,Daejeon,37.9874,23.3750
20160120,Busan,33.0361,22.8488
20160120,Seoul,40.9086,22.3209
20160120,Sejongsi,46.1351,0.0000
20160120,Ulsan,33.6299,16.9643
20160120,Incheon,33.0938,19.6223
20160120,Jeollanam-do,24.6804,16.9578
20160120,Jeollabuk-do,38.7102,32.1667
20160120,Jeju-do,24.8617,13.2234
20160120,Chungcheongnam-do,35.1229,31.8421
20160120,Chungcheongbuk-do,42.5344,29.1875
20160121,Gangwon-do,50.0087,38.0857
20160121,Gyeonggi-do,59.3789,33.5303
20160121,Gyeongsangnam-do,33.9962,20.7313
20160121,Gyeongsangbuk-do,41.1813,28.8158
20160121,Gwangju,26.5646,19.0926
20160121,Daegu,42.3509,26.5000
20160121,Daejeon,48.8376,34.9583
20160121,Busan,38.0278,25.6024
20160121,Seoul,53.7692,29.7551
20160121,Sejongsi,55.8542,0.0000
20160121,Ulsan,38.1517,20.2429
20160121,Incheon,42.9019,26.5376
20160121,Jeollanam-do,26.0594,20.3982
20160121,Jeollabuk-do,52.6966,46.2568
20160121,Jeju-do,25.9890,15.8864
20160121,Chungcheongnam-do,39.3782,35.7222
20160121,Chungcheongbuk-do,59.7297,43.7333
20160122,Gangwon-do,47.9083,37.1367
20160122,Gyeonggi-do,54.3914,28.7288
20160122,Gyeongsangnam-do,27.5688,15.9767
20160122,Gyeongsangbuk-do,36.1013,19.7500
20160122,Gwangju,23.6791,14.4048
20160122,Daegu,35.2125,20.9323
20160122,Daejeon,41.8243,24.7826
20160122,Busan,32.1100,20.6835
20160122,Seoul,52.4151,27.4303
20160122,Sejongsi,46.0625,0.0000
20160122,Ulsan,34.5972,16.4255
20160122,Incheon,38.1285,20.2368
20160122,Jeollanam-do,21.8789,15.8348
20160122,Jeollabuk-do,47.6296,36.8657
20160122,Jeju-do,27.2737,14.5244
20160122,Chungcheongnam-do,31.5375,31.0455
20160122,Chungcheongbuk-do,52.0382,35.5167
20160123,Gangwon-do,33.0466,19.9926
20160123,Gyeonggi-do,36.3145,14.9556
20160123,Gyeongsangnam-do,33.0236,19.0422
20160123,Gyeongsangbuk-do,31.3411,19.0000
20160123,Gwangju,22.9676,14.2381
20160123,Daegu,32.5699,18.2263
20160123,Daejeon,29.8410,15.1304
20160123,Busan,41.7063,29.1827
20160123,Seoul,32.6115,14.1383
20160123,Sejongsi,33.3542,0.0000
20160123,Ulsan,35.7750,18.9722
20160123,Incheon,27.8500,12.1872
20160123,Jeollanam-do,24.9309,18.6820
20160123,Jeollabuk-do,29.6434,19.6582
20160123,Jeju-do,31.9775,19.1875
20160123,Chungcheongnam-do,28.2594,11.5417
20160123,Chungcheongbuk-do,30.6350,14.9791
20160124,Gangwon-do,37.9874,25.9690
20160124,Gyeonggi-do,42.5097,21.2709
20160124,Gyeongsangnam-do,22.1475,12.1362
20160124,Gyeongsangbuk-do,28.4501,18.8333
20160124,Gwangju,17.4213,11.8631
20160124,Daegu,29.3750,17.2500
20160124,Daejeon,26.0493,16.9583
20160124,Busan,27.9082,18.3484
20160124,Seoul,39.8856,19.3139
20160124,Sejongsi,32.7872,0.0000
20160124,Ulsan,28.4441,13.3357
20160124,Incheon,32.5535,16.6931
20160124,Jeollanam-do,19.3441,12.7542
20160124,Jeollabuk-do,25.7694,18.6923
20160124,Jeju-do,25.0000,9.4607
20160124,Chungcheongnam-do,26.6042,17.9583
20160124,Chungcheongbuk-do,30.6122,19.1583
20160125,Gangwon-do,44.8655,29.4286
20160125,Gyeonggi-do,60.1028,21.3792
20160125,Gyeongsangnam-do,31.7440,16.0380
20160125,Gyeongsangbuk-do,40.7292,20.4667
20160125,Gwangju,32.8310,20.5394
20160125,Daegu,43.5903,17.9010
20160125,Daejeon,52.9824,22.0000
20160125,Busan,35.9708,20.7500
20160125,Seoul,52.6966,17.2492
20160125,Sejongsi,59.8750,0.0000
20160125,Ulsan,34.4463,11.4857
20160125,Incheon,54.2229,15.4628
20160125,Jeollanam-do,26.5026,16.2965
20160125,Jeollabuk-do,61.7399,40.3529
20160125,Jeju-do,31.3956,18.5875
20160125,Chungcheongnam-do,62.2353,30.2083
20160125,Chungcheongbuk-do,55.5985,29.9079
20160126,Gangwon-do,58.1046,39.3542
20160126,Gyeonggi-do,86.5210,40.3961
20160126,Gyeongsangnam-do,51.0555,27.6202
20160126,Gyeongsangbuk-do,52.9075,18.8710
20160126,Gwangju,54.7028,31.3110
20160126,Daegu,65.2265,32.9053
20160126,Daejeon,66.0390,38.6250
20160126,Busan,50.6830,31.5052
20160126,Seoul,80.7792,36.9400
20160126,Sejongsi,73.8182,0.0000
20160126,Ulsan,44.1724,21.6978
20160126,Incheon,72.5684,37.9789
20160126,Jeollanam-do,43.7311,30.2044
20160126,Jeollabuk-do,69.4141,46.5000
20160126,Jeju-do,55.5313,32.0104
20160126,Chungcheongnam-do,64.0342,43.7500
20160126,Chungcheongbuk-do,73.5665,43.9833
20160127,Gangwon-do,70.4652,55.1597
20160127,Gyeonggi-do,76.4329,40.8315
20160127,Gyeongsangnam-do,79.6611,45.2205
20160127,Gyeongsangbuk-do,69.4149,36.5152
20160127,Gwangju,76.9769,52.4524
20160127,Daegu,86.0590,52.3854
20160127,Daejeon,75.6500,48.2381
20160127,Busan,81.4891,54.4008
20160127,Seoul,66.1307,31.3378
20160127,Sejongsi,80.4167,0.0000
20160127,Ulsan,75.6410,44.7410
20160127,Incheon,60.0494,32.2781
20160127,Jeollanam-do,63.1005,45.6596
20160127,Jeollabuk-do,87.9705,68.1789
20160127,Jeju-do,63.2809,33.8333
20160127,Chungcheongnam-do,71.7490,61.2917
20160127,Chungcheongbuk-do,82.7977,58.3640
20160128,Gangwon-do,65.2542,50.4126
20160128,Gyeonggi-do,70.7878,38.1606
20160128,Gyeongsangnam-do,78.0928,45.6958
20160128,Gyeongsangbuk-do,76.9977,51.1667
20160128,Gwangju,67.4444,48.4311
20160128,Daegu,89.3662,57.1146
20160128,Daejeon,83.1000,62.8333
20160128,Busan,73.7131,52.6165
20160128,Seoul,61.6695,30.6492
20160128,Sejongsi,94.5833,0.0000
20160128,Ulsan,70.4194,44.8252
20160128,Incheon,54.8038,31.9043
20160128,Jeollanam-do,56.9457,44.7753
20160128,Jeollabuk-do,101.3387,85.9551
20160128,Jeju-do,25.5897,14.5934
20160128,Chungcheongnam-do,75.7833,69.6000
20160128,Chungcheongbuk-do,104.0078,73.3333
20160129,Gangwon-do,38.4667,33.5113
20160129,Gyeonggi-do,54.6311,29.3398
20160129,Gyeongsangnam-do,22.5181,14.7571
20160129,Gyeongsangbuk-do,47.4460,33.3333
20160129,Gwangju,22.9259,17.6667
20160129,Daegu,60.8481,42.3968
20160129,Daejeon,29.3556,20.1250
20160129,Busan,16.4297,13.0246
20160129,Seoul,52.2208,26.1655
20160129,Sejongsi,47.2708,0.0000
20160129,Ulsan,16.6453,8.8120
20160129,Incheon,55.8609,31.8796
20160129,Jeollanam-do,15.9901,13.6695
20160129,Jeollabuk-do,43.3047,34.1928
20160129,Jeju-do,12.7000,6.3614
20160129,Chungcheongnam-do,57.2167,42.6667
20160129,Chungcheongbuk-do,45.0913,30.6485
20160130,Gangwon-do,26.0083,25.4123
20160130,Gyeonggi-do,42.9369,26.2163
20160130,Gyeongsangnam-do,23.5924,14.4253
20160130,Gyeongsangbuk-do,26.3380,22.6042
20160130,Gwangju,36.3287,25.7500
20160130,Daegu,39.7614,26.6791
20160130,Daejeon,35.5417,25.6250
20160130,Busan,21.9246,15.1491
20160130,Seoul,42.7462,24.3670
20160130,Sejongsi,43.6042,0.0000
20160130,Ulsan,18.7000,10.4604
20160130,Incheon,38.4289,22.8158
20160130,Jeollanam-do,19.2815,15.1715
20160130,Jeollabuk-do,50.2135,40.8182
20160130,Jeju-do,26.6526,15.5217
20160130,Chungcheongnam-do,42.4333,34.8636
20160130,Chungcheongbuk-do,34.7614,25.5542
20160131,Gangwon-do,47.8333,35.4397
20160131,Gyeonggi-do,44.7218,23.3417
20160131,Gyeongsangnam-do,52.4073,32.1894
20160131,Gyeongsangbuk-do,37.5509,31.4318
20160131,Gwangju,36.4167,18.0952
20160131,Daegu,47.4722,28.1579
20160131,Daejeon,39.7708,21.7500
20160131,Busan,58.4663,44.9167
20160131,Seoul,40.6774,20.6154
20160131,Sejongsi,43.2083,0.0000
20160131,Ulsan,48.5056,31.7113
20160131,Incheon,35.7157,17.9581
20160131,Jeollanam-do,32.0760,24.1555
20160131,Jeollabuk-do,40.5000,22.9574
20160131,Jeju-do,59.5745,35.3368
20160131,Chungcheongnam-do,31.6167,23.8750
20160131,Chungcheongbuk-do,39.5932,24.4083
20160201,Gangwon-do,44.1417,28.6761
20160201,Gyeonggi-do,45.9507,21.4558
20160201,Gyeongsangnam-do,31.5027,17.9466
20160201,Gyeongsangbuk-do,29.5468,18.2667
20160201,Gwangju,28.5748,12.9581
20160201,Daegu,33.4596,17.0856
20160201,Daejeon,33.2625,16.8194
20160201,Busan,31.7782,19.7105
20160201,Seoul,42.0390,18.3248
20160201,Sejongsi,37.8333,0.0000
20160201,Ulsan,27.9543,12.3106
20160201,Incheon,34.5909,15.2500
20160201,Jeollanam-do,22.6626,15.2522
20160201,Jeollabuk-do,35.3281,19.7895
20160201,Jeju-do,28.9474,15.4792
20160201,Chungcheongnam-do,31.9114,19.2500
20160201,Chungcheongbuk-do,37.4192,20.2125
20160202,Gangwon-do,46.0345,29.3357
20160202,Gyeonggi-do,55.3634,28.6085
20160202,Gyeongsangnam-do,31.5915,17.0038
20160202,Gyeongsangbuk-do,36.5012,19.4889
20160202,Gwangju,30.6524,14.8457
20160202,Daegu,37.3868,19.1875
20160202,Daejeon,41.4184,22.9855
20160202,Busan,37.2069,22.3387
20160202,Seoul,47.2976,21.6815
20160202,Sejongsi,46.8542,0.0000
20160202,Ulsan,36.9773,17.4532
20160202,Incheon,40.9529,20.9267
20160202,Jeollanam-do,24.3020,15.7500
20160202,Jeollabuk-do,44.1018,28.5957
20160202,Jeju-do,28.1263,14.2581
20160202,Chungcheongnam-do,39.5085,30.8750
20160202,Chungcheongbuk-do,48.0989,28.9747
20160203,Gangwon-do,54.6623,37.8286
20160203,Gyeonggi-do,67.3974,38.5326
20160203,Gyeongsangnam-do,45.9500,24.4866
20160203,Gyeongsangbuk-do,45.8595,26.6000
20160203,Gwangju,51.9431,28.2883
20160203,Daegu,52.0279,28.2984
20160203,Daejeon,50.8903,29.0139
20160203,Busan,44.3286,26.6908
20160203,Seoul,59.3359,30.5378
20160203,Sejongsi,56.1667,0.0000
20160203,Ulsan,42.5546,21.9149
20160203,Incheon,51.4990,29.4426
20160203,Jeollanam-do,37.0698,26.4821
20160203,Jeollabuk-do,60.7439,42.8370
20160203,Jeju-do,39.5104,21.7917
20160203,Chungcheongnam-do,47.3571,39.3333
20160203,Chungcheongbuk-do,65.0193,40.1891
20160204,Gangwon-do,59.0570,43.6569
20160204,Gyeonggi-do,68.4884,39.3723
20160204,Gyeongsangnam-do,59.5499,35.1597
20160204,Gyeongsangbuk-do,50.2948,30.3636
20160204,Gwangju,69.8426,40.2761
20160204,Daegu,65.3333,38.5263
20160204,Daejeon,51.3458,31.9861
20160204,Busan,56.5354,37.4648
20160204,Seoul,58.1818,31.5638
20160204,Sejongsi,52.2927,0.0000
20160204,Ulsan,48.6364,27.9348
20160204,Incheon,53.2153,32.9674
20160204,Jeollanam-do,50.9258,38.1404
20160204,Jeollabuk-do,70.0183,51.1196
20160204,Jeju-do,90.4396,60.3956
20160204,Chungcheongnam-do,49.4511,40.9545
20160204,Chungcheongbuk-do,65.0076,43.1708
20160205,Gangwon-do,46.5708,28.1597
20160205,Gyeonggi-do,55.8468,26.6526
20160205,Gyeongsangnam-do,39.7960,22.0157
20160205,Gyeongsangbuk-do,35.8768,19.0625
20160205,Gwangju,45.4954,22.0807
20160205,Daegu,40.3125,20.7211
20160205,Daejeon,42.7741,21.3750
20160205,Busan,38.8234,24.0876
20160205,Seoul,47.1291,20.7795
20160205,Sejongsi,45.1250,0.0000
20160205,Ulsan,31.8796,14.6408
20160205,Incheon,45.6369,22.9424
20160205,Jeollanam-do,29.7819,20.7100
20160205,Jeollabuk-do,51.6292,33.0105
20160205,Jeju-do,49.2842,28.3368
20160205,Chungcheongnam-do,39.5875,23.3333
20160205,Chungcheongbuk-do,48.9773,26.4292
20160206,Gangwon-do,44.0833,32.0301
20160206,Gyeonggi-do,57.4241,28.0208
20160206,Gyeongsangnam-do,39.5301,22.0568
20160206,Gyeongsangbuk-do,39.1233,21.9167
20160206,Gwangju,36.9861,17.9583
20160206,Daegu,43.5122,22.8848
20160206,Daejeon,43.9708,23.4306
20160206,Busan,41.2421,26.5230
20160206,Seoul,51.9134,24.3005
20160206,Sejongsi,47.6875,0.0000
