buoy,date,time,speed,direction,code
Ulleungdo,2016-01-01,0,1,118,ESE
Ulleungdo,2016-01-01,1,1.2,288,WNW
Ulleungdo,2016-01-01,2,1.7,276,W
Ulleungdo,2016-01-01,3,1.4,249,WSW
Ulleungdo,2016-01-01,4,2,229,SW
Ulleungdo,2016-01-01,5,2.3,181,S
Ulleungdo,2016-01-01,6,2.7,182,S
Ulleungdo,2016-01-01,7,5.5,245,WSW
Ulleungdo,2016-01-01,8,5.3,234,SW
Ulleungdo,2016-01-01,9,4.1,233,SW
Ulleungdo,2016-01-01,10,3.3,229,SW
Ulleungdo,2016-01-01,11,2.2,211,SSW
Ulleungdo,2016-01-01,12,3,240,WSW
Ulleungdo,2016-01-01,13,4.3,264,W
Ulleungdo,2016-01-01,14,5.4,239,WSW
Ulleungdo,2016-01-01,15,5,262,W
Ulleungdo,2016-01-01,16,4.8,250,WSW
Ulleungdo,2016-01-01,17,5,252,WSW
Ulleungdo,2016-01-01,18,5.6,225,SW
Ulleungdo,2016-01-01,19,5.3,234,SW
Ulleungdo,2016-01-01,20,7.3,236,SW
Ulleungdo,2016-01-01,21,7.4,246,WSW
Ulleungdo,2016-01-01,22,8,232,SW
Ulleungdo,2016-01-01,23,8.5,260,W
Ulleungdo,2016-01-02,0,5.7,282,WNW
Ulleungdo,2016-01-02,1,7,275,W
Ulleungdo,2016-01-02,2,5.2,290,WNW
Ulleungdo,2016-01-02,3,7,291,WNW
Ulleungdo,2016-01-02,4,6.6,266,W
Ulleungdo,2016-01-02,5,7.5,266,W
Ulleungdo,2016-01-02,6,7.9,272,W
Ulleungdo,2016-01-02,7,7.9,254,WSW
Ulleungdo,2016-01-02,8,6.4,259,W
Ulleungdo,2016-01-02,9,6,263,W
Ulleungdo,2016-01-02,10,6.3,274,W
Ulleungdo,2016-01-02,11,5.5,247,WSW
Ulleungdo,2016-01-02,12,4.6,257,WSW
Ulleungdo,2016-01-02,13,1.2,290,WNW
Ulleungdo,2016-01-02,14,3,217,SW
Ulleungdo,2016-01-02,15,3.8,264,W
Ulleungdo,2016-01-02,16,4.4,243,WSW
Ulleungdo,2016-01-02,17,3.8,234,SW
Ulleungdo,2016-01-02,18,4.6,229,SW
Ulleungdo,2016-01-02,19,4.1,225,SW
Ulleungdo,2016-01-02,20,4.2,207,SSW
Ulleungdo,2016-01-02,21,3.5,199,SSW
Ulleungdo,2016-01-02,22,8.4,249,WSW
Ulleungdo,2016-01-02,23,8,222,SW
Ulleungdo,2016-01-03,0,9.2,244,WSW
Ulleungdo,2016-01-03,1,6.4,266,W
Ulleungdo,2016-01-03,2,6.2,264,W
Ulleungdo,2016-01-03,3,4.4,274,W
Ulleungdo,2016-01-03,4,4.3,288,WNW
Ulleungdo,2016-01-03,5,4.4,304,NW
Ulleungdo,2016-01-03,6,5.8,327,NNW
Ulleungdo,2016-01-03,7,4.4,333,NNW
Ulleungdo,2016-01-03,8,3.5,359,N
Ulleungdo,2016-01-03,9,3.1,299,WNW
Ulleungdo,2016-01-03,10,2.3,314,NW
Ulleungdo,2016-01-03,11,3.7,32,NNE
Ulleungdo,2016-01-03,12,3,22,NNE
Ulleungdo,2016-01-03,13,2,8,N
Ulleungdo,2016-01-03,14,1.9,42,NE
Ulleungdo,2016-01-03,15,2.1,4,N
Ulleungdo,2016-01-03,16,2.9,25,NNE
Ulleungdo,2016-01-03,17,3.7,46,NE
Ulleungdo,2016-01-03,18,3.1,55,NE
Ulleungdo,2016-01-03,19,2.9,54,NE
Ulleungdo,2016-01-03,20,3.3,95,E
Ulleungdo,2016-01-03,21,3.1,113,ESE
Ulleungdo,2016-01-03,22,3.7,132,SE
Ulleungdo,2016-01-03,23,3.6,116,ESE
Ulleungdo,2016-01-04,0,3.5,147,SSE
Ulleungdo,2016-01-04,1,2.4,101,E
Ulleungdo,2016-01-04,2,0.5,165,SSE
Ulleungdo,2016-01-04,3,0.8,290,WNW
Ulleungdo,2016-01-04,4,0.9,230,SW
Ulleungdo,2016-01-04,5,5.7,273,W
Ulleungdo,2016-01-04,6,7.9,300,WNW
Ulleungdo,2016-01-04,7,8.1,301,WNW
Ulleungdo,2016-01-04,8,8.9,295,WNW
Ulleungdo,2016-01-04,9,8.9,323,NW
Ulleungdo,2016-01-04,10,8.6,326,NW
Ulleungdo,2016-01-04,11,9.2,311,NW
Ulleungdo,2016-01-04,12,8.6,318,NW
Ulleungdo,2016-01-04,13,9.5,304,NW
Ulleungdo,2016-01-04,14,10.1,313,NW
Ulleungdo,2016-01-04,15,9.5,314,NW
Ulleungdo,2016-01-04,16,9.3,300,WNW
Ulleungdo,2016-01-04,17,8.8,315,NW
Ulleungdo,2016-01-04,18,8.7,331,NNW
Ulleungdo,2016-01-04,19,7.3,347,NNW
