buoy,date,time,speed,direction,code
Ulsan,2016-01-01,0,2.9,340,NNW
Ulsan,2016-01-01,1,2.2,345,NNW
Ulsan,2016-01-01,2,2.8,295,WNW
Ulsan,2016-01-01,3,3.2,285,WNW
Ulsan,2016-01-01,4,3.9,278,W
Ulsan,2016-01-01,5,4.6,280,W
Ulsan,2016-01-01,6,3,285,WNW
Ulsan,2016-01-01,7,4.6,279,W
Ulsan,2016-01-01,8,4.1,306,NW
Ulsan,2016-01-01,9,5.7,325,NW
Ulsan,2016-01-01,10,5.6,299,WNW
Ulsan,2016-01-01,11,5.8,284,WNW
Ulsan,2016-01-01,12,4.6,280,W
Ulsan,2016-01-01,13,5.1,281,W
Ulsan,2016-01-01,14,6.2,232,SW
Ulsan,2016-01-01,15,5.9,250,WSW
Ulsan,2016-01-01,16,7.3,233,SW
Ulsan,2016-01-01,17,9.4,239,WSW
Ulsan,2016-01-01,18,9.5,249,WSW
Ulsan,2016-01-01,19,10.5,242,WSW
Ulsan,2016-01-01,20,9.6,239,WSW
Ulsan,2016-01-01,21,9.7,254,WSW
Ulsan,2016-01-01,22,10.3,257,WSW
Ulsan,2016-01-01,23,10.5,253,WSW
Ulsan,2016-01-02,0,11.3,268,W
Ulsan,2016-01-02,1,10.5,256,WSW
Ulsan,2016-01-02,2,11.4,256,WSW
Ulsan,2016-01-02,3,12.3,267,W
Ulsan,2016-01-02,4,14.6,264,W
Ulsan,2016-01-02,5,12.7,292,WNW
Ulsan,2016-01-02,6,9.6,287,WNW
Ulsan,2016-01-02,7,7.4,280,W
Ulsan,2016-01-02,8,4.8,294,WNW
Ulsan,2016-01-02,9,5.7,276,W
Ulsan,2016-01-02,10,7,262,W
Ulsan,2016-01-02,11,8.2,272,W
Ulsan,2016-01-02,12,9.2,251,WSW
Ulsan,2016-01-02,13,8.8,268,W
Ulsan,2016-01-02,14,9,246,WSW
Ulsan,2016-01-02,15,10,256,WSW
Ulsan,2016-01-02,16,10,255,WSW
Ulsan,2016-01-02,17,10.5,242,WSW
Ulsan,2016-01-02,18,10,250,WSW
Ulsan,2016-01-02,19,10.2,250,WSW
Ulsan,2016-01-02,20,8.9,239,WSW
Ulsan,2016-01-02,21,8.3,264,W
Ulsan,2016-01-02,22,7.5,261,W
Ulsan,2016-01-02,23,7.1,262,W
Ulsan,2016-01-03,0,7.2,252,WSW
Ulsan,2016-01-03,1,6.7,266,W
Ulsan,2016-01-03,2,6.1,263,W
Ulsan,2016-01-03,3,5.9,266,W
Ulsan,2016-01-03,4,3.5,297,WNW
Ulsan,2016-01-03,5,2.3,317,NW
Ulsan,2016-01-03,6,2,333,NNW
Ulsan,2016-01-03,7,1.7,312,NW
Ulsan,2016-01-03,8,0.7,278,W
Ulsan,2016-01-03,9,0.7,219,SW
Ulsan,2016-01-03,10,0.6,186,S
Ulsan,2016-01-03,11,0.6,215,SW
Ulsan,2016-01-03,12,1.3,172,S
Ulsan,2016-01-03,13,3.3,248,WSW
Ulsan,2016-01-03,14,3.6,240,WSW
Ulsan,2016-01-03,15,4.9,232,SW
Ulsan,2016-01-03,16,5.9,234,SW
Ulsan,2016-01-03,17,6.6,230,SW
Ulsan,2016-01-03,18,6.8,246,WSW
Ulsan,2016-01-03,19,7.3,242,WSW
Ulsan,2016-01-03,20,7.6,248,WSW
Ulsan,2016-01-03,21,8.2,237,WSW
Ulsan,2016-01-03,22,8.3,245,WSW
Ulsan,2016-01-03,23,7.8,268,W
Ulsan,2016-01-04,0,7.9,245,WSW
Ulsan,2016-01-04,1,7.3,261,W
Ulsan,2016-01-04,2,7.6,261,W
Ulsan,2016-01-04,3,9.5,256,WSW
Ulsan,2016-01-04,4,7.9,278,W
Ulsan,2016-01-04,5,4.4,313,NW
Ulsan,2016-01-04,6,4.8,325,NW
Ulsan,2016-01-04,7,7.3,353,N
Ulsan,2016-01-04,8,7.7,336,NNW
Ulsan,2016-01-04,9,6.6,346,NNW
Ulsan,2016-01-04,10,4.5,356,N
Ulsan,2016-01-04,11,4.4,344,NNW
Ulsan,2016-01-04,12,5.5,341,NNW
Ulsan,2016-01-04,13,5.7,336,NNW
Ulsan,2016-01-04,14,6,354,N
Ulsan,2016-01-04,15,5.9,2,N
Ulsan,2016-01-04,16,5.1,4,N
Ulsan,2016-01-04,17,4,351,N
Ulsan,2016-01-04,18,6.1,321,NW
Ulsan,2016-01-04,19,8.4,333,NNW
Ulsan,2016-01-04,20,8.9,315,NW
Ulsan,2016-01-04,21,7.2,314,NW
Ulsan,2016-01-04,22,8.6,321,NW
Ulsan,2016-01-04,23,8.1,293,WNW
Ulsan,2016-01-05,0,7.7,331,NNW
Ulsan,2016-01-05,1,6.5,319,NW
Ulsan,2016-01-05,2,6.6,310,NW
Ulsan,2016-01-05,3,4.2,323,NW
Ulsan,2016-01-05,4,5.5,345,NNW
Ulsan,2016-01-05,5,6.2,359,N
Ulsan,2016-01-05,6,9.2,9,N
Ulsan,2016-01-05,7,7.6,339,NNW
Ulsan,2016-01-05,8,8.8,347,NNW
Ulsan,2016-01-05,9,8.9,348,NNW
Ulsan,2016-01-05,10,8.4,347,NNW
Ulsan,2016-01-05,11,8.4,359,N
Ulsan,2016-01-05,12,6.4,336,NNW
Ulsan,2016-01-05,13,4.7,314,NW
Ulsan,2016-01-05,14,4,275,W
Ulsan,2016-01-05,15,4.2,297,WNW
Ulsan,2016-01-05,16,3.6,281,W
Ulsan,2016-01-05,17,3.6,341,NNW
Ulsan,2016-01-05,18,4.5,338,NNW
Ulsan,2016-01-05,19,5.8,347,NNW
Ulsan,2016-01-05,20,5.5,358,N
Ulsan,2016-01-05,21,5.6,333,NNW
Ulsan,2016-01-05,22,6.3,329,NNW
Ulsan,2016-01-05,23,6.2,333,NNW
Ulsan,2016-01-06,0,6.6,352,N
Ulsan,2016-01-06,1,6.1,10,N
Ulsan,2016-01-06,2,5.7,329,NNW
Ulsan,2016-01-06,3,6.8,330,NNW
Ulsan,2016-01-06,4,7.3,350,N
Ulsan,2016-01-06,5,7.1,329,NNW
Ulsan,2016-01-06,6,9.8,326,NW
Ulsan,2016-01-06,7,10.8,323,NW
Ulsan,2016-01-06,8,10.1,323,NW
Ulsan,2016-01-06,9,8.9,345,NNW
Ulsan,2016-01-06,10,9.9,313,NW
Ulsan,2016-01-06,11,9.1,330,NNW
Ulsan,2016-01-06,12,9.2,344,NNW
Ulsan,2016-01-06,13,8.1,345,NNW
Ulsan,2016-01-06,14,8.6,349,N
Ulsan,2016-01-06,15,7.1,341,NNW
Ulsan,2016-01-06,16,8.1,331,NNW
Ulsan,2016-01-06,17,7.9,339,NNW
Ulsan,2016-01-06,18,7.8,327,NNW
Ulsan,2016-01-06,19,8.3,347,NNW
Ulsan,2016-01-06,20,7.4,338,NNW
Ulsan,2016-01-06,21,9,333,NNW
Ulsan,2016-01-06,22,9.4,336,NNW
Ulsan,2016-01-06,23,9.8,4,N
Ulsan,2016-01-07,0,10.5,345,NNW
Ulsan,2016-01-07,1,10.6,352,N
Ulsan,2016-01-07,2,10.1,2,N
Ulsan,2016-01-07,3,8.7,346,NNW
Ulsan,2016-01-07,4,9.8,344,NNW
Ulsan,2016-01-07,5,7.7,329,NNW
Ulsan,2016-01-07,6,7.8,347,NNW
Ulsan,2016-01-07,7,7.8,338,NNW
Ulsan,2016-01-07,8,8.3,349,N
Ulsan,2016-01-07,9,8.5,334,NNW
Ulsan,2016-01-07,10,8,327,NNW
Ulsan,2016-01-07,11,7,345,NNW
Ulsan,2016-01-07,12,7.8,316,NW
Ulsan,2016-01-07,13,8.2,328,NNW
