,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
05월 28일,16,23,24,18,14,16,28,14,17,21,19,16,17,16,21,21,13
05월 27일,14,18,14,13,11,12,19,12,15,14,14,13,13,14,13,17,9
05월 26일,9,16,8,9,7,8,13,7,7,7,7,10,9,8,8,12,11
05월 25일,14,37,24,16,20,17,36,13,14,15,19,17,20,17,24,22,18
05월 24일,15,35,33,16,22,18,40,17,16,18,22,18,22,19,26,28,20
05월 23일,21,38,28,24,18,21,45,20,22,26,21,23,26,19,25,26,18
05월 22일,26,39,26,23,19,18,39,18,24,24,20,22,20,25,23,28,20
05월 21일,19,29,23,19,20,19,32,18,17,26,19,18,23,22,23,25,26
05월 20일,21,27,19,22,17,16,29,15,20,23,20,18,24,18,17,23,23
05월 19일,25,33,24,28,24,24,33,23,27,27,29,23,29,23,23,27,21
05월 18일,26,42,33,30,23,24,40,22,27,25,27,26,31,24,28,29,19
05월 17일,18,35,24,22,20,15,38,15,21,20,21,19,26,19,18,27,21
05월 16일,15,22,13,15,13,13,28,10,17,19,19,13,17,13,14,14,17
05월 15일,11,16,11,11,11,11,14,9,10,14,11,11,14,10,11,12,11
05월 14일,14,22,14,15,20,16,16,14,15,19,17,15,22,15,14,16,30
05월 13일,26,33,24,27,24,20,38,17,29,30,26,21,27,18,25,22,16
05월 12일,42,35,33,48,28,24,42,24,49,40,33,30,29,24,33,28,22
05월 11일,33,39,32,35,32,30,38,24,39,36,40,31,39,27,32,30,33
05월 10일,20,26,20,24,23,12,24,10,22,20,19,19,20,15,18,18,16
05월 09일,31,25,28,35,17,21,29,23,35,38,35,26,21,14,33,22,14
05월 08일,36,44,30,45,67,43,33,37,44,41,49,47,60,40,34,46,32
05월 07일,16,32,22,20,34,19,27,16,18,23,20,22,40,30,25,29,29
05월 06일,20,32,26,28,29,23,33,23,24,32,30,26,39,27,30,31,34
05월 05일,24,21,24,25,20,26,24,20,25,30,24,26,35,20,25,19,13
05월 04일,32,24,24,34,30,31,30,31,34,34,31,33,37,26,26,25,18
05월 03일,32,22,18,35,26,23,26,26,37,30,25,30,42,23,18,22,22
05월 02일,48,14,13,52,17,21,12,29,54,23,18,36,44,15,13,15,25
05월 01일,48,27,21,62,49,37,22,40,60,28,46,52,65,37,25,30,32
04월 30일,49,40,33,52,45,40,42,39,55,40,42,48,52,37,35,35,32
04월 29일,27,35,26,32,34,27,31,27,34,29,36,30,38,30,27,30,43
