지점,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28,2017-05-29,2017-05-30
강서구,26,16,24,26,20,28,30,50,24,23,35,37,27,19,13,16,34,43,31,26,26,37,37,31,34,15,17,20,26,62
강서구,27,16,27,27,21,32,31,44,28,25,37,40,29,21,15,21,40,43,32,29,30,36,38,36,37,15,19,21,31,52
금정구,25,14,21,21,20,29,29,39,25,23,36,35,35,19,14,22,37,37,33,25,26,39,35,33,34,14,17,19,29,43
금정구,28,19,23,24,23,34,34,41,28,26,38,37,35,23,18,25,35,36,35,29,29,42,36,39,34,17,19,22,32,47
기장군,27,17,24,22,20,39,32,43,25,24,38,34,35,22,15,23,32,39,28,27,27,39,35,34,35,15,16,20,28,44
기장군,21,9,16,18,13,31,24,29,30,18,33,31,33,18,14,26,33,33,33,27,24,39,35,39,29,20,18,19,32,35
남구,32,17,25,28,26,39,43,54,30,33,46,37,37,28,22,26,40,52,39,32,37,45,43,41,44,20,22,28,35,63
동구,44,12,20,23,19,28,30,43,23,24,37,33,34,21,17,22,30,54,32,25,31,42,41,36,35,18,19,21,29,52
동래구,29,16,26,27,25,34,34,45,29,27,44,37,37,21,18,25,39,43,34,28,29,44,38,33,35,16,17,23,27,48
부산진구,26,13,22,23,21,31,30,45,27,27,43,39,36,21,16,14,-,-,33,28,30,43,48,36,43,16,19,22,22,35
북구,21,9,15,16,15,25,23,34,19,20,30,29,22,14,9,9,31,30,24,21,21,29,28,27,28,9,10,13,23,37
사상구,28,17,26,28,27,37,33,49,31,35,48,46,33,23,19,24,41,46,38,31,30,36,45,39,42,19,20,22,38,61
사하구,28,13,25,30,24,34,34,54,25,28,42,36,32,25,18,22,39,49,39,30,34,41,42,38,47,18,19,25,29,62
서구,27,13,19,23,20,31,33,46,24,27,40,36,35,24,16,23,36,47,31,28,29,38,42,36,41,18,20,20,31,49
연제구,25,13,19,24,20,29,29,40,24,26,37,35,32,19,13,19,34,38,29,27,25,41,36,32,35,15,17,20,28,49
영도구,21,9,14,18,20,28,32,46,18,19,30,21,26,22,12,15,23,37,27,23,25,32,29,28,32,10,11,18,18,39
중구,29,14,25,29,29,36,39,51,26,28,41,35,35,26,16,21,36,50,34,23,29,37,38,33,32,14,15,22,24,55
해운대구,24,12,18,17,17,33,34,46,24,31,43,35,35,27,19,26,33,44,37,32,36,43,40,39,43,18,22,25,31,52
