지점,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28,2017-05-29,2017-05-30,2017-05-31
광양시,34,39,38,24,133,123,146,34,22,43,37,35,41,31,19,26,34,39,28,30,35,23,26,31,20,22,25,48,39,33
광양시,37,45,46,26,145,145,173,34,25,57,45,40,47,36,29,36,52,51,41,36,37,35,39,37,25,36,35,57,55,45
광양시,42,51,48,36,129,129,118,44,28,52,51,48,49,37,31,42,49,47,43,39,41,36,43,39,29,42,42,60,49,47
광양시,34,55,54,35,118,131,166,39,29,67,55,54,43,35,43,49,64,61,53,42,53,46,50,42,25,54,48,58,73,57
목포시,48,51,46,28,179,221,183,39,38,63,55,-,-,51,35,42,46,41,32,36,40,35,27,35,35,27,32,40,43,35
목포시,46,48,41,26,172,190,160,35,34,58,38,27,56,46,31,41,49,38,31,33,36,33,26,28,30,24,30,37,39,32
순천시,37,36,39,20,138,161,219,40,22,46,38,27,40,32,20,31,32,38,24,30,33,26,22,27,23,22,26,45,47,39
순천시,46,47,47,30,153,157,195,47,28,55,49,37,49,42,24,38,41,45,30,38,44,34,32,33,24,28,33,54,50,49
순천시,50,54,57,38,168,168,193,56,33,49,49,40,52,42,29,39,44,50,35,39,42,35,34,37,32,32,36,54,50,48
순천시,35,42,42,23,142,159,211,40,20,48,41,29,42,33,19,31,35,40,25,30,37,26,24,28,27,21,26,45,46,34
여수시,27,27,34,15,161,174,232,31,23,45,35,29,43,33,23,40,39,39,24,28,32,29,24,37,22,28,22,43,44,28
여수시,26,26,44,17,151,165,214,29,24,46,36,30,44,34,23,38,44,44,28,30,32,30,24,39,35,33,22,42,50,30
여수시,28,28,34,16,149,164,231,32,22,45,35,28,42,34,21,39,36,40,23,27,29,27,23,34,22,25,21,44,44,31
여수시,36,34,42,22,151,175,243,37,29,51,37,31,57,38,24,39,39,43,27,32,38,32,26,33,24,26,27,49,50,36
여수시,46,50,55,29,163,180,202,37,31,58,50,40,50,41,29,40,57,50,36,36,46,44,28,37,25,34,41,62,69,44
영암군,47,49,41,28,157,186,143,29,36,59,47,28,55,46,33,46,48,42,30,33,38,37,28,29,30,23,27,41,46,39
