지점,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28,2017-05-29,2017-05-30
남구,29,42,40,32,123,101,72,53,28,53,55,50,47,45,44,54,50,57,43,38,59,56,51,45,33,31,40,59,74,-
남구,43,47,49,29,156,130,85,61,29,65,67,55,53,52,54,66,66,61,51,50,52,51,68,59,47,44,46,83,109,-
남구,31,57,52,29,150,122,84,52,24,58,60,46,45,46,44,55,56,50,48,39,54,68,48,47,29,38,41,61,82,-
남구,20,38,41,27,119,97,70,50,26,51,53,47,42,33,40,54,50,45,41,35,55,59,48,45,33,33,36,60,76,-
남구,34,56,62,39,152,136,82,68,39,73,76,67,61,59,62,90,74,68,59,51,74,85,65,70,46,61,54,93,109,-
남구,32,48,55,34,151,127,104,57,31,71,77,51,52,54,55,64,81,72,57,62,60,72,51,65,36,53,43,74,114,-
동구,35,39,44,37,171,128,118,67,42,76,67,53,64,61,49,55,70,78,64,60,67,72,60,68,36,43,50,63,95,-
북구,42,54,53,41,179,147,-,-,33,68,69,53,66,70,53,59,70,66,65,65,67,73,54,59,38,44,53,75,87,-
북구,31,51,64,52,158,115,111,62,34,78,77,66,52,56,52,58,80,85,71,59,61,88,56,83,35,41,55,84,122,-
울주군,27,36,34,19,136,113,71,46,25,53,49,43,39,41,46,57,48,48,43,40,69,51,51,46,40,40,53,63,95,-
울주군,40,42,45,35,134,141,88,58,39,64,56,50,59,51,45,58,53,52,51,52,60,65,56,44,43,40,50,65,65,-
울주군,38,55,56,-,172,139,84,56,38,64,67,58,50,56,52,65,60,56,57,47,69,74,72,61,42,35,47,80,103,-
울주군,43,69,74,50,182,154,116,76,60,112,81,79,69,72,67,76,90,93,135,72,95,98,75,87,58,60,67,107,161,-
중구,27,51,51,38,134,99,78,60,33,59,69,56,47,44,52,64,58,53,54,45,60,77,57,54,38,42,45,64,85,-
