지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27
강서구,77,72,68,43,41,44,28,128,132,134,54,35,60,54,40,50,44,28,49,65,55,45,39,50,53,42,52,37,35,-
녹산동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강서구,70,76,65,35,47,45,28,133,127,120,61,33,65,62,45,57,45,34,53,63,52,47,40,46,52,49,51,35,37,-
대저동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금정구,65,77,56,34,39,40,30,121,116,98,54,35,65,54,50,53,44,37,50,60,53,44,37,53,48,45,48,35,32,-
부곡동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금정구,72,84,65,41,41,43,32,134,123,100,53,35,65,56,52,57,47,41,53,59,58,53,44,58,53,53,50,39,35,-
청룡동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기장군,68,86,61,38,41,38,29,149,124,108,51,35,66,52,52,53,45,41,55,63,52,47,41,57,58,50,54,39,34,-
기장읍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기장군,61,72,56,33,37,37,23,132,116,84,46,29,56,46,46,48,43,38,49,51,51,44,35,56,51,52,42,39,28,-
용수리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남구,76,81,61,35,38,44,35,129,142,135,59,42,73,54,51,63,48,37,57,70,60,50,48,62,65,54,60,42,40,-
대연동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동구,85,89,91,32,43,47,32,147,158,145,60,37,75,58,54,68,51,43,55,86,63,52,51,68,74,59,59,46,40,-
수정동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동래구,84,93,72,50,60,54,43,143,145,127,67,47,78,63,59,67,63,53,67,70,68,59,52,71,67,57,62,53,48,-
명장동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산진구,78,88,64,30,39,42,30,135,136,126,55,34,69,55,50,55,45,21,-,-,57,46,39,57,66,47,56,36,35,-
전포동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
북구,53,69,50,24,31,34,28,106,97,91,48,34,57,56,45,44,32,17,54,51,44,38,34,44,49,44,48,30,25,-
덕천동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사상구,79,77,60,38,44,41,31,133,142,136,60,48,80,62,46,58,57,36,59,71,67,53,45,48,70,55,69,52,45,-
학장동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사하구,77,77,59,33,44,49,31,129,134,141,53,38,65,51,44,58,48,36,58,72,68,50,46,54,59,47,66,42,37,-
장림동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서구,75,77,59,32,33,38,25,129,137,122,51,34,70,58,50,60,45,35,54,70,55,45,40,50,60,50,61,39,35,-
대신동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수영구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
광안동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연제구,60,72,57,27,30,35,22,117,125,108,51,30,61,49,45,48,37,30,48,56,47,40,31,51,52,41,49,38,28,-
연산동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영도구,89,82,53,24,31,38,32,136,157,176,53,32,60,40,41,63,39,26,44,61,55,44,41,53,55,46,53,30,25,-
태종대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중구,86,87,60,33,42,46,34,135,155,147,62,38,68,50,46,65,50,34,52,67,53,39,34,45,47,36,39,32,31,-
광복동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해운대구,76,86,59,33,44,43,40,136,137,135,60,43,71,56,51,62,49,39,52,64,59,51,51,60,60,54,61,41,33,-
좌동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
