지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27
당진군,75,111,97,91,67,77,58,231,124,179,106,51,71,69,62,66,41,37,39,55,50,42,34,38,43,34,50,32,34,-
난지도리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
당진군,77,105,110,117,77,79,66,304,138,235,115,41,70,65,53,68,40,37,45,58,55,43,42,46,54,33,44,36,35,-
정곡리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서산시,69,91,91,105,81,71,79,319,165,201,112,33,66,56,62,79,40,31,,,,,,,,,,,,
독곶리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아산시,40,26,23,19,19,23,21,58,13,14,28,18,14,10,8,10,14,17,15,12,13,15,17,15,17,10,14,20,29,27
모종동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천안시,60,39,36,42,31,23,18,48,32,23,34,33,27,16,12,17,22,32,30,24,20,27,26,26,18,9,15,25,34,38
백석동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천안시,52,31,32,32,28,21,18,40,26,21,29,29,23,16,13,18,19,28,26,21,20,25,25,23,15,9,14,24,29,31
성황동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
