지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,
최대값,149,238,192,69,84,118,105,296,425,201,209,71,96,121,129,247,99,87,82,127,85,133,228,83,124,91,94,101,67,63
,(09시 태전동),(16시 신암동),(09시 이현동),(11시 지산동),(20시 이현동),(20시 대명동),(11시 노원동),(05시 서호동),(13시 대명동),(22시 대명동),(04시 수창동),(10시 이현동),(22시 수창동),(10시 대명동),(22시 호림동),(13시 수창동),(11시 서호동),(10시 이현동),(23시 대명동),(08시 수창동),(07시 수창동),(15시 서호동),(02시 신암동),(09시 노원동),(20시 만촌동),(17시 대명동),(09시 대명동),(12시 수창동),(19시 노원동),(15시 서호동)
[대구 남구],74,99,68,39,43,51,41,152,137,101,69,37,67,64,59,59,47,31,50,72,53,36,46,50,51,60,58,32,35,-
대명동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 달서구],56,70,53,36,36,43,31,116,94,87,60,26,51,50,45,44,37,24,35,50,43,40,37,37,43,40,35,25,27,-
호림동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 달성군],50,65,51,36,39,35,27,109,95,73,45,21,46,45,40,41,31,23,36,47,46,35,37,36,34,36,34,26,26,-
현풍면,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 동구],67,80,61,45,46,52,38,162,122,96,70,33,58,56,51,55,49,28,45,59,55,53,45,51,49,53,43,35,35,-
서호동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 동구],44,68,44,26,29,36,39,98,74,71,56,34,49,51,40,36,31,27,44,48,41,41,51,46,52,55,48,25,25,-
신암동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 북구],65,79,60,41,45,55,46,139,108,93,72,34,61,67,53,51,43,27,42,62,53,48,40,52,59,49,48,34,39,-
노원동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 북구],67,95,70,42,45,56,40,153,110,98,76,31,58,59,54,52,44,27,42,55,45,34,38,47,47,45,44,31,34,-
태전동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 서구],71,93,73,40,51,62,46,144,115,99,71,43,70,73,60,52,47,35,53,74,58,45,43,51,57,60,54,35,40,-
이현동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 수성구],46,61,45,28,35,35,29,96,78,69,52,25,48,46,45,42,34,25,39,46,42,36,38,40,45,44,44,25,27,-
만촌동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 수성구],53,75,58,38,36,39,34,122,93,75,54,36,55,46,48,45,39,31,50,60,48,35,37,45,50,54,44,32,34,-
지산동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 중구],75,92,67,38,43,52,41,145,116,97,71,36,69,63,61,61,42,31,54,72,52,39,44,51,53,57,55,35,,
수창동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
