지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,
최대값,127,146,160,172,147,147,87,367,249,334,243,70,107,85,124,87,84,61,67,87,95,66,70,120,81,62,73,52,93,93
,(02시 구성동),(09시 구성동),(23시 구성동),(15시 문창동),(20시 읍내동),(17시 읍내동),(00시 읍내동),(02시 둔산동),(12시 구성동),(14시 둔산동),(00시 둔산동),(18시 둔산동),(16시 구성동),(09시 둔산동),(16시 문평동),(09시 읍내동),(13시 읍내동),(11시 읍내동),(10시 문평동),(07시 읍내동),(07시 읍내동),(06시 읍내동),(03시 성남동1),(07시 읍내동),(08시 읍내동),(22시 문평동),(15시 읍내동),(00시 노은동),(10시 정림동),(14시 둔산동)
[대전 대덕구],80,107,98,64,65,74,57,196,119,179,88,33,75,58,56,53,46,39,42,54,51,39,41,41,42,42,48,31,38,-
문평동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대전 대덕구],65,94,86,60,66,78,55,193,126,218,92,33,76,57,54,52,50,34,39,54,56,37,37,45,47,32,43,30,29,-
읍내동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대전 동구],63,82,85,47,43,58,53,146,109,151,70,31,64,46,51,51,39,33,33,45,45,34,39,33,36,41,42,26,28,-
성남동1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대전 서구],69,106,94,67,66,74,56,214,146,238,87,32,77,59,56,58,45,32,37,54,52,37,39,37,44,32,41,27,29,-
둔산동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대전 서구],59,83,88,65,51,64,52,170,130,202,82,31,65,49,50,55,40,30,33,47,48,35,35,33,37,36,40,28,36,-
정림동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대전 유성구],87,117,111,72,68,75,64,199,141,227,85,31,76,57,59,62,47,38,35,54,56,33,40,37,44,38,49,27,39,-
구성동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대전 유성구],80,115,106,86,72,76,63,197,131,212,84,28,73,58,53,55,44,35,34,53,53,37,40,36,43,38,48,29,33,-
노은동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대전 중구],61,88,84,60,48,66,53,179,130,190,86,31,67,50,55,53,42,31,35,48,48,36,36,34,39,37,41,29,33,-
문창동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
