지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,
최대값,125,176,127,105,153,182,77,517,411,240,211,63,173,104,106,186,117,70,98,389,140,79,87,103,108,109,134,140,64,133
,(23시 공단동),(10시 장량동),(02시 대송면),(07시 공단동),(21시 중방동),(18시 대송면),(10시 장량동),(04시 휴천동),(14시 신음동),(21시 4공단),(00시 공단동),(09시 중방동),(03시 장량동),(01시 3공단),(17시 신음동),(11시 원평동),(17시 대송면),(18시 대송면),(10시 장흥동),(18시 장량동),(11시 장량동),(20시 장량동),(00시 중방동),(09시 대송면),(08시 장량동),(10시 대송면),(20시 중방동),(14시 중방동),(12시 대송면),(14시 형곡동)
[경북 경산시],62,90,55,36,44,43,35,141,117,83,56,38,62,58,52,51,45,30,49,64,47,40,47,48,51,54,50,40,31,-
중방동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경북 경주시],42,66,40,23,32,37,29,99,99,77,44,21,37,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
성건동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경북 구미시],60,71,67,30,29,43,32,162,121,131,64,16,54,50,41,44,39,17,24,41,48,27,34,35,28,29,37,17,20,-
4공단,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경북 구미시],72,79,77,44,42,54,47,150,115,126,76,35,67,70,56,53,49,31,42,65,51,37,45,52,53,52,65,26,39,-
공단동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경북 구미시],62,69,73,40,42,50,42,148,113,115,68,26,38,34,61,56,47,27,33,50,48,32,34,34,37,31,38,27,28,-
원평동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경북 구미시],52,60,63,30,33,,,,,,,,,,,,,,,,,,,,,,,,,
형곡동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
