지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,
최대값,126,135,216,214,144,176,263,471,173,293,213,103,118,131,111,115,116,74,88,93,94,84,55,113,75,58,85,55,68,73
,(22시 원당),(10시 신흥),(12시 숭의),(11시 숭의),(14시 숭의),(11시 신흥),(23시 송림),(01시 원당),(16시 송해),(12시 숭의),(16시 원당),(00시 신흥),(23시 신흥),(02시 신흥),(15시 논현),(14시 숭의),(14시 숭의),(12시 계산),(09시 신흥),(22시 원당),(02시 계산),(07시 원당),(20시 송해),(12시 숭의),(09시 신흥),(23시 석남),(17시 계산),(16시 숭의),(01시 계산),(14시 동춘)
[인천 강화군],55,81,77,71,62,58,41,185,80,137,102,48,52,71,51,51,40,30,32,44,41,33,36,37,30,27,34,26,30,-
송해,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 계양구],74,97,109,110,76,73,58,217,95,159,116,60,78,86,60,62,47,51,44,59,55,44,34,44,39,36,55,37,47,-
계산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 남구],77,103,134,118,93,84,62,241,106,199,141,62,72,86,57,73,53,42,54,64,57,46,38,52,49,38,47,36,35,-
숭의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 남동구],56,73,87,87,65,60,43,189,74,153,100,35,56,67,44,49,29,27,34,45,46,33,22,30,35,24,35,20,25,-
고잔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 남동구],68,91,111,114,75,68,53,230,94,170,119,47,72,77,55,63,42,38,51,53,51,45,37,42,41,33,49,30,38,-
구월동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 남동구],57,74,81,87,66,58,47,215,88,168,114,39,67,58,40,57,38,30,36,45,41,38,31,31,37,28,40,28,29,-
논현,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 동구],58,78,107,84,71,61,56,185,82,160,108,44,61,65,45,51,35,29,38,45,41,31,27,34,34,22,34,25,24,-
송림,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 부평구],57,84,104,88,57,48,45,151,69,129,96,37,64,74,49,46,35,30,42,41,43,36,26,31,32,24,33,19,25,-
부평,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 서구],67,90,105,93,67,67,54,198,87,165,117,51,69,83,55,56,39,37,41,52,46,36,27,35,34,24,39,22,30,-
검단,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 서구],67,89,103,104,76,68,57,202,93,157,121,58,64,78,55,63,45,40,53,58,56,49,39,43,42,32,50,32,37,-
석남,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 서구],65,89,101,91,62,59,51,196,86,162,113,49,73,81,49,57,37,34,40,54,55,32,26,33,32,24,39,23,30,-
연희,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 서구],81,100,114,109,85,84,62,247,99,176,137,50,58,86,61,71,51,45,47,66,58,46,37,47,51,33,50,31,40,-
원당,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 연수구],60,79,97,87,58,55,47,139,69,115,82,37,53,53,41,49,37,34,38,47,44,37,32,37,40,31,35,34,29,-
동춘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 중구],82,93,125,91,97,84,61,277,104,197,131,57,83,96,68,74,52,49,60,70,61,49,41,53,51,38,56,38,43,-
신흥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 중구],63,76,69,67,22,38,56,207,99,174,117,48,56,63,46,66,39,27,38,47,42,36,27,37,35,27,42,26,28,-
운서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
