지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28
최대값,70,65,81,51,53,59,49,92,52,111,66,31,55,47,40,42,28,29,32,42,45,29,31,35,38,38,40,19,26,29
,(00시 구성동),(22시 구성동),(09시 구성동),(00시 구성동),(01시 구성동),(22시 구성동),(03시 구성동),(03시 노은동),(12시 노은동),(10시 노은동),(01시 노은동),(15시 구성동),(19시 둔산동),(08시 성남동1),(23시 구성동),(02시 구성동),(23시 정림동),(01시 구성동),(21시 정림동),(23시 둔산동),(02시 구성동),(07시 읍내동),(00시 구성동),(08시 읍내동),(19시 구성동),(19시 구성동),(08시 구성동),(01시 읍내동),(23시 문평동),(15시 노은동)
[대전 대덕구],32,42,36,19,25,32,25,19,15,36,19,10,28,23,19,12,9,13,16,25,24,16,20,19,21,18,15,8,14,18
문평동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대전 대덕구],25,36,34,19,26,31,24,17,12,28,16,12,28,24,19,14,12,13,15,24,25,16,18,21,21,17,18,11,11,14
읍내동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대전 동구],26,42,38,17,20,34,30,30,24,54,27,13,37,30,23,24,19,14,15,26,25,16,20,18,22,19,17,8,12,16
성남동1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대전 서구],27,41,39,22,25,31,28,19,17,38,18,10,28,24,20,14,7,10,12,22,24,12,18,15,20,16,17,5,10,14
둔산동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대전 서구],22,32,33,21,19,26,23,16,15,28,13,11,23,19,17,13,9,11,14,20,22,15,17,15,18,17,15,7,11,15
정림동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대전 유성구],36,51,45,29,33,36,33,23,20,50,26,17,36,30,27,20,12,19,19,29,30,18,23,22,26,23,21,9,15,20
구성동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대전 유성구],26,38,38,21,19,23,21,39,28,77,31,9,30,22,17,15,8,14,14,22,23,15,19,16,19,16,17,7,12,16
노은동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대전 중구],26,39,37,19,19,31,25,21,18,36,19,13,29,23,21,15,10,12,15,24,24,17,19,17,21,21,17,8,12,14
문창동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
