지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28
최대값,68,64,78,44,47,55,57,92,75,98,49,44,62,70,48,48,43,31,40,47,53,38,38,37,42,40,42,19,28,26
,(06시 오선동),(09시 송정1동),(04시 오선동),(21시 오선동),(17시 송정1동),(08시 송정1동),(02시 오선동),(02시 오선동),(12시 오선동),(15시 오선동),(00시 건국동),(23시 오선동),(19시 송정1동),(01시 오선동),(21시 오선동),(00시 오선동),(08시 건국동),(23시 오선동),(09시 두암동),(22시 주월동),(09시 송정1동),(10시 송정1동),(08시 송정1동),(22시 송정1동),(08시 송정1동),(09시 두암동),(09시 두암동),(15시 오선동),(01시 오선동),(05시 송정1동)
[광주 광산구],36,49,45,22,34,38,27,33,43,67,22,23,39,33,24,22,15,18,24,30,31,22,25,26,24,26,21,10,17,19
송정1동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[광주 광산구],43,54,58,24,35,40,31,39,43,77,25,30,39,39,31,26,17,18,25,-,21,22,25,23,25,27,23,11,15,18
오선동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[광주 남구],32,42,43,14,22,26,18,28,33,66,16,21,29,25,23,20,11,14,20,24,25,18,19,18,15,19,19,7,12,12
주월동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[광주 동구],25,40,47,10,17,19,12,22,26,65,11,20,26,17,21,17,5,7,15,17,17,10,10,11,10,16,18,3,4,4
서석동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[광주 북구],31,37,44,16,23,28,21,23,27,53,15,19,27,26,19,15,10,9,14,19,23,14,18,16,17,21,17,4,9,13
건국동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[광주 북구],35,48,55,14,23,27,15,29,34,73,18,28,33,30,28,24,11,13,23,25,26,17,21,18,18,25,22,6,10,14
두암동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
