지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28
최대값,67,78,63,31,70,56,40,77,60,85,82,49,156,84,98,37,32,90,97,88,68,61,92,72,89,63,72,38,50,69
,(07시 화산리),(00시 화산리),(01시 화산리),(08시 삼남면),(21시 성남동),(08시 농소동),(07시 대송동),(15시 대송동),(13시 대송동),(16시 대송동),(04시 대송동),(06시 성남동),(23시 화산리),(00시 대송동),(09시 화산리),(07시 대송동),(20시 대송동),(23시 야음동),(00시 야음동),(21시 화산리),(01시 대송동),(10시 화산리),(09시 화산리),(13시 화산리),(07시 성남동),(06시 화산리),(02시 야음동),(09시 화산리),(09시 대송동),(09시 화산리)
[울산 남구],27,39,21,12,30,36,20,29,25,23,28,22,35,44,41,15,12,33,51,42,33,27,27,42,53,43,40,14,22,28
야음동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[울산 동구],37,47,23,12,18,23,22,48,34,45,32,27,44,41,35,23,18,25,26,44,43,33,34,36,39,38,41,9,18,26
대송동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[울산 북구],26,39,20,11,24,32,25,29,23,-,-,18,33,42,31,14,15,20,30,39,30,26,33,34,41,33,30,8,13,25
농소동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[울산 울주군],29,39,24,17,21,27,28,30,28,30,26,21,34,35,31,16,16,28,40,32,29,27,32,41,40,41,25,16,19,24
삼남면,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[울산 울주군],39,49,24,10,29,31,24,31,28,32,31,24,46,41,45,14,11,29,37,46,34,32,35,41,45,41,41,15,21,34
화산리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[울산 중구],29,38,21,13,33,32,24,33,25,30,30,25,36,50,43,17,14,30,44,40,32,30,31,40,54,43,37,15,23,29
성남동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
