buoy,date,speed,direction,code
추자도,2016-01-01 00,3.9,340,NNW
추자도,2016-01-01 01,4.8,351,N
추자도,2016-01-01 02,4.8,333,NNW
추자도,2016-01-01 03,4.5,325,NW
추자도,2016-01-01 04,3.1,358,N
추자도,2016-01-01 05,2.2,352,N
추자도,2016-01-01 06,3.1,333,NNW
추자도,2016-01-01 07,3.4,6,N
추자도,2016-01-01 08,1.6,350,N
추자도,2016-01-01 09,3.4,328,NNW
추자도,2016-01-01 10,1.9,278,W
추자도,2016-01-01 11,2.5,308,NW
추자도,2016-01-01 12,3.8,321,NW
추자도,2016-01-01 13,2.1,294,WNW
추자도,2016-01-01 14,1.5,295,WNW
추자도,2016-01-01 15,1.8,305,NW
추자도,2016-01-01 16,4.3,276,W
추자도,2016-01-01 17,4.9,263,W
추자도,2016-01-01 18,5.1,262,W
추자도,2016-01-01 19,5.2,230,SW
추자도,2016-01-01 20,4.8,263,W
추자도,2016-01-01 21,3.7,272,W
추자도,2016-01-01 22,4.7,277,W
추자도,2016-01-01 23,3.9,263,W
추자도,2016-01-02 00,5,242,WSW
추자도,2016-01-02 01,6.7,254,WSW
추자도,2016-01-02 02,6.4,255,WSW
추자도,2016-01-02 03,4.4,262,W
추자도,2016-01-02 04,5.5,259,W
추자도,2016-01-02 05,5.4,249,WSW
추자도,2016-01-02 06,5.4,266,W
추자도,2016-01-02 07,5,260,W
추자도,2016-01-02 08,4.8,244,WSW
추자도,2016-01-02 09,4.6,248,WSW
추자도,2016-01-02 10,4,231,SW
추자도,2016-01-02 11,4,229,SW
추자도,2016-01-02 12,4.6,221,SW
추자도,2016-01-02 13,4.4,218,SW
추자도,2016-01-02 14,4.1,222,SW
추자도,2016-01-02 15,3.8,243,WSW
추자도,2016-01-02 16,3.5,235,SW
추자도,2016-01-02 17,2.4,247,WSW
추자도,2016-01-02 18,2,229,SW
추자도,2016-01-02 19,2,215,SW
추자도,2016-01-02 20,2.1,215,SW
추자도,2016-01-02 21,2.2,232,SW
추자도,2016-01-02 22,3,253,WSW
추자도,2016-01-02 23,3.3,218,SW
추자도,2016-01-03 00,3.7,262,W
추자도,2016-01-03 01,6.4,303,WNW
추자도,2016-01-03 02,5.3,318,NW
추자도,2016-01-03 03,4,325,NW
추자도,2016-01-03 04,4.1,316,NW
추자도,2016-01-03 05,4.4,332,NNW
추자도,2016-01-03 06,5.3,324,NW
