지점,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28,2017-05-29,2017-05-30,2017-05-31
단양군,38,43,49,49,148,86,115,85,24,66,57,43,44,35,29,37,47,53,39,37,34,40,22,42,18,33,46,61,58,67
옥천군,42,38,58,47,168,117,158,75,27,62,45,52,50,37,27,26,44,43,27,33,27,33,33,46,23,24,42,54,61,50
제천시,38,40,54,56,177,93,114,95,28,64,52,40,44,37,31,36,39,52,46,33,34,32,28,40,15,30,39,58,61,54
진천군,69,77,63,54,211,101,172,102,33,61,51,45,49,39,36,42,50,50,35,26,35,33,29,40,24,26,39,55,57,37
청주시,55,62,70,55,206,112,175,95,32,73,54,49,52,44,40,47,52,54,37,40,39,40,39,49,29,33,48,63,74,60
청주시,58,68,69,50,208,107,174,94,32,72,50,49,50,39,37,48,58,55,44,40,40,45,35,48,26,28,48,57,73,62
청주시,55,70,69,54,198,106,180,94,28,73,55,50,49,40,35,42,52,53,41,37,39,38,34,46,26,29,44,50,66,55
청주시,66,73,76,54,195,102,184,100,40,84,74,56,50,40,40,45,53,54,37,38,39,42,44,48,23,32,48,58,73,52
청주시,36,38,48,35,150,79,134,71,21,50,37,35,35,32,24,29,38,40,28,27,28,32,25,30,20,22,34,44,47,42
충주시,41,50,63,58,151,86,125,98,36,77,61,53,52,44,47,45,59,66,48,40,46,44,43,54,30,41,63,69,72,59
충주시,40,43,60,45,198,99,156,97,27,57,48,47,51,41,31,35,53,53,39,32,35,39,27,40,24,32,45,60,58,52
