buoy,date,speed,direction,code
Geojaedo,2016-01-01 00,6.3,347,NNW
Geojaedo,2016-01-01 00,7,351,N
Geojaedo,2016-01-01 01,6.6,311,NW
Geojaedo,2016-01-01 01,6.8,333,NNW
Geojaedo,2016-01-01 02,6.8,336,NNW
Geojaedo,2016-01-01 02,7.2,334,NNW
Geojaedo,2016-01-01 03,5.8,320,NW
Geojaedo,2016-01-01 03,5.8,351,N
Geojaedo,2016-01-01 04,6.4,337,NNW
Geojaedo,2016-01-01 04,6.4,348,NNW
Geojaedo,2016-01-01 05,5.4,332,NNW
Geojaedo,2016-01-01 05,5.7,327,NNW
Geojaedo,2016-01-01 06,4.8,316,NW
Geojaedo,2016-01-01 06,5.4,321,NW
Geojaedo,2016-01-01 07,2.7,308,NW
Geojaedo,2016-01-01 07,3.2,304,NW
Geojaedo,2016-01-01 08,3.3,354,N
Geojaedo,2016-01-01 08,3.8,319,NW
Geojaedo,2016-01-01 09,3.5,335,NNW
Geojaedo,2016-01-01 09,3.6,322,NW
Geojaedo,2016-01-01 10,4.7,322,NW
Geojaedo,2016-01-01 10,4.8,216,SW
Geojaedo,2016-01-01 11,2.4,358,N
Geojaedo,2016-01-01 11,3.7,337,NNW
Geojaedo,2016-01-01 12,2.3,286,WNW
Geojaedo,2016-01-01 12,2.7,330,NNW
Geojaedo,2016-01-01 13,3.3,241,WSW
Geojaedo,2016-01-01 13,3.5,278,W
Geojaedo,2016-01-01 14,4,243,WSW
Geojaedo,2016-01-01 14,4.9,250,WSW
Geojaedo,2016-01-01 15,4.4,258,WSW
Geojaedo,2016-01-01 15,4.9,237,WSW
Geojaedo,2016-01-01 16,6.1,246,WSW
Geojaedo,2016-01-01 16,7,248,WSW
Geojaedo,2016-01-01 17,7.7,264,W
Geojaedo,2016-01-01 17,8.5,255,WSW
Geojaedo,2016-01-01 18,6.6,241,WSW
Geojaedo,2016-01-01 18,6.6,260,W
Geojaedo,2016-01-01 19,6.8,247,WSW
Geojaedo,2016-01-01 19,8,258,WSW
Geojaedo,2016-01-01 20,7.8,263,W
Geojaedo,2016-01-01 20,7.8,269,W
Geojaedo,2016-01-01 21,8.4,234,SW
Geojaedo,2016-01-01 21,8.6,247,WSW
Geojaedo,2016-01-01 22,8.9,258,WSW
Geojaedo,2016-01-01 22,9.5,255,WSW
Geojaedo,2016-01-01 23,7.1,274,W
Geojaedo,2016-01-01 23,8.3,238,WSW
Geojaedo,2016-01-02 00,7,277,W
Geojaedo,2016-01-02 00,8.2,280,W
Geojaedo,2016-01-02 01,6.8,294,WNW
Geojaedo,2016-01-02 01,8.8,274,W
Geojaedo,2016-01-02 02,7.6,307,NW
Geojaedo,2016-01-02 02,7.9,269,W
Geojaedo,2016-01-02 03,7.5,309,NW
