gungu,value
가평군,23
고양시,67
고양시,48
고양시,31
과천시,34
과천시,45
광명시,41
광명시,45
광주시,32
구리시,36
구리시,63
군포시,44
군포시,29
김포시,48
김포시,44
김포시,49
남양주시,35
남양주시,27
동두천시,42
부천시,43
부천시,32
부천시,40
부천시,41
성남시,39
성남시,42
성남시,42
성남시,38
성남시,56
성남시,37
수원시,41
수원시,34
수원시,36
수원시,30
수원시,32
수원시,23
시흥시,32
시흥시,42
시흥시,44
안산시,51
안산시,30
안산시,48
안산시,30
안산시,51
안산시,44
안산시,35
안성시,40
안양시,30
안양시,36
안양시,44
안양시,38
양주시,34
양평군,28
여주시,34
연천군,26
오산시,37
용인시,35
용인시,31
용인시,37
의왕시,26
의왕시,35
의정부시,42
의정부시,64
이천시,28
파주시,32
파주시,45
평택시,47
평택시,40
평택시,49
포천시,23
하남시,32
화성시,51
화성시,28
화성시,49
