buoy,date,time,speed,direction,code
Incheon,2016-01-01,0,3,293,WNW
Incheon,2016-01-01,1,2.7,304,NW
Incheon,2016-01-01,2,4,316,NW
Incheon,2016-01-01,3,4.3,281,W
Incheon,2016-01-01,4,4.2,312,NW
Incheon,2016-01-01,5,3.9,313,NW
Incheon,2016-01-01,6,3.9,313,NW
Incheon,2016-01-01,7,2.7,304,NW
Incheon,2016-01-01,8,2.6,246,WSW
Incheon,2016-01-01,9,2.5,277,W
Incheon,2016-01-01,10,4.1,249,WSW
Incheon,2016-01-01,11,4,231,SW
Incheon,2016-01-01,12,4.5,205,SSW
Incheon,2016-01-01,13,5.3,224,SW
Incheon,2016-01-01,14,5.7,216,SW
Incheon,2016-01-01,15,5.5,185,S
Incheon,2016-01-01,16,7.4,233,SW
Incheon,2016-01-01,17,7.1,234,SW
Incheon,2016-01-01,18,8,238,WSW
Incheon,2016-01-01,19,8.8,215,SW
Incheon,2016-01-01,20,9.2,244,WSW
Incheon,2016-01-01,21,9.2,224,SW
Incheon,2016-01-01,22,9,227,SW
Incheon,2016-01-01,23,8.8,219,SW
Incheon,2016-01-02,0,9.1,230,SW
Incheon,2016-01-02,1,9.5,209,SSW
Incheon,2016-01-02,2,9,228,SW
Incheon,2016-01-02,3,9.4,210,SSW
Incheon,2016-01-02,4,9.9,231,SW
Incheon,2016-01-02,5,9.1,240,WSW
Incheon,2016-01-02,6,8.8,231,SW
Incheon,2016-01-02,7,8,235,SW
Incheon,2016-01-02,8,8.3,226,SW
Incheon,2016-01-02,9,8.4,234,SW
Incheon,2016-01-02,10,6.9,249,WSW
Incheon,2016-01-02,11,7.3,227,SW
Incheon,2016-01-02,12,6.7,245,WSW
Incheon,2016-01-02,13,6.1,231,SW
Incheon,2016-01-02,14,5.7,215,SW
Incheon,2016-01-02,15,5.1,238,WSW
Incheon,2016-01-02,16,5.3,222,SW
Incheon,2016-01-02,17,5.4,226,SW
Incheon,2016-01-02,18,4.7,221,SW
Incheon,2016-01-02,19,4.9,221,SW
Incheon,2016-01-02,20,4.4,235,SW
Incheon,2016-01-02,21,3.4,240,WSW
Incheon,2016-01-02,22,3.4,253,WSW
Incheon,2016-01-02,23,3.8,258,WSW
Incheon,2016-01-03,0,4.7,279,W
Incheon,2016-01-03,1,3.2,275,W
Incheon,2016-01-03,2,3.2,293,WNW
Incheon,2016-01-03,3,2.9,289,WNW
Incheon,2016-01-03,4,2.6,302,WNW
Incheon,2016-01-03,5,3,301,WNW
Incheon,2016-01-03,6,2.3,323,NW
Incheon,2016-01-03,7,0.8,354,N
Incheon,2016-01-03,8,1,85,E
Incheon,2016-01-03,9,0,0,CALM
Incheon,2016-01-03,10,2.3,73,ENE
Incheon,2016-01-03,11,2.3,58,ENE
Incheon,2016-01-03,12,1.9,80,E
Incheon,2016-01-03,13,1.3,54,NE
Incheon,2016-01-03,14,1.5,83,E
Incheon,2016-01-03,15,1.6,61,ENE
Incheon,2016-01-03,16,3.7,90,E
Incheon,2016-01-03,17,2.9,98,E
Incheon,2016-01-03,18,3,92,E
Incheon,2016-01-03,19,2.8,85,E
Incheon,2016-01-03,20,2.2,52,NE
Incheon,2016-01-03,21,3.6,34,NE
Incheon,2016-01-03,22,4.6,1,N
Incheon,2016-01-03,23,3.1,4,N
Incheon,2016-01-04,0,2.8,319,NW
Incheon,2016-01-04,1,5.6,323,NW
Incheon,2016-01-04,2,8.2,352,N
Incheon,2016-01-04,3,7.8,346,NNW
Incheon,2016-01-04,4,7.3,325,NW
Incheon,2016-01-04,5,7.1,344,NNW
Incheon,2016-01-04,6,9.5,358,N
Incheon,2016-01-04,7,7.6,355,N
Incheon,2016-01-04,8,8.4,5,N
Incheon,2016-01-04,9,9,341,NNW
Incheon,2016-01-04,10,8.8,19,NNE
Incheon,2016-01-04,11,10,343,NNW
Incheon,2016-01-04,12,9.2,4,N
Incheon,2016-01-04,13,9.1,4,N
Incheon,2016-01-04,14,9.2,326,NW
Incheon,2016-01-04,15,8.9,11,N
Incheon,2016-01-04,16,7.9,356,N
Incheon,2016-01-04,17,7.5,347,NNW
Incheon,2016-01-04,18,7,356,N
Incheon,2016-01-04,19,7.4,354,N
Incheon,2016-01-04,20,7.8,355,N
Incheon,2016-01-04,21,7.4,357,N
Incheon,2016-01-04,22,6.4,352,N
Incheon,2016-01-04,23,5.6,10,N
Incheon,2016-01-05,0,5.3,2,N
Incheon,2016-01-05,1,5.9,15,NNE
Incheon,2016-01-05,2,6,11,N
Incheon,2016-01-05,3,7,22,NNE
Incheon,2016-01-05,4,7.1,29,NNE
Incheon,2016-01-05,5,8,25,NNE
Incheon,2016-01-05,6,7.8,30,NNE
Incheon,2016-01-05,7,7.7,38,NE
Incheon,2016-01-05,8,7.7,31,NNE
Incheon,2016-01-05,9,8.1,27,NNE
Incheon,2016-01-05,10,6.9,39,NE
Incheon,2016-01-05,11,5.6,55,NE
Incheon,2016-01-05,12,4.9,26,NNE
Incheon,2016-01-05,13,3.5,85,E
Incheon,2016-01-05,14,4.2,21,NNE
Incheon,2016-01-05,15,3.2,34,NE
Incheon,2016-01-05,16,2.5,29,NNE
Incheon,2016-01-05,17,1.5,43,NE
Incheon,2016-01-05,18,1.3,54,NE
Incheon,2016-01-05,19,0.3,101,E
Incheon,2016-01-05,20,1,92,E
Incheon,2016-01-05,21,1.3,128,SE
Incheon,2016-01-05,22,1.3,189,S
Incheon,2016-01-05,23,0.7,99,E
Incheon,2016-01-06,0,2,160,SSE
Incheon,2016-01-06,1,6.4,237,WSW
Incheon,2016-01-06,2,7.4,330,NNW
Incheon,2016-01-06,3,8.4,318,NW
Incheon,2016-01-06,4,6.4,346,NNW
Incheon,2016-01-06,5,4.4,349,N
Incheon,2016-01-06,6,5.3,36,NE
Incheon,2016-01-06,7,6.7,346,NNW
Incheon,2016-01-06,8,5.4,337,NNW
Incheon,2016-01-06,9,8.9,326,NW
Incheon,2016-01-06,10,5,9,N
Incheon,2016-01-06,11,4,13,NNE
Incheon,2016-01-06,12,2.9,28,NNE
Incheon,2016-01-06,13,2.5,359,N
Incheon,2016-01-06,14,5.5,325,NW
Incheon,2016-01-06,15,6.7,297,WNW
Incheon,2016-01-06,16,5.1,351,N
Incheon,2016-01-06,17,7.9,325,NW
Incheon,2016-01-06,18,8.3,306,NW
Incheon,2016-01-06,19,5.1,2,N
Incheon,2016-01-06,20,8.6,0,N
Incheon,2016-01-06,21,8.2,349,N
Incheon,2016-01-06,22,8.4,351,N
Incheon,2016-01-06,23,8,41,NE
Incheon,2016-01-07,0,7.2,343,NNW
Incheon,2016-01-07,1,8,332,NNW
Incheon,2016-01-07,2,6.7,334,NNW
Incheon,2016-01-07,3,7.3,18,NNE
Incheon,2016-01-07,4,6.6,326,NW
Incheon,2016-01-07,5,9.7,330,NNW
Incheon,2016-01-07,6,6.9,319,NW
Incheon,2016-01-07,7,7.5,350,N
Incheon,2016-01-07,8,8.5,352,N
Incheon,2016-01-07,9,8.3,10,N
Incheon,2016-01-07,10,7.2,63,ENE
Incheon,2016-01-07,11,7.6,6,N
Incheon,2016-01-07,12,7.2,16,NNE
Incheon,2016-01-07,13,7.8,348,NNW
Incheon,2016-01-07,14,6.9,359,N
Incheon,2016-01-07,15,6.8,337,NNW
Incheon,2016-01-07,16,8.1,319,NW
Incheon,2016-01-07,17,8,328,NNW
Incheon,2016-01-07,18,8.5,337,NNW
Incheon,2016-01-07,19,7.8,338,NNW
Incheon,2016-01-07,20,8.1,308,NW
Incheon,2016-01-07,21,9,352,N
Incheon,2016-01-07,22,8.7,317,NW
Incheon,2016-01-07,23,7.3,324,NW
Incheon,2016-01-08,0,7.5,332,NNW
Incheon,2016-01-08,1,8.3,311,NW
Incheon,2016-01-08,2,8,304,NW
Incheon,2016-01-08,3,7.9,327,NNW
Incheon,2016-01-08,4,5.1,48,NE
Incheon,2016-01-08,5,4,38,NE
Incheon,2016-01-08,6,2.2,20,NNE
Incheon,2016-01-08,7,3.6,20,NNE
Incheon,2016-01-08,8,6.2,13,NNE
Incheon,2016-01-08,9,7.4,42,NE
Incheon,2016-01-08,10,8.3,50,NE
Incheon,2016-01-08,11,5.2,50,NE
Incheon,2016-01-08,12,4.9,64,ENE
Incheon,2016-01-08,13,3.1,55,NE
Incheon,2016-01-08,14,2.3,6,N
Incheon,2016-01-08,15,1.9,327,NNW
Incheon,2016-01-08,16,3.4,301,WNW
Incheon,2016-01-08,17,2.7,284,WNW
Incheon,2016-01-08,18,2.7,294,WNW
Incheon,2016-01-08,19,3.3,273,W
Incheon,2016-01-08,20,6.3,359,N
Incheon,2016-01-08,21,6.8,5,N
Incheon,2016-01-08,22,6.1,355,N
Incheon,2016-01-08,23,7.9,320,NW
Incheon,2016-01-09,0,8.1,312,NW
Incheon,2016-01-09,1,7,289,WNW
Incheon,2016-01-09,2,6.6,309,NW
Incheon,2016-01-09,3,7.8,305,NW
Incheon,2016-01-09,4,7.9,301,WNW
Incheon,2016-01-09,5,7.5,300,WNW
Incheon,2016-01-09,6,6.1,320,NW
Incheon,2016-01-09,7,4.7,323,NW
Incheon,2016-01-09,8,5.5,337,NNW
Incheon,2016-01-09,9,3.4,356,N
Incheon,2016-01-09,10,2.5,68,ENE
Incheon,2016-01-09,11,2.3,38,NE
Incheon,2016-01-09,12,1.5,43,NE
Incheon,2016-01-09,13,0.3,79,E
Incheon,2016-01-09,14,5.1,279,W
Incheon,2016-01-09,15,4.9,267,W
Incheon,2016-01-09,16,5.3,291,WNW
Incheon,2016-01-09,17,5.6,272,W
Incheon,2016-01-09,18,6.9,261,W
Incheon,2016-01-09,19,5,268,W
Incheon,2016-01-09,20,5.3,279,W
Incheon,2016-01-09,21,7.2,304,NW
Incheon,2016-01-09,22,5.7,267,W
Incheon,2016-01-09,23,5.4,340,NNW
Incheon,2016-01-10,0,3.8,268,W
Incheon,2016-01-10,1,6.3,284,WNW
Incheon,2016-01-10,2,9.1,298,WNW
Incheon,2016-01-10,3,8.1,294,WNW
Incheon,2016-01-10,4,8.2,302,WNW
Incheon,2016-01-10,5,8.9,304,NW
Incheon,2016-01-10,6,6.9,298,WNW
Incheon,2016-01-10,7,7.4,306,NW
Incheon,2016-01-10,8,7.2,292,WNW
Incheon,2016-01-10,9,8.1,44,NE
Incheon,2016-01-10,10,6.8,39,NE
Incheon,2016-01-10,11,5.8,42,NE
Incheon,2016-01-10,12,4.6,60,ENE
Incheon,2016-01-10,13,4,51,NE
Incheon,2016-01-10,14,4,51,NE
Incheon,2016-01-10,15,4.1,31,NNE
Incheon,2016-01-10,16,3,40,NE
Incheon,2016-01-10,17,3.1,16,NNE
Incheon,2016-01-10,18,3.8,339,NNW
Incheon,2016-01-10,19,3,328,NNW
Incheon,2016-01-10,20,5.6,346,NNW
Incheon,2016-01-10,21,5.8,344,NNW
Incheon,2016-01-10,22,6.2,23,NNE
Incheon,2016-01-10,23,6.8,3,N
Incheon,2016-01-11,0,5.5,351,N
Incheon,2016-01-11,1,8.1,359,N
Incheon,2016-01-11,2,8.8,353,N
Incheon,2016-01-11,3,7.9,2,N
Incheon,2016-01-11,4,7.8,345,NNW
Incheon,2016-01-11,5,7.7,4,N
Incheon,2016-01-11,6,7.6,349,N
Incheon,2016-01-11,7,7.7,359,N
Incheon,2016-01-11,8,8.2,348,NNW
Incheon,2016-01-11,9,8.5,340,NNW
Incheon,2016-01-11,10,8.3,1,N
Incheon,2016-01-11,11,8.4,349,N
Incheon,2016-01-11,12,8.4,11,N
Incheon,2016-01-11,13,9.2,4,N
Incheon,2016-01-11,14,9.2,356,N
Incheon,2016-01-11,15,8,341,NNW
Incheon,2016-01-11,16,7,3,N
Incheon,2016-01-11,17,5.6,357,N
Incheon,2016-01-11,18,6.2,337,NNW
Incheon,2016-01-11,19,5.7,309,NW
Incheon,2016-01-11,20,7.1,3,N
Incheon,2016-01-11,21,8.7,11,N
Incheon,2016-01-11,22,8.2,12,NNE
Incheon,2016-01-11,23,7.8,10,N
Incheon,2016-01-12,0,8.3,22,NNE
Incheon,2016-01-12,1,8.9,10,N
Incheon,2016-01-12,2,8.2,11,N
Incheon,2016-01-12,3,6.9,350,N
Incheon,2016-01-12,4,7.9,345,NNW
Incheon,2016-01-12,5,7.7,8,N
Incheon,2016-01-12,6,6.4,15,NNE
Incheon,2016-01-12,7,6,0,N
Incheon,2016-01-12,8,5.8,8,N
Incheon,2016-01-12,9,6,3,N
Incheon,2016-01-12,10,7.4,352,N
Incheon,2016-01-12,11,6.3,6,N
Incheon,2016-01-12,12,6.4,356,N
Incheon,2016-01-12,13,6.5,355,N
Incheon,2016-01-12,14,8.8,334,NNW
Incheon,2016-01-12,15,9.1,336,NNW
Incheon,2016-01-12,16,9.1,350,N
Incheon,2016-01-12,17,10,334,NNW
Incheon,2016-01-12,18,9.4,310,NW
Incheon,2016-01-12,19,9.4,331,NNW
Incheon,2016-01-12,20,8.9,295,WNW
Incheon,2016-01-12,21,8.5,320,NW
Incheon,2016-01-12,22,7.8,344,NNW
Incheon,2016-01-12,23,8.6,319,NW
Incheon,2016-01-13,0,8,334,NNW
Incheon,2016-01-13,1,8.8,322,NW
Incheon,2016-01-13,2,8.6,311,NW
Incheon,2016-01-13,3,10.4,325,NW
