buoy,date,time,speed,direction,code
Marado,2016-01-01,0,6.9,352,N
Marado,2016-01-01,1,7,355,N
Marado,2016-01-01,2,5.6,268,W
Marado,2016-01-01,3,5.5,276,W
Marado,2016-01-01,4,5.7,30,NNE
Marado,2016-01-01,5,5.5,359,N
Marado,2016-01-01,6,4,32,NNE
Marado,2016-01-01,7,4.7,352,N
Marado,2016-01-01,8,4.4,347,NNW
Marado,2016-01-01,9,3.8,355,N
Marado,2016-01-01,10,3.6,331,NNW
Marado,2016-01-01,11,3.7,320,NW
Marado,2016-01-01,12,3,344,NNW
Marado,2016-01-01,13,2.8,315,NW
Marado,2016-01-01,14,0.8,295,WNW
Marado,2016-01-01,15,1.8,280,W
Marado,2016-01-01,16,2.5,296,WNW
Marado,2016-01-01,17,1.8,284,WNW
Marado,2016-01-01,18,1.9,255,WSW
Marado,2016-01-01,19,5.2,228,SW
Marado,2016-01-01,20,2.7,238,WSW
Marado,2016-01-01,21,4.8,234,SW
Marado,2016-01-01,22,2.8,261,W
Marado,2016-01-01,23,4.5,262,W
Marado,2016-01-02,0,3.9,234,SW
Marado,2016-01-02,1,5,251,WSW
Marado,2016-01-02,2,5.9,259,W
Marado,2016-01-02,3,5.2,219,SW
Marado,2016-01-02,4,5,227,SW
Marado,2016-01-02,5,4.4,251,WSW
Marado,2016-01-02,6,3.2,215,SW
Marado,2016-01-02,7,2.2,194,SSW
Marado,2016-01-02,8,2.4,206,SSW
Marado,2016-01-02,9,3.4,211,SSW
Marado,2016-01-02,10,3.2,231,SW
Marado,2016-01-02,11,2.5,247,WSW
Marado,2016-01-02,12,2.9,219,SW
Marado,2016-01-02,13,2.6,230,SW
Marado,2016-01-02,14,2.5,177,S
Marado,2016-01-02,15,1.9,182,S
Marado,2016-01-02,16,1.5,161,SSE
Marado,2016-01-02,17,1.4,164,SSE
Marado,2016-01-02,18,1.8,154,SSE
Marado,2016-01-02,19,1.3,133,SE
Marado,2016-01-02,20,1.2,126,SE
Marado,2016-01-02,21,1.3,189,S
Marado,2016-01-02,22,1.7,184,S
Marado,2016-01-02,23,1.6,195,SSW
Marado,2016-01-03,0,2.6,268,W
Marado,2016-01-03,1,4.1,280,W
Marado,2016-01-03,2,4.1,290,WNW
Marado,2016-01-03,3,4.8,309,NW
Marado,2016-01-03,4,3.7,282,WNW
Marado,2016-01-03,5,4.4,305,NW
Marado,2016-01-03,6,4.1,308,NW
Marado,2016-01-03,7,5.3,309,NW
Marado,2016-01-03,8,5.2,311,NW
Marado,2016-01-03,9,4.9,339,NNW
Marado,2016-01-03,10,5.5,329,NNW
Marado,2016-01-03,11,3.1,324,NW
Marado,2016-01-03,12,3.4,324,NW
Marado,2016-01-03,13,2.7,312,NW
Marado,2016-01-03,14,1.7,315,NW
Marado,2016-01-03,15,3.4,322,NW
Marado,2016-01-03,16,3.3,300,WNW
Marado,2016-01-03,17,3.7,311,NW
Marado,2016-01-03,18,3.3,322,NW
Marado,2016-01-03,19,3.6,313,NW
Marado,2016-01-03,20,3.4,315,NW
Marado,2016-01-03,21,2.6,298,WNW
Marado,2016-01-03,22,3.4,281,W
Marado,2016-01-03,23,4.2,288,WNW
Marado,2016-01-04,0,4.6,282,WNW
Marado,2016-01-04,1,4.5,287,WNW
Marado,2016-01-04,2,4.8,284,WNW
Marado,2016-01-04,3,5.6,289,WNW
Marado,2016-01-04,4,5.7,310,NW
Marado,2016-01-04,5,6,316,NW
Marado,2016-01-04,6,7,320,NW
Marado,2016-01-04,7,7.5,328,NNW
Marado,2016-01-04,8,7.1,356,N
Marado,2016-01-04,9,6.6,360,N
Marado,2016-01-04,10,7.7,358,N
Marado,2016-01-04,11,7.3,25,NNE
Marado,2016-01-04,12,6.8,5,N
Marado,2016-01-04,13,7.5,7,N
Marado,2016-01-04,14,8.4,14,NNE
Marado,2016-01-04,15,9.3,21,NNE
Marado,2016-01-04,16,9,17,NNE
Marado,2016-01-04,17,8.7,21,NNE
Marado,2016-01-04,18,9.4,18,NNE
Marado,2016-01-04,19,9.5,11,N
Marado,2016-01-04,20,9.5,7,N
Marado,2016-01-04,21,7.8,31,NNE
Marado,2016-01-04,22,8.6,28,NNE
Marado,2016-01-04,23,10.7,12,NNE
Marado,2016-01-05,0,10.1,34,NE
Marado,2016-01-05,1,8.7,35,NE
Marado,2016-01-05,2,5.2,41,NE
Marado,2016-01-05,3,6.6,33,NNE
Marado,2016-01-05,4,10.4,32,NNE
Marado,2016-01-05,5,9.8,45,NE
Marado,2016-01-05,6,10.1,46,NE
Marado,2016-01-05,7,9.9,44,NE
Marado,2016-01-05,8,9.9,29,NNE
Marado,2016-01-05,9,9.4,27,NNE
Marado,2016-01-05,10,10.4,21,NNE
Marado,2016-01-05,11,11.3,19,NNE
Marado,2016-01-05,12,11.8,19,NNE
Marado,2016-01-05,13,10.5,54,NE
Marado,2016-01-05,14,10.4,21,NNE
Marado,2016-01-05,15,10.5,50,NE
Marado,2016-01-05,16,9.9,38,NE
Marado,2016-01-05,17,11.2,16,NNE
Marado,2016-01-05,18,10.6,26,NNE
Marado,2016-01-05,19,10.5,10,N
Marado,2016-01-05,20,10.9,19,NNE
Marado,2016-01-05,21,11,27,NNE
Marado,2016-01-05,22,10.1,25,NNE
Marado,2016-01-05,23,10,5,N
Marado,2016-01-06,0,10.7,34,NE
Marado,2016-01-06,1,10.6,29,NNE
Marado,2016-01-06,2,10.4,27,NNE
Marado,2016-01-06,3,9.8,14,NNE
Marado,2016-01-06,4,10.5,21,NNE
Marado,2016-01-06,5,10.3,17,NNE
Marado,2016-01-06,6,10.9,12,NNE
Marado,2016-01-06,7,12.2,21,NNE
Marado,2016-01-06,8,11.8,3,N
Marado,2016-01-06,9,12.2,17,NNE
Marado,2016-01-06,10,12.1,24,NNE
Marado,2016-01-06,11,11.8,42,NE
Marado,2016-01-06,12,11.2,33,NNE
Marado,2016-01-06,13,11.4,4,N
Marado,2016-01-06,14,11.6,12,NNE
Marado,2016-01-06,15,11.8,359,N
Marado,2016-01-06,16,12.2,3,N
Marado,2016-01-06,17,11.9,357,N
Marado,2016-01-06,18,11.9,3,N
Marado,2016-01-06,19,11.7,357,N
Marado,2016-01-06,20,11.2,12,NNE
Marado,2016-01-06,21,10.5,350,N
Marado,2016-01-06,22,10.5,352,N
Marado,2016-01-06,23,11,339,NNW
Marado,2016-01-07,0,11.5,347,NNW
Marado,2016-01-07,1,11.5,347,NNW
Marado,2016-01-07,2,11.1,337,NNW
Marado,2016-01-07,3,11.1,336,NNW
Marado,2016-01-07,4,12,340,NNW
Marado,2016-01-07,5,10.9,340,NNW
Marado,2016-01-07,6,10.4,327,NNW
Marado,2016-01-07,7,9.7,326,NW
Marado,2016-01-07,8,10.7,328,NNW
Marado,2016-01-07,9,10.4,345,NNW
Marado,2016-01-07,10,11.1,331,NNW
Marado,2016-01-07,11,10.6,316,NW
Marado,2016-01-07,12,9.5,314,NW
Marado,2016-01-07,13,10.3,340,NNW
Marado,2016-01-07,14,10.1,337,NNW
Marado,2016-01-07,15,10.5,330,NNW
Marado,2016-01-07,16,11.1,331,NNW
Marado,2016-01-07,17,11.1,340,NNW
Marado,2016-01-07,18,9.3,334,NNW
Marado,2016-01-07,19,8.9,338,NNW
Marado,2016-01-07,20,8.1,327,NNW
Marado,2016-01-07,21,8.1,334,NNW
Marado,2016-01-07,22,8.4,311,NW
Marado,2016-01-07,23,8.7,309,NW
Marado,2016-01-08,0,7.3,22,NNE
Marado,2016-01-08,1,7.7,310,NW
Marado,2016-01-08,2,9.4,327,NNW
Marado,2016-01-08,3,9.1,323,NW
Marado,2016-01-08,4,9.9,338,NNW
Marado,2016-01-08,5,8.8,326,NW
Marado,2016-01-08,6,8.5,329,NNW
Marado,2016-01-08,7,9.1,314,NW
Marado,2016-01-08,8,8.6,322,NW
Marado,2016-01-08,9,8.3,315,NW
Marado,2016-01-08,10,9.6,351,N
Marado,2016-01-08,11,8.3,306,NW
Marado,2016-01-08,12,6,304,NW
Marado,2016-01-08,13,8.3,313,NW
Marado,2016-01-08,14,8.7,316,NW
Marado,2016-01-08,15,7.2,326,NW
Marado,2016-01-08,16,10.6,344,NNW
Marado,2016-01-08,17,10.2,327,NNW
Marado,2016-01-08,18,9.6,354,N
Marado,2016-01-08,19,9,324,NW
Marado,2016-01-08,20,9.2,299,WNW
Marado,2016-01-08,21,8.6,334,NNW
Marado,2016-01-08,22,8.9,327,NNW
Marado,2016-01-08,23,7.9,331,NNW
Marado,2016-01-09,0,8.3,344,NNW
Marado,2016-01-09,1,9.2,333,NNW
Marado,2016-01-09,2,8.8,340,NNW
Marado,2016-01-09,3,8.1,336,NNW
Marado,2016-01-09,4,8,325,NW
Marado,2016-01-09,5,6.8,350,N
Marado,2016-01-09,6,7.6,332,NNW
Marado,2016-01-09,7,6.3,353,N
Marado,2016-01-09,8,7.2,318,NW
Marado,2016-01-09,9,6.2,330,NNW
Marado,2016-01-09,10,4.9,325,NW
Marado,2016-01-09,11,4.4,328,NNW
Marado,2016-01-09,12,4.2,310,NW
Marado,2016-01-09,13,3.3,322,NW
Marado,2016-01-09,14,5.4,329,NNW
Marado,2016-01-09,15,5.1,318,NW
Marado,2016-01-09,16,5.4,339,NNW
Marado,2016-01-09,17,5.6,333,NNW
Marado,2016-01-09,18,5.5,329,NNW
Marado,2016-01-09,19,5.1,322,NW
Marado,2016-01-09,20,5,343,NNW
Marado,2016-01-09,21,5.5,342,NNW
Marado,2016-01-09,22,4.4,344,NNW
Marado,2016-01-09,23,4.7,340,NNW
Marado,2016-01-10,0,5,344,NNW
Marado,2016-01-10,1,3.7,323,NW
Marado,2016-01-10,2,4,300,WNW
Marado,2016-01-10,3,3.5,349,N
Marado,2016-01-10,4,4.3,348,NNW
Marado,2016-01-10,5,4.6,346,NNW
Marado,2016-01-10,6,5.6,344,NNW
Marado,2016-01-10,7,5.3,351,N
Marado,2016-01-10,8,6.2,5,N
Marado,2016-01-10,9,5.3,347,NNW
Marado,2016-01-10,10,4.5,357,N
Marado,2016-01-10,11,4.8,357,N
Marado,2016-01-10,12,4.8,356,N
Marado,2016-01-10,13,2.4,222,SW
Marado,2016-01-10,14,3.6,355,N
Marado,2016-01-10,15,3.5,20,NNE
Marado,2016-01-10,16,4,347,NNW
Marado,2016-01-10,17,4.7,4,N
Marado,2016-01-10,18,5.5,19,NNE
Marado,2016-01-10,19,5.2,1,N
Marado,2016-01-10,20,5.9,11,N
Marado,2016-01-10,21,6.9,10,N
Marado,2016-01-10,22,7.2,3,N
Marado,2016-01-10,23,7.9,20,NNE
Marado,2016-01-11,0,8.8,17,NNE
Marado,2016-01-11,1,9.2,21,NNE
Marado,2016-01-11,2,9.9,12,NNE
Marado,2016-01-11,3,8.8,57,ENE
Marado,2016-01-11,4,9.9,28,NNE
Marado,2016-01-11,5,10.9,26,NNE
Marado,2016-01-11,6,12.1,19,NNE
Marado,2016-01-11,7,11.5,23,NNE
Marado,2016-01-11,8,11.5,13,NNE
Marado,2016-01-11,9,13,4,N
Marado,2016-01-11,10,13.4,2,N
Marado,2016-01-11,11,13,14,NNE
Marado,2016-01-11,12,13.3,16,NNE
Marado,2016-01-11,13,12.8,19,NNE
Marado,2016-01-11,14,12.4,17,NNE
Marado,2016-01-11,15,12.6,21,NNE
Marado,2016-01-11,16,12.5,36,NE
Marado,2016-01-11,17,12.4,14,NNE
Marado,2016-01-11,18,12.2,29,NNE
Marado,2016-01-11,19,12.7,10,N
Marado,2016-01-11,20,13,16,NNE
Marado,2016-01-11,21,13.1,5,N
Marado,2016-01-11,22,12.6,14,NNE
Marado,2016-01-11,23,12,12,NNE
Marado,2016-01-12,0,12,1,N
Marado,2016-01-12,1,11.4,17,NNE
Marado,2016-01-12,2,11.5,353,N
Marado,2016-01-12,3,11.8,352,N
Marado,2016-01-12,4,12.1,337,NNW
Marado,2016-01-12,5,11.8,351,N
Marado,2016-01-12,6,11.2,343,NNW
Marado,2016-01-12,7,12.1,354,N
Marado,2016-01-12,8,10.3,334,NNW
Marado,2016-01-12,9,11.8,353,N
Marado,2016-01-12,10,11.6,357,N
Marado,2016-01-12,11,11.7,339,NNW
Marado,2016-01-12,12,9.9,357,N
Marado,2016-01-12,13,9.8,334,NNW
Marado,2016-01-12,14,10.3,355,N
Marado,2016-01-12,15,9.3,339,NNW
Marado,2016-01-12,16,10.4,349,N
Marado,2016-01-12,17,10.1,48,NE
Marado,2016-01-12,18,9.3,333,NNW
Marado,2016-01-12,19,10.4,350,N
Marado,2016-01-12,20,9.1,333,NNW
Marado,2016-01-12,21,9.3,351,N
Marado,2016-01-12,22,8.7,336,NNW
Marado,2016-01-12,23,10.1,354,N
Marado,2016-01-13,0,6.9,277,W
Marado,2016-01-13,1,8.2,317,NW
Marado,2016-01-13,2,7.6,330,NNW
Marado,2016-01-13,3,7.1,281,W
Marado,2016-01-13,4,8.8,341,NNW
Marado,2016-01-13,5,9.8,332,NNW
Marado,2016-01-13,6,9,313,NW
Marado,2016-01-13,7,10.4,319,NW
Marado,2016-01-13,8,9.9,360,N
Marado,2016-01-13,9,9.7,306,NW
Marado,2016-01-13,10,10.2,315,NW
