buoy,date,time,speed,direction,code
Oeyeondo,2016-01-01,0,4.3,313,NW
Oeyeondo,2016-01-01,1,3,306,NW
Oeyeondo,2016-01-01,2,3.7,333,NNW
Oeyeondo,2016-01-01,3,2.7,322,NW
Oeyeondo,2016-01-01,4,3,317,NW
Oeyeondo,2016-01-01,5,3,273,W
Oeyeondo,2016-01-01,6,3.6,303,WNW
Oeyeondo,2016-01-01,7,2.7,296,WNW
Oeyeondo,2016-01-01,8,3.8,299,WNW
Oeyeondo,2016-01-01,9,3.8,282,WNW
Oeyeondo,2016-01-01,10,3.1,209,SSW
Oeyeondo,2016-01-01,11,0.3,32,NNE
Oeyeondo,2016-01-01,12,3.3,229,SW
Oeyeondo,2016-01-01,13,4.2,228,SW
Oeyeondo,2016-01-01,14,3.7,235,SW
Oeyeondo,2016-01-01,15,4.3,219,SW
Oeyeondo,2016-01-01,16,5.2,234,SW
Oeyeondo,2016-01-01,17,6.3,234,SW
Oeyeondo,2016-01-01,18,7.2,237,WSW
Oeyeondo,2016-01-01,19,6.5,235,SW
Oeyeondo,2016-01-01,20,7.4,210,SSW
Oeyeondo,2016-01-01,21,7.8,221,SW
Oeyeondo,2016-01-01,22,6.8,224,SW
Oeyeondo,2016-01-01,23,7.6,226,SW
Oeyeondo,2016-01-02,0,8.3,228,SW
Oeyeondo,2016-01-02,1,8.2,229,SW
Oeyeondo,2016-01-02,2,8.1,224,SW
Oeyeondo,2016-01-02,3,7.7,230,SW
Oeyeondo,2016-01-02,4,7.6,226,SW
Oeyeondo,2016-01-02,5,7.8,247,WSW
Oeyeondo,2016-01-02,6,6.3,222,SW
Oeyeondo,2016-01-02,7,7.3,236,SW
Oeyeondo,2016-01-02,8,7.9,218,SW
Oeyeondo,2016-01-02,9,7.6,207,SSW
Oeyeondo,2016-01-02,10,8,217,SW
Oeyeondo,2016-01-02,11,7.1,217,SW
Oeyeondo,2016-01-02,12,6.4,209,SSW
Oeyeondo,2016-01-02,13,6.7,202,SSW
Oeyeondo,2016-01-02,14,5.4,221,SW
Oeyeondo,2016-01-02,15,6.5,192,SSW
Oeyeondo,2016-01-02,16,6.3,195,SSW
Oeyeondo,2016-01-02,17,4.2,186,S
Oeyeondo,2016-01-02,18,4.8,200,SSW
Oeyeondo,2016-01-02,19,4.3,206,SSW
Oeyeondo,2016-01-02,20,4.3,218,SW
Oeyeondo,2016-01-02,21,4.2,238,WSW
Oeyeondo,2016-01-02,22,4.3,257,WSW
Oeyeondo,2016-01-02,23,4.3,251,WSW
Oeyeondo,2016-01-03,0,3.9,234,SW
Oeyeondo,2016-01-03,1,4.5,269,W
Oeyeondo,2016-01-03,2,3.5,275,W
Oeyeondo,2016-01-03,3,2.4,280,W
Oeyeondo,2016-01-03,4,2.2,288,WNW
Oeyeondo,2016-01-03,5,2.8,320,NW
Oeyeondo,2016-01-03,6,2.8,301,WNW
Oeyeondo,2016-01-03,7,1.5,301,WNW
Oeyeondo,2016-01-03,8,1.3,278,W
Oeyeondo,2016-01-03,9,1.4,236,SW
Oeyeondo,2016-01-03,10,1.6,210,SSW
Oeyeondo,2016-01-03,11,2.8,217,SW
Oeyeondo,2016-01-03,12,3.2,221,SW
Oeyeondo,2016-01-03,13,3.1,248,WSW
Oeyeondo,2016-01-03,14,3.1,241,WSW
Oeyeondo,2016-01-03,15,3.1,259,W
Oeyeondo,2016-01-03,16,2.8,242,WSW
