buoy,date,speed,direction,code
Pohang,2016-01-01 00,9.6,285,WNW
Pohang,2016-01-01 01,10.6,281,W
Pohang,2016-01-01 02,8.4,272,W
Pohang,2016-01-01 03,9.5,270,W
Pohang,2016-01-01 04,9.1,265,W
Pohang,2016-01-01 05,14.8,278,W
Pohang,2016-01-01 06,10.3,278,W
Pohang,2016-01-01 07,10.2,278,W
Pohang,2016-01-01 08,11.4,279,W
Pohang,2016-01-01 09,8.7,291,WNW
Pohang,2016-01-01 10,10,284,WNW
Pohang,2016-01-01 11,8.2,286,WNW
Pohang,2016-01-01 12,9.8,278,W
Pohang,2016-01-01 13,5.5,266,W
Pohang,2016-01-01 14,6.3,244,WSW
Pohang,2016-01-01 15,6,245,WSW
Pohang,2016-01-01 16,4.6,253,WSW
Pohang,2016-01-01 17,7,266,W
Pohang,2016-01-01 18,6.3,280,W
Pohang,2016-01-01 19,6.6,271,W
Pohang,2016-01-01 20,11.3,287,WNW
Pohang,2016-01-01 21,12.3,288,WNW
Pohang,2016-01-01 22,12.5,289,WNW
Pohang,2016-01-01 23,8.9,288,WNW
Pohang,2016-01-02 00,11.5,286,WNW
Pohang,2016-01-02 01,10.8,285,WNW
Pohang,2016-01-02 02,9.8,291,WNW
Pohang,2016-01-02 03,13.2,276,W
Pohang,2016-01-02 04,13.7,277,W
Pohang,2016-01-02 05,4.9,273,W
Pohang,2016-01-02 06,15,287,WNW
Pohang,2016-01-02 07,11.7,275,W
Pohang,2016-01-02 08,12.3,264,W
Pohang,2016-01-02 09,10.2,263,W
Pohang,2016-01-02 10,9.4,272,W
Pohang,2016-01-02 11,11.5,272,W
Pohang,2016-01-02 12,9.1,262,W
Pohang,2016-01-02 13,10.3,262,W
Pohang,2016-01-02 14,6.3,253,WSW
Pohang,2016-01-02 15,5.6,267,W
Pohang,2016-01-02 16,6.3,250,WSW
Pohang,2016-01-02 17,9,241,WSW
Pohang,2016-01-02 18,7.3,256,WSW
Pohang,2016-01-02 19,8.4,252,WSW
Pohang,2016-01-02 20,8.9,253,WSW
Pohang,2016-01-02 21,6.3,260,W
Pohang,2016-01-02 22,10.2,248,WSW
Pohang,2016-01-02 23,6.8,237,WSW
Pohang,2016-01-03 00,5.1,254,WSW
Pohang,2016-01-03 01,5.3,274,W
Pohang,2016-01-03 02,6.6,259,W
Pohang,2016-01-03 03,8.2,255,WSW
Pohang,2016-01-03 04,8.3,263,W
Pohang,2016-01-03 05,6.9,286,WNW
Pohang,2016-01-03 06,6.3,287,WNW
Pohang,2016-01-03 07,6.5,295,WNW
Pohang,2016-01-03 08,3,296,WNW
Pohang,2016-01-03 09,6.9,287,WNW
Pohang,2016-01-03 10,6.7,305,NW
Pohang,2016-01-03 11,6.8,289,WNW
Pohang,2016-01-03 12,4.3,278,W
Pohang,2016-01-03 13,3.3,272,W
Pohang,2016-01-03 14,3.6,232,SW
Pohang,2016-01-03 15,2.6,220,SW
Pohang,2016-01-03 16,2.5,213,SSW
Pohang,2016-01-03 17,2.2,194,SSW
Pohang,2016-01-03 18,3,186,S
Pohang,2016-01-03 19,4.2,202,SSW
Pohang,2016-01-03 20,2.2,226,SW
Pohang,2016-01-03 21,2.7,271,W
Pohang,2016-01-03 22,5.1,289,WNW
Pohang,2016-01-03 23,3.6,295,WNW
Pohang,2016-01-04 00,4.6,257,WSW
Pohang,2016-01-04 01,5.6,274,W
Pohang,2016-01-04 02,8.5,293,WNW
Pohang,2016-01-04 03,5.7,304,NW
Pohang,2016-01-04 04,9,293,WNW
Pohang,2016-01-04 05,8.4,286,WNW
Pohang,2016-01-04 06,8.2,300,WNW
Pohang,2016-01-04 07,10.2,293,WNW
Pohang,2016-01-04 08,9.9,293,WNW
Pohang,2016-01-04 09,9.9,290,WNW
Pohang,2016-01-04 10,7.6,302,WNW
Pohang,2016-01-04 11,11,293,WNW
Pohang,2016-01-04 12,9.4,279,W
Pohang,2016-01-04 13,9.4,286,WNW
Pohang,2016-01-04 14,8.9,287,WNW
Pohang,2016-01-04 15,6.3,243,WSW
Pohang,2016-01-04 16,5,278,W
Pohang,2016-01-04 17,8.5,276,W
Pohang,2016-01-04 18,8.1,280,W
Pohang,2016-01-04 19,11.6,284,WNW
Pohang,2016-01-04 20,8.5,295,WNW
Pohang,2016-01-04 21,8.9,290,WNW
Pohang,2016-01-04 22,9.3,280,W
Pohang,2016-01-04 23,10.3,280,W
Pohang,2016-01-05 00,10.3,284,WNW
Pohang,2016-01-05 01,10,287,WNW
Pohang,2016-01-05 02,9.7,283,WNW
Pohang,2016-01-05 03,11.1,283,WNW
Pohang,2016-01-05 04,12.2,285,WNW
Pohang,2016-01-05 05,11,286,WNW
Pohang,2016-01-05 06,11.4,290,WNW
Pohang,2016-01-05 07,11.8,291,WNW
Pohang,2016-01-05 08,9.4,290,WNW
Pohang,2016-01-05 09,10.2,287,WNW
Pohang,2016-01-05 10,9.7,291,WNW
Pohang,2016-01-05 11,10.9,282,WNW
Pohang,2016-01-05 12,12.1,282,WNW
Pohang,2016-01-05 13,13.4,283,WNW
Pohang,2016-01-05 14,11.1,286,WNW
Pohang,2016-01-05 15,8.7,280,W
Pohang,2016-01-05 16,9.7,299,WNW
Pohang,2016-01-05 17,10.4,286,WNW
Pohang,2016-01-05 18,10.5,293,WNW
Pohang,2016-01-05 19,9.4,297,WNW
Pohang,2016-01-05 20,10.3,296,WNW
Pohang,2016-01-05 21,9.7,298,WNW
Pohang,2016-01-05 22,8.6,298,WNW
Pohang,2016-01-05 23,11.8,296,WNW
Pohang,2016-01-06 00,8.5,299,WNW
Pohang,2016-01-06 01,6.4,294,WNW
Pohang,2016-01-06 02,9.9,287,WNW
Pohang,2016-01-06 03,10.2,286,WNW
Pohang,2016-01-06 04,11.8,288,WNW
Pohang,2016-01-06 05,12,289,WNW
Pohang,2016-01-06 06,11.6,293,WNW
Pohang,2016-01-06 07,11.3,282,WNW
Pohang,2016-01-06 08,11.3,277,W
Pohang,2016-01-06 09,14.1,285,WNW
Pohang,2016-01-06 10,15.9,287,WNW
Pohang,2016-01-06 11,16,292,WNW
Pohang,2016-01-06 12,14,289,WNW
Pohang,2016-01-06 13,14.4,295,WNW
Pohang,2016-01-06 14,10.1,293,WNW
Pohang,2016-01-06 15,12,294,WNW
Pohang,2016-01-06 16,10.5,293,WNW
Pohang,2016-01-06 17,10.6,286,WNW
Pohang,2016-01-06 18,10.5,292,WNW
Pohang,2016-01-06 19,13.1,288,WNW
Pohang,2016-01-06 20,8.9,295,WNW
Pohang,2016-01-06 21,9.6,293,WNW
Pohang,2016-01-06 22,11.9,302,WNW
Pohang,2016-01-06 23,12,295,WNW
Pohang,2016-01-07 00,13,296,WNW
Pohang,2016-01-07 01,11.7,301,WNW
Pohang,2016-01-07 02,9.8,299,WNW
Pohang,2016-01-07 03,10.8,299,WNW
Pohang,2016-01-07 04,10.1,295,WNW
Pohang,2016-01-07 05,10.6,293,WNW
Pohang,2016-01-07 06,10,305,NW
Pohang,2016-01-07 07,8.9,295,WNW
Pohang,2016-01-07 08,9.9,300,WNW
Pohang,2016-01-07 09,10.9,293,WNW
Pohang,2016-01-07 10,11.7,286,WNW
Pohang,2016-01-07 11,9.7,297,WNW
Pohang,2016-01-07 12,7.4,297,WNW
Pohang,2016-01-07 13,8.9,302,WNW
Pohang,2016-01-07 14,7.9,308,NW
Pohang,2016-01-07 15,10.2,319,NW
Pohang,2016-01-07 16,8.4,297,WNW
Pohang,2016-01-07 17,8.1,302,WNW
Pohang,2016-01-07 18,11.3,298,WNW
Pohang,2016-01-07 19,8.8,302,WNW
Pohang,2016-01-07 20,7.7,293,WNW
Pohang,2016-01-07 21,5.3,287,WNW
Pohang,2016-01-07 22,3.3,303,WNW
Pohang,2016-01-07 23,8,285,WNW
