지점,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28,2017-05-29,2017-05-30,2017-05-31
경산시,36,44,43,35,141,117,83,56,38,62,58,52,51,45,30,49,64,47,40,47,48,51,54,50,40,34,45,60,66,70
경주시,23,32,37,29,99,99,77,44,21,37,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63
구미시,30,29,43,32,162,121,131,64,16,54,50,41,44,39,17,24,41,48,27,34,35,28,29,37,17,18,32,47,56,58
구미시,44,42,54,47,150,115,126,76,35,67,70,56,53,49,31,42,65,51,37,45,52,53,52,65,26,36,49,61,71,76
구미시,40,42,50,42,148,113,115,68,26,38,34,61,56,47,27,33,50,48,32,34,34,37,31,38,27,28,45,58,55,55
구미시,30,33,40,33,123,91,96,58,20,43,37,40,41,37,18,26,43,35,24,26,29,27,27,29,22,23,42,45,45,48
김천시,37,39,47,43,156,121,123,74,27,57,47,46,49,37,22,27,44,40,30,30,30,29,33,39,23,21,44,56,53,56
안동시,27,36,50,52,170,122,115,80,25,69,58,45,49,49,28,33,40,45,35,33,35,35,32,40,23,22,39,64,59,49
영주시,36,44,53,57,183,117,106,98,21,-,58,51,46,39,25,31,43,54,40,41,36,38,31,37,26,28,35,71,64,56
포항시,24,30,36,23,74,71,82,68,23,41,46,33,32,43,39,31,43,35,29,29,38,48,52,44,30,34,43,71,63,79
포항시,24,29,44,32,105,96,74,60,23,45,46,44,40,40,32,34,44,36,31,34,36,44,37,45,22,28,37,49,46,50
포항시,29,31,52,44,117,102,88,66,33,50,47,52,46,54,49,48,45,44,41,41,62,47,57,46,33,33,39,69,55,65
포항시,33,38,63,52,137,120,97,125,32,76,64,60,58,57,50,46,78,55,46,52,55,66,52,64,30,40,56,71,71,68
포항시,27,38,45,33,113,100,84,63,25,48,46,47,41,38,39,45,44,37,31,34,48,45,48,42,25,27,36,65,52,60
