지점,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28,2017-05-29,2017-05-30,2017-05-31
가평군,67,64,55,49,236,96,134,143,36,66,80,43,56,36,29,28,42,45,32,33,40,37,22,34,20,29,48,89,72,28
고양시,88,68,82,57,171,79,145,107,43,49,-,31,40,34,37,46,49,51,46,37,49,32,33,40,34,37,47,72,51,45
고양시,113,87,82,63,261,105,180,137,67,98,100,74,69,49,48,49,63,59,47,40,54,43,36,65,35,45,59,85,69,46
고양시,122,82,76,62,249,102,190,139,64,62,85,74,67,51,52,46,58,58,43,36,61,44,35,54,28,51,59,94,72,49
과천시,102,65,62,58,223,108,185,115,37,75,72,48,65,44,35,37,48,48,36,32,43,36,28,42,26,32,44,64,50,34
과천시,112,71,63,57,216,99,189,118,39,73,73,50,68,46,39,41,51,51,38,35,45,39,29,44,32,35,46,68,52,39
광명시,125,79,71,61,249,108,209,127,42,77,79,56,69,47,39,49,54,54,45,35,46,41,29,45,31,35,49,69,52,44
광명시,125,78,72,61,240,108,221,114,66,83,82,55,69,51,41,53,56,52,44,35,48,41,33,45,33,39,52,72,53,46
광주시,100,75,61,58,-,-,203,129,43,76,90,59,60,45,41,41,50,52,45,37,48,44,29,43,28,38,54,71,62,41
구리시,105,88,74,57,226,97,157,136,48,83,90,66,64,49,47,47,57,56,46,35,52,42,36,47,30,43,56,85,66,44
구리시,107,98,85,65,237,102,161,148,63,90,102,76,74,52,55,54,68,68,56,45,63,55,45,54,36,52,65,104,77,60
군포시,142,82,71,59,233,100,189,109,39,87,96,63,65,44,42,47,53,56,40,27,36,40,30,47,25,39,52,84,64,48
군포시,125,74,68,50,239,104,184,106,37,72,78,54,67,42,39,41,48,47,34,26,39,35,25,49,26,35,44,65,54,35
김포시,152,100,94,72,299,128,221,161,71,108,120,78,80,58,60,61,76,72,61,45,53,47,38,63,39,51,64,93,77,62
김포시,127,83,81,53,272,103,195,140,57,88,101,69,66,48,46,49,62,57,48,32,43,38,27,58,31,39,53,81,62,51
