지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,
최대값,108,260,120,99,117,113,174,514,205,255,207,105,109,107,96,82,92,60,59,78,173,104,176,94,135,114,96,44,70,75
,(22시 옥천동),(01시 천곡동),(01시 명륜동),(21시 석사동),(21시 중앙로),(09시 명륜동),(19시 명륜동),(20시 옥천동),(02시 옥천동),(15시 명륜동),(00시 석사동),(00시 석사동),(18시 중앙로),(09시 중앙로),(16시 중앙동(원주)),(09시 중앙로),(05시 천곡동),(08시 중앙동(원주)),(10시 명륜동),(23시 명륜동),(21시 천곡동),(12시 천곡동),(09시 천곡동),(00시 천곡동),(19시 천곡동),(00시 천곡동),(15시 천곡동),(23시 명륜동),(20시 천곡동),(15시 천곡동)
[강원 강릉시],65,96,57,46,65,76,70,217,131,121,52,35,60,60,51,53,48,36,35,42,50,51,54,43,34,27,32,23,26,-
옥천동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[강원 동해시],55,108,47,32,38,55,57,187,82,93,51,28,60,52,44,46,46,31,32,6,83,80,88,62,68,44,51,25,34,-
천곡동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[강원 삼척시],60,98,51,32,42,64,72,187,81,92,60,35,62,54,57,47,49,41,37,50,44,45,58,47,50,37,32,20,21,-
남양동1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[강원 원주시],73,80,84,62,68,76,73,202,112,146,129,38,71,69,52,64,52,40,47,72,57,48,42,45,47,27,47,20,38,-
명륜동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[강원 원주시],64,68,77,57,58,64,58,168,94,133,120,36,71,68,49,54,44,41,25,42,49,37,33,39,42,25,37,19,40,-
중앙동(원주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[강원 춘천시],62,79,57,60,73,64,49,182,89,140,169,29,62,76,49,49,37,30,33,44,49,38,37,44,37,23,29,15,22,-
석사동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[강원 춘천시],73,84,61,62,69,63,60,196,97,142,160,31,67,79,55,58,52,36,38,50,56,43,43,49,45,27,38,19,29,-
중앙로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
