지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,
최대값,106,109,117,79,102,107,65,384,348,344,157,68,168,99,78,110,84,84,85,88,84,59,54,61,61,58,100,78,69,73
,(11시 서석동),(08시 서석동),(12시 건국동),(22시 오선동),(17시 송정1동),(06시 건국동),(00시 건국동),(02시 오선동),(13시 송정1동),(06시 송정1동),(00시 건국동),(21시 송정1동),(19시 송정1동),(09시 송정1동),(20시 서석동),(13시 송정1동),(08시 송정1동),(17시 송정1동),(11시 송정1동),(22시 주월동),(09시 송정1동),(10시 송정1동),(11시 주월동),(16시 농성동),(09시 송정1동),(00시 송정1동),(13시 농성동),(14시 농성동),(08시 농성동),(14시 농성동)
[광주 광산구],67,90,74,51,62,64,34,164,199,269,48,40,77,51,41,58,53,40,48,54,53,36,37,38,37,34,36,28,30,-
송정1동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[광주 광산구],70,86,89,55,59,61,30,175,172,239,41,38,70,54,44,56,49,33,45,-,43,35,34,34,39,37,41,30,28,-
오선동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[광주 남구],65,90,82,43,50,47,26,154,168,247,39,38,68,45,46,58,49,34,46,49,50,38,34,35,31,34,42,28,27,-
주월동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[광주 동구],61,90,89,41,48,44,17,148,158,232,32,40,62,36,45,57,41,30,39,43,42,29,25,27,24,28,39,28,23,-
서석동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[광주 북구],67,83,90,50,53,60,34,152,144,214,42,39,64,50,44,53,43,32,39,45,48,29,36,32,36,37,41,28,27,-
건국동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[광주 북구],60,83,83,36,44,44,16,140,159,220,31,35,58,38,40,50,38,24,33,38,39,23,23,22,24,26,34,17,18,-
두암동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[광주 서구],61,79,72,32,44,42,17,141,157,232,33,35,56,36,39,50,48,29,37,47,49,31,28,32,29,28,44,34,26,-
농성동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
