지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,
최대값,202,179,194,211,211,202,314,650,321,356,283,212,206,189,366,214,229,284,122,146,173,154,90,216,108,122,258,92,213,117
,(17시 평택항),(15시 남양동),(23시 광교동),(09시 고촌면),(20시 여주),(07시 식사동),(23시 내동),(14시 고잔동),(13시 과천동),(12시 광교동),(10시 신풍동),(21시 봉산동),(11시 복정동),(00시 향남),(14시 시화공단),(07시 소사본동),(12시 소사본동),(00시 소사본동),(22시 봉산동),(16시 비전동),(17시 여주),(09시 소하동),(10시 비전동),(22시 행신동),(09시 보산동),(21시 단대동),(10시 신원동),(22시 평택항),(03시 행신동),(14시 평택항)
[경기 가평군],69,84,65,67,64,55,49,236,96,134,143,36,66,80,43,56,36,29,28,42,45,32,33,40,37,22,34,20,27,-
가평읍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 고양시],50,71,82,88,68,82,57,171,79,145,107,43,49,-,31,40,34,37,46,49,51,46,37,49,32,33,40,34,38,-
식사동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 고양시],88,116,116,113,87,82,63,261,105,180,137,67,98,100,74,69,49,48,49,63,59,47,40,54,43,36,65,35,45,-
신원동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 고양시],79,109,115,122,82,76,62,249,102,190,139,64,62,85,74,67,51,52,46,58,58,43,36,61,44,35,54,28,58,-
행신동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 과천시],65,101,92,102,65,62,58,223,108,185,115,37,75,72,48,65,44,35,37,48,48,36,32,43,36,28,42,26,32,-
과천동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 과천시],66,100,98,112,71,63,57,216,99,189,118,39,73,73,50,68,46,39,41,51,51,38,35,45,39,29,44,32,35,-
