지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,
최대값,131,144,152,121,122,98,66,402,433,269,247,132,119,100,107,97,308,75,91,238,147,130,108,86,139,118,71,107,122,74
,(09시 봉암동),(14시 하동읍),(18시 사파동),(14시 용지동),(19시 사파동),(08시 회원동),(09시 상봉동),(04시 하동읍),(13시 용지동),(18시 봉암동),(11시 상봉동),(21시 웅남동),(18시 웅남동),(00시 아주동),(08시 상대동),(00시 용지동),(15시 상봉동),(16시 웅남동),(15시 봉암동),(15시 명서동),(08시 하동읍),(07시 웅상읍),(12시 북부동),(10시 아주동),(02시 웅상읍),(17시 북부동),(02시 북부동),(15시 명서동),(19시 회원동),(10시 하동읍)
[경남 거제시],71,74,56,35,42,51,26,124,154,140,42,34,62,45,39,56,44,28,42,44,51,39,37,49,55,52,39,37,34,-
아주동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 김해시],52,50,43,28,32,36,26,87,95,78,38,27,48,44,35,41,34,28,46,60,50,41,37,47,47,41,42,31,29,-
동상동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 김해시],60,62,52,35,35,38,24,121,116,94,43,29,53,45,39,46,39,29,49,51,48,39,34,46,49,46,45,33,34,-
삼방동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 김해시],58,63,45,28,30,35,23,104,110,101,45,22,56,55,37,45,35,25,45,55,51,45,37,46,44,45,39,28,25,-
장유동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 사천시],63,69,64,29,38,43,21,118,116,136,43,24,58,44,34,48,35,21,31,43,45,41,41,41,31,37,30,25,23,-
사천읍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 양산시],77,90,65,43,43,48,33,132,122,105,56,36,67,62,52,53,47,41,56,71,72,57,50,57,55,60,56,38,37,-
북부동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 양산시],66,86,55,39,39,38,25,126,127,84,43,28,61,50,52,51,45,40,53,55,54,53,38,59,56,54,48,36,31,-
웅상읍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 진주시],84,94,88,49,57,52,41,154,125,139,56,37,67,59,53,57,44,32,45,59,60,54,52,50,50,46,41,37,36,-
대안동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 진주시],82,84,72,46,50,45,28,117,121,130,52,30,62,54,49,47,41,27,34,45,44,41,38,35,34,30,24,23,23,-
상대동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 진주시],76,85,81,43,49,46,36,137,116,126,64,31,62,56,45,51,49,25,40,51,51,46,45,46,44,40,32,31,29,-
상봉동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 창원시],67,77,65,49,48,48,26,128,125,128,51,34,64,45,45,53,51,33,55,58,60,49,43,48,49,47,47,37,39,-
가음정동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 창원시],60,66,57,39,39,41,26,118,113,126,49,32,54,42,41,49,40,29,50,47,47,38,38,45,49,45,41,34,37,-
경화동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 창원시],68,72,65,43,42,46,24,136,128,131,57,34,59,46,41,53,45,27,53,73,60,57,45,52,57,49,44,39,44,-
명서동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 창원시],86,87,72,47,55,57,35,184,156,158,63,39,76,61,53,56,51,31,61,67,54,46,46,52,51,56,43,35,37,-
봉암동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 창원시],70,79,80,52,55,47,29,131,133,117,48,38,63,46,46,57,47,31,57,56,54,45,43,47,51,50,49,36,40,-
사파동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 창원시],73,80,74,53,50,50,34,139,140,124,57,40,68,57,56,60,46,34,64,66,61,52,50,55,56,58,54,41,46,-
용지동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 창원시],60,65,49,43,42,43,23,101,110,121,50,35,68,46,36,46,47,32,47,47,50,41,34,42,45,42,37,31,33,-
웅남동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 창원시],73,76,69,40,45,58,31,119,130,141,55,42,65,60,53,59,44,28,58,58,54,48,48,52,53,51,45,38,43,-
회원동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 하동군],80,85,88,54,56,58,47,196,147,138,48,37,69,53,54,64,51,36,48,63,75,53,53,52,53,49,45,37,38,-
하동읍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
