지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28
최대값,125,169,181,163,159,144,271,423,194,334,237,118,129,180,121,108,105,62,75,110,93,91,134,95,66,56,83,55,115,89
,(18시 성동구),(18시 성동구),(18시 성동구),(16시 서초구),(19시 성동구),(17시 성동구),(23시 도봉구),(01시 은평구),(11시 송파구),(14시 송파구),(00시 강동구),(00시 성북구),(19시 금천구),(01시 서초구),(14시 송파구),(15시 성동구),(13시 성동구),(19시 영등포구),(15시 성동구),(13시 성동구),(14시 성동구),(19시 성동구),(18시 성동구),(16시 성북구),(09시 강동구),(19시 은평구),(14시 성동구),(18시 은평구),(18시 성동구),(16시 서대문구)
[서울],57,79,81,88,64,63,54,200,93,161,123,38,68,73,50,55,47,34,42,45,49,41,31,44,34,27,42,23,38,36
강남구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],67,102,98,106,83,73,62,233,110,191,142,40,78,84,59,68,51,39,43,55,53,45,33,51,41,29,43,27,39,40
강동구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],52,80,77,87,67,51,46,160,77,141,117,42,59,66,41,45,33,26,24,34,35,24,25,36,28,19,25,15,23,26
강북구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],67,96,101,114,76,76,60,223,105,208,146,60,75,77,54,65,50,39,45,55,51,41,32,41,38,29,44,28,34,35
강서구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],67,93,99,106,66,62,57,165,89,174,111,47,77,77,55,58,45,39,46,52,50,43,37,46,41,34,39,30,39,40
관악구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],58,87,87,87,66,56,48,165,79,142,106,35,64,70,47,50,38,31,34,42,42,35,27,38,33,26,33,19,29,30
광진구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],63,93,99,110,70,63,56,210,97,196,128,42,75,73,49,65,47,36,45,51,48,38,32,42,40,27,41,28,33,38
구로구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],52,78,87,100,68,63,60,187,90,184,115,44,79,78,52,60,42,37,44,47,49,36,34,42,39,29,37,24,33,35
금천구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],61,88,86,83,66,60,50,165,77,135,124,47,65,75,51,52,36,34,33,44,43,34,31,44,36,26,34,23,32,34
노원구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],61,94,86,93,74,65,62,209,98,175,146,54,70,75,49,59,42,33,35,49,46,33,31,48,36,24,39,26,35,37
도봉구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],56,80,77,84,62,59,49,173,83,155,114,37,62,65,45,55,39,30,33,42,41,32,26,39,30,22,35,22,29,31
동대문구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],54,81,91,90,56,53,44,159,74,152,99,34,60,62,40,48,36,29,33,38,39,28,25,35,32,23,31,19,26,28
동작구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[서울],62,86,94,99,64,63,52,164,79,158,112,43,71,71,49,53,41,36,40,47,46,38,33,39,35,28,35,25,30,33
