지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,
최대값,230,214,162,116,131,135,77,351,514,261,186,92,216,176,148,115,150,119,208,151,163,431,152,161,202,127,152,109,106,174
,(17시 화산리),(17시 삼산동),(08시 화산리),(05시 대송동),(11시 삼산동),(08시 효문동),(10시 효문동),(16시 화산리),(15시 상남리),(16시 효문동),(01시 화산리),(10시 화산리),(23시 화산리),(09시 화산리),(10시 화산리),(13시 삼남면),(12시 여천동(울산)),(23시 야음동),(12시 야음동),(12시 화산리),(19시 효문동),(11시 화산리),(09시 화산리),(08시 화산리),(11시 화산리),(12시 부곡동(울산)),(11시 화산리),(09시 화산리),(13시 야음동),(09시 덕신리)
[울산 남구],59,77,49,29,42,40,32,123,101,72,53,28,53,55,50,47,45,44,54,50,57,43,38,59,56,51,45,33,26,-
무거동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[울산 남구],71,86,58,43,47,49,29,156,130,85,61,29,65,67,55,53,52,54,66,66,61,51,50,52,51,68,59,47,40,-
부곡동(울산),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[울산 남구],64,88,56,31,57,52,29,150,122,84,52,24,58,60,46,45,46,44,55,56,50,48,39,54,68,48,47,29,35,-
삼산동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[울산 남구],56,74,45,20,38,41,27,119,97,70,50,26,51,53,47,42,33,40,54,50,45,41,35,55,59,48,45,33,28,-
신정동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[울산 남구],73,93,59,34,56,62,39,152,136,82,68,39,73,76,67,61,59,62,90,74,68,59,51,74,85,65,70,46,56,-
야음동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[울산 남구],79,91,59,32,48,55,34,151,127,104,57,31,71,77,51,52,54,55,64,81,72,57,62,60,72,51,65,36,50,-
여천동(울산),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[울산 동구],77,93,57,35,39,44,37,171,128,118,67,42,76,67,53,64,61,49,55,70,78,64,60,67,72,60,68,36,39,-
대송동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[울산 북구],79,99,69,42,54,53,41,179,147,-,-,33,68,69,53,66,70,53,59,70,66,65,65,67,73,54,59,38,43,-
농소동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[울산 북구],80,104,60,31,51,64,52,158,115,111,62,34,78,77,66,52,56,52,58,80,85,71,59,61,88,56,83,35,41,-
효문동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[울산 울주군],60,70,49,27,36,34,19,136,113,71,46,25,53,49,43,39,41,46,57,48,48,43,40,69,51,51,46,40,41,-
덕신리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[울산 울주군],76,97,63,40,42,45,35,134,141,88,58,39,64,56,50,59,51,45,58,53,52,51,52,60,65,56,44,43,35,-
삼남면,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[울산 울주군],70,86,60,38,55,56,-,172,139,84,56,38,64,67,58,50,56,52,65,60,56,57,47,69,74,72,61,42,34,-
상남리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[울산 울주군],111,114,77,43,69,74,50,182,154,116,76,60,112,81,79,69,72,67,76,90,93,135,72,95,98,75,87,58,57,-
화산리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[울산 중구],61,77,48,27,51,51,38,134,99,78,60,33,59,69,56,47,44,52,64,58,53,54,45,60,77,57,54,38,35,-
성남동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
