지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28
최대값,67,71,60,27,46,64,48,73,68,100,88,51,84,75,56,45,42,44,74,79,72,50,46,61,79,81,86,50,67,48
,(11시 광복동),(11시 광복동),(06시 대연동),(06시 학장동),(08시 대저동),(04시 장림동),(08시 학장동),(12시 기장읍),(15시 대연동),(18시 대연동),(00시 대연동),(15시 연산동),(21시 학장동),(02시 학장동),(11시 수정동),(08시 청룡동),(20시 수정동),(20시 용수리),(12시 대연동),(08시 장림동),(04시 학장동),(03시 학장동),(03시 대연동),(10시 광복동),(09시 학장동),(02시 청룡동),(05시 장림동),(23시 녹산동),(22시 좌동),(06시 명장동)
[부산 강서구],37,37,26,16,24,26,20,28,30,50,24,23,35,37,27,19,13,16,34,43,31,26,26,37,37,31,34,15,17,24
녹산동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[부산 강서구],34,40,27,16,27,27,21,32,31,44,28,25,37,40,29,21,15,21,40,43,32,29,30,36,38,36,37,15,19,24
대저동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[부산 금정구],31,37,25,14,21,21,20,29,29,39,25,23,36,35,35,19,14,22,37,37,33,25,26,39,35,33,34,14,17,21
부곡동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[부산 금정구],34,41,28,19,23,24,23,34,34,41,28,26,38,37,35,23,18,25,35,36,35,29,29,42,36,39,34,17,19,24
청룡동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[부산 기장군],31,41,27,17,24,22,20,39,32,43,25,24,38,34,35,22,15,23,32,39,28,27,27,39,35,34,35,15,16,21
기장읍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[부산 기장군],25,32,21,9,16,18,13,31,24,29,30,18,33,31,33,18,14,26,33,33,33,27,24,39,35,39,29,20,18,19
용수리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[부산 남구],44,48,32,17,25,28,26,39,43,54,30,33,46,37,37,28,22,26,40,52,39,32,37,45,43,41,44,20,22,30
대연동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[부산 동구],34,39,44,12,20,23,19,28,30,43,23,24,37,33,34,21,17,22,30,54,32,25,31,42,41,36,35,18,19,21
수정동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[부산 동래구],33,42,29,16,26,27,25,34,34,45,29,27,44,37,37,21,18,25,39,43,34,28,29,44,38,33,35,16,17,26
명장동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[부산 부산진구],36,41,26,13,22,23,21,31,30,45,27,27,43,39,36,21,16,14,-,-,33,28,30,43,48,36,43,16,19,23
전포동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[부산 북구],26,33,21,9,15,16,15,25,23,34,19,20,30,29,22,14,9,9,31,30,24,21,21,29,28,27,28,9,10,15
덕천동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[부산 사상구],40,42,28,17,26,28,27,37,33,49,31,35,48,46,33,23,19,24,41,46,38,31,30,36,45,39,42,19,20,24
학장동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[부산 사하구],40,43,28,13,25,30,24,34,34,54,25,28,42,36,32,25,18,22,39,49,39,30,34,41,42,38,47,18,19,28
장림동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[부산 서구],39,41,27,13,19,23,20,31,33,46,24,27,40,36,35,24,16,23,36,47,31,28,29,38,42,36,41,18,20,21
대신동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[부산 연제구],32,39,25,13,19,24,20,29,29,40,24,26,37,35,32,19,13,19,34,38,29,27,25,41,36,32,35,15,17,22
연산동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[부산 영도구],40,40,21,9,14,18,20,28,32,46,18,19,30,21,26,22,12,15,23,37,27,23,25,32,29,28,32,10,11,20
태종대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[부산 중구],46,47,29,14,25,29,29,36,39,51,26,28,41,35,35,26,16,21,36,50,34,23,29,37,38,33,32,14,15,24
광복동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[부산 해운대구],34,42,24,12,18,17,17,33,34,46,24,31,43,35,35,27,19,26,33,44,37,32,36,43,40,39,43,18,22,27
좌동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
