지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28
최대값,81,75,100,60,61,59,56,104,45,95,73,40,68,72,49,35,24,36,45,50,66,141,47,43,37,41,58,24,40,46
,(06시 오창읍),(23시 문화동),(06시 문화동),(01시 진천읍),(08시 오창읍),(08시 오창읍),(06시 매포읍),(02시 칠금동),(13시 칠금동),(12시 사천동),(00시 오창읍),(21시 장락동),(21시 송정동(봉명동)),(03시 오창읍),(08시 송정동(봉명동)),(07시 사천동),(04시 호암동),(19시 호암동),(08시 문화동),(09시 송정동(봉명동)),(09시 매포읍),(08시 장락동),(09시 옥천읍),(09시 송정동(봉명동)),(09시 사천동),(04시 송정동(봉명동)),(10시 매포읍),(17시 호암동),(06시 매포읍),(14시 송정동(봉명동))
[충북 단양군],31,35,31,12,17,22,25,24,18,38,35,16,39,34,23,15,10,19,18,25,31,19,18,17,22,14,20,7,18,20
매포읍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[충북 옥천군],37,42,50,16,18,31,28,27,24,50,29,17,36,29,26,17,9,14,15,26,25,14,21,15,20,25,24,7,11,16
옥천읍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[충북 제천시],34,39,28,16,19,29,27,28,23,46,44,25,45,38,28,18,14,24,24,30,34,32,21,24,23,21,21,9,18,22
장락동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[충북 진천군],33,44,55,28,36,31,22,28,19,50,32,19,35,30,24,15,10,19,20,26,25,18,14,21,19,22,11,5,11,15
진천읍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[충북 청주시],42,47,54,17,25,33,24,34,20,54,34,18,42,29,26,18,10,19,25,26,27,18,21,19,18,25,20,6,13,17
문화동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[충북 청주시],40,45,53,24,32,35,24,36,21,60,36,19,40,30,26,19,12,18,24,30,29,22,21,22,23,24,19,4,13,20
사천동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[충북 청주시],40,46,55,24,38,38,29,32,19,55,36,20,47,36,33,19,13,22,26,33,30,25,29,27,26,29,26,11,18,28
송정동(봉명동),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[충북 청주시],43,49,56,26,35,38,27,33,23,65,39,24,42,41,31,20,14,20,25,29,29,20,20,21,21,24,22,8,14,20
오창읍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[충북 청주시],30,36,34,12,18,26,17,22,13,37,23,11,30,20,18,12,7,14,16,20,21,14,16,15,15,19,14,4,9,11
용암동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[충북 충주시],35,40,46,13,18,33,21,31,22,46,39,20,43,40,28,16,11,23,20,30,35,21,16,19,23,24,20,8,16,20
칠금동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[충북 충주시],31,36,39,12,19,31,21,31,20,42,36,18,39,31,26,16,13,21,20,29,33,20,14,18,22,18,16,8,13,16
호암동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
