지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28
최대값,76,80,117,87,55,82,64,89,59,218,54,46,70,73,57,41,35,28,45,51,57,40,29,38,43,37,41,31,27,38
,(20시 독곶리),(06시 난지도리),(09시 난지도리),(01시 난지도리),(11시 난지도리),(14시 난지도리),(23시 난지도리),(01시 난지도리),(16시 독곶리),(21시 모종동),(02시 백석동),(09시 난지도리),(19시 독곶리),(01시 독곶리),(15시 독곶리),(01시 독곶리),(01시 독곶리),(11시 모종동),(19시 독곶리),(23시 난지도리),(13시 난지도리),(10시 난지도리),(08시 백석동),(21시 난지도리),(09시 성황동),(10시 정곡리),(06시 난지도리),(01시 독곶리),(22시 독곶리),(12시 모종동)
[충남 당진군],40,64,64,49,35,45,35,41,34,63,42,30,43,43,27,23,16,18,25,36,32,29,22,27,31,21,24,14,19,21
난지도리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[충남 당진군],28,43,47,39,29,33,25,27,21,47,26,18,30,31,19,15,11,13,18,24,23,17,18,23,27,18,14,10,13,17
정곡리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[충남 서산시],32,52,59,34,28,33,26,27,23,36,24,13,27,27,16,13,10,7,17,23,17,10,13,16,17,10,11,8,9,9
독곶리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[충남 서산시],25,37,41,32,24,28,22,23,18,37,21,14,27,28,18,12,8,11,18,21,19,17,16,19,21,16,15,8,10,12
동문동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[충남 아산시],23,47,40,26,23,19,19,23,21,58,13,14,28,18,14,10,8,10,14,17,15,12,13,15,17,15,17,10,14,15
모종동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[충남 천안시],31,48,60,39,36,42,31,23,18,48,32,23,34,33,27,16,12,17,22,32,30,24,20,27,26,26,18,9,15,19
백석동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[충남 천안시],28,44,52,31,32,32,28,21,18,40,26,21,29,29,23,16,13,18,19,28,26,21,20,25,25,23,15,9,14,18
성황동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
