지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28
최대값,74,53,59,33,45,71,48,69,61,75,84,41,56,79,52,32,41,31,50,84,53,53,40,49,67,59,59,29,40,37
,(07시 수창동),(05시 수창동),(06시 노원동),(22시 노원동),(10시 이현동),(06시 노원동),(08시 수창동),(05시 노원동),(13시 태전동),(23시 태전동),(03시 호림동),(09시 노원동),(22시 수창동),(12시 노원동),(07시 수창동),(05시 노원동),(08시 이현동),(23시 수창동),(23시 이현동),(08시 수창동),(07시 수창동),(04시 노원동),(04시 수창동),(08시 이현동),(06시 노원동),(18시 노원동),(09시 노원동),(05시 이현동),(09시 노원동),(10시 수창동)
[대구 달서구],28,36,22,16,19,26,23,26,24,34,30,17,32,33,23,15,11,14,23,33,27,23,25,26,28,31,20,9,15,26
호림동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 달성군],22,31,23,17,20,19,17,16,16,24,17,13,23,25,17,12,9,12,20,27,25,19,22,23,21,23,17,9,13,21
현풍면,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 동구],25,35,18,13,17,26,24,32,24,31,30,18,30,31,24,13,10,12,23,30,23,20,24,26,26,31,10,5,12,24
서호동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 동구],23,32,20,12,15,22,26,28,23,31,30,23,34,33,24,15,11,14,24,28,22,18,23,28,28,35,27,7,14,27
신암동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 북구],29,35,22,14,23,30,32,39,26,36,39,27,39,47,31,16,15,17,20,37,27,25,26,32,40,39,30,11,19,28
노원동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 북구],24,36,25,12,19,26,24,29,26,34,32,19,31,35,22,13,11,12,23,29,21,15,19,26,27,30,23,8,12,22
태전동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 서구],28,31,19,11,21,30,25,25,20,30,29,23,35,41,25,13,11,13,26,37,25,20,21,25,27,35,25,8,14,26
이현동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 수성구],20,26,17,10,14,18,18,14,14,18,18,14,22,24,18,11,10,12,21,26,20,17,22,21,22,28,21,8,12,22
만촌동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 수성구],22,32,22,12,17,20,23,28,23,28,25,20,29,28,24,15,11,14,27,35,24,20,25,26,29,34,25,9,16,23
지산동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[대구 중구],31,35,21,12,18,23,24,27,24,31,30,22,37,35,28,15,11,14,28,41,25,18,24,27,27,35,27,8,14,26
수창동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
