지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28
최대값,60,64,88,54,58,55,53,130,113,95,72,45,66,94,49,50,26,35,40,44,48,38,44,46,59,35,30,21,29,35
,(07시 중앙동(원주)),(23시 명륜동),(05시 중앙동(원주)),(23시 석사동),(02시 석사동),(02시 석사동),(01시 명륜동),(21시 옥천동),(05시 옥천동),(15시 명륜동),(07시 명륜동),(00시 중앙로),(23시 명륜동),(14시 중앙로),(09시 중앙로),(03시 명륜동),(12시 명륜동),(05시 명륜동),(09시 명륜동),(11시 옥천동),(07시 명륜동),(08시 명륜동),(00시 옥천동),(22시 석사동),(19시 천곡동),(21시 옥천동),(13시 중앙로),(23시 명륜동),(09시 명륜동),(05시 명륜동)
[강원 강릉시],26,41,20,18,27,34,33,48,41,54,20,19,33,33,29,18,16,15,19,23,24,28,34,22,22,18,16,10,14,24
옥천동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[강원 동해시],24,38,17,14,19,28,31,29,16,29,24,19,34,26,27,15,14,14,17,-,24,23,31,23,26,19,13,6,8,16
천곡동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[강원 삼척시],25,38,19,13,18,29,33,28,17,30,21,19,31,25,28,14,12,15,18,23,23,22,32,19,26,22,14,7,10,17
남양동1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[강원 원주시],38,42,46,27,34,39,34,38,28,53,50,27,43,44,34,27,18,27,33,37,34,26,24,28,29,18,20,10,21,27
명륜동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[강원 원주시],33,36,44,24,27,32,27,27,20,45,46,23,41,42,28,22,13,24,15,25,30,20,18,24,27,16,15,6,16,22
중앙동(원주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[강원 춘천시],23,41,26,31,43,38,25,21,17,34,51,15,30,48,31,17,12,19,21,26,30,23,21,29,26,14,13,7,15,21
석사동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[강원 춘천시],35,45,25,32,39,36,27,31,24,43,56,17,39,58,37,18,14,22,19,23,26,19,19,25,26,15,13,5,14,19
중앙로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
