지점,,,,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28
최대값,54,61,85,35,46,58,50,98,119,81,80,49,60,69,43,34,28,63,45,58,54,41,58,78,61,60,56,25,31,36
,(04시 장흥동),(23시 4공단),(08시 신음동),(10시 대도동),(10시 신음동),(04시 장흥동),(07시 휴천동),(03시 휴천동),(09시 휴천동),(21시 휴천동),(05시 휴천동),(21시 휴천동),(21시 휴천동),(12시 중방동),(18시 대도동),(02시 4공단),(22시 장흥동),(01시 신음동),(09시 중방동),(22시 휴천동),(03시 4공단),(22시 휴천동),(08시 4공단),(08시 장흥동),(07시 대도동),(22시 중방동),(08시 중방동),(01시 장흥동),(12시 장흥동),(10시 중방동)
[경북 경산시],-,-,-,13,19,19,23,28,23,29,30,27,33,37,25,14,12,14,30,49,23,19,28,28,32,42,29,8,17,25
중방동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경북 구미시],29,36,29,12,17,25,26,31,25,41,41,18,35,37,24,15,11,15,19,27,28,16,24,27,19,21,23,6,11,20
4공단,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경북 구미시],25,31,26,10,12,21,20,24,19,35,25,12,20,18,18,11,6,9,11,23,18,9,13,15,16,15,20,11,12,21
원평동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경북 구미시],29,32,35,12,17,28,29,32,25,23,36,18,28,34,22,16,10,11,8,29,22,14,20,21,21,23,13,8,13,22
형곡동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경북 김천시],31,40,39,18,22,27,28,29,22,40,30,18,32,29,23,14,9,15,15,27,24,17,20,19,18,20,20,6,9,20
신음동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경북 영주시],34,36,24,16,22,29,30,42,39,41,47,21,42,48,31,19,13,18,22,31,35,25,28,25,27,25,20,12,15,16
휴천동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경북 포항시],22,34,17,13,17,29,23,29,24,33,34,17,32,31,29,14,12,15,17,28,20,18,25,23,30,29,26,7,15,24
대도동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경북 포항시],20,33,14,8,13,27,23,27,21,27,26,13,30,27,24,12,9,12,14,25,18,17,24,20,28,24,25,2,9,21
장량동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경북 포항시],25,35,16,15,22,30,24,32,27,34,33,19,33,28,29,15,15,20,22,28,23,21,25,31,31,35,29,13,16,23
장흥동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
