지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28
최대값,59,62,69,30,42,55,38,94,122,177,84,42,60,70,68,36,23,31,60,53,47,42,46,48,58,56,57,24,38,40
,(07시 회원동),(10시 경화동),(07시 상봉동),(12시 상대동),(23시 하동읍),(04시 북부동),(08시 상봉동),(05시 상봉동),(16시 사천읍),(17시 용지동),(01시 상봉동),(06시 회원동),(23시 북부동),(03시 북부동),(08시 상대동),(02시 상봉동),(09시 용지동),(10시 하동읍),(13시 경화동),(08시 장유동),(05시 북부동),(03시 북부동),(11시 사천읍),(08시 경화동),(07시 북부동),(23시 북부동),(03시 북부동),(20시 회원동),(23시 회원동),(04시 회원동)
[경남 거제시],31,38,27,15,23,28,15,48,41,53,20,17,24,20,16,19,15,14,27,25,26,20,19,23,23,24,18,14,14,15
아주동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 김해시],24,27,18,9,12,16,15,23,25,34,18,11,27,27,18,13,9,11,25,28,24,21,21,25,24,27,21,8,11,14
장유동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 사천시],26,27,31,11,18,20,12,27,28,44,17,12,25,22,16,14,9,9,15,21,22,20,22,24,16,20,14,7,12,15
사천읍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 양산시],28,38,20,14,20,25,21,30,25,42,27,22,36,39,31,16,13,22,37,36,32,27,29,35,34,37,33,12,17,20
북부동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 진주시],28,31,32,14,22,23,19,24,26,43,21,13,28,27,24,16,11,11,18,25,24,23,25,22,22,20,15,8,14,25
상대동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 진주시],34,40,41,16,26,28,27,36,28,59,28,17,33,33,25,21,13,14,23,30,29,25,28,27,27,26,19,13,18,26
상봉동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 창원시],26,33,25,20,22,22,16,23,26,37,21,20,28,22,22,17,16,17,29,28,27,24,25,26,26,26,25,14,17,19
가음정동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경남 창원시],34,39,30,14,23,26,20,,,,,,,,,,,,,,,,,,,,,,,
경화동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
