지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28
최대값,81,86,160,123,77,80,49,79,77,116,78,61,79,87,67,31,24,36,66,57,64,56,40,82,58,40,47,31,36,67
,(09시 신흥),(22시 연희),(09시 송림),(02시 석남),(22시 계산),(10시 송림),(23시 계산),(15시 원당),(03시 운서),(11시 원당),(16시 원당),(03시 운서),(23시 신흥),(04시 석남),(05시 신흥),(00시 계산),(23시 계산),(12시 계산),(12시 숭의),(04시 신흥),(07시 신흥),(10시 숭의),(04시 구월동),(12시 숭의),(09시 신흥),(03시 신흥),(08시 구월동),(15시 부평),(22시 구월동),(14시 동춘)
[인천 강화군],27,52,46,37,28,27,15,27,14,42,33,21,25,47,24,7,6,8,10,18,16,11,16,16,14,10,8,5,7,9
송해,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 계양구],38,60,70,61,37,40,29,32,24,57,46,35,46,59,35,19,15,26,21,36,32,25,20,28,26,21,23,12,21,24
계산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 남구],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,17,33,39,32,26,23,32,35,22,18,10,14,23
숭의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 남동구],23,38,45,40,28,27,18,14,11,29,19,11,21,32,14,7,4,8,13,22,21,14,11,14,17,9,8,4,8,11
고잔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 남동구],33,53,64,60,35,35,26,30,22,51,41,27,40,53,31,17,12,19,28,29,27,26,24,24,27,20,21,11,20,20
구월동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 남동구],31,48,55,47,36,33,27,36,24,55,41,24,36,41,24,18,13,15,22,30,29,24,21,21,26,18,15,10,15,19
논현,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 동구],32,48,67,47,39,36,27,21,17,37,30,21,31,40,22,12,10,14,22,29,26,21,20,24,26,15,14,9,13,17
송림,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 부평구],33,54,71,60,40,37,31,22,25,39,30,22,37,47,27,15,12,16,27,30,28,25,20,24,25,18,17,12,15,21
부평,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 서구],32,49,63,49,30,34,23,22,18,37,29,22,34,48,25,12,9,15,20,28,26,20,16,19,21,12,14,7,11,13
검단,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 서구],32,58,74,65,40,36,29,19,17,41,34,25,34,54,29,13,9,14,28,34,31,26,20,22,23,14,17,7,11,13
석남,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 서구],39,59,69,61,36,38,28,38,23,42,33,24,39,52,29,17,12,17,26,35,38,20,18,24,22,15,20,10,15,21
연희,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 서구],30,48,57,45,32,33,23,40,23,60,48,25,25,45,24,15,10,14,17,29,25,18,15,20,23,10,14,7,10,14
원당,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 연수구],30,47,55,49,33,33,27,41,24,54,40,24,34,42,24,20,14,15,20,30,29,20,17,22,26,19,14,10,14,25
동춘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 중구],38,66,81,88,-,-,-,-,-,-,-,-,64,60,37,18,12,20,29,37,38,35,26,34,35,23,22,11,16,23
신흥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[인천 중구],33,56,60,40,39,42,-,-,26,42,34,28,35,48,26,5,-,13,19,25,21,17,15,20,21,15,11,7,10,15
운서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
