지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28
최대값,53,80,65,31,43,57,44,75,69,63,52,30,52,67,64,32,25,56,41,51,45,43,40,51,44,45,50,18,50,38
,(10시 태인동),(03시 용당동),(12시 장천동),(07시 여천동(여수)),(14시 장천동),(07시 여천동(여수)),(04시 부흥동),(04시 장천동),(14시 부흥동),(09시 장천동),(00시 진상면),(01시 부흥동),(19시 용당동),(11시 진상면),(11시 진상면),(01시 부흥동),(21시 나불리),(12시 태인동),(17시 진상면),(10시 중동),(01시 여천동(여수)),(10시 중동),(19시 태인동),(14시 태인동),(12시 태인동),(12시 태인동),(09시 태인동),(09시 나불리),(13시 진상면),(10시 진상면)
[전남 광양시],27,29,36,14,22,25,19,24,25,40,14,12,22,23,15,13,9,9,13,19,21,15,21,24,14,17,16,6,12,14
광양읍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전남 광양시],28,34,36,14,23,27,19,25,26,38,13,14,27,24,20,14,11,15,19,28,26,22,23,25,21,24,19,9,18,20
중동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전남 광양시],30,35,39,11,23,27,25,29,30,39,17,13,25,32,24,16,10,14,18,25,22,20,21,22,18,26,17,7,18,18
진상면,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전남 광양시],34,38,37,17,25,30,21,28,30,46,17,16,30,25,24,17,12,19,22,30,30,27,27,31,27,26,22,12,23,25
태인동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전남 목포시],31,40,38,-,-,26,17,33,41,33,11,16,30,20,15,18,11,12,19,22,19,15,19,23,17,14,10,7,9,9
부흥동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전남 목포시],35,51,44,17,27,25,23,27,35,31,12,18,32,22,16,19,11,14,20,24,18,16,19,22,17,14,10,6,9,9
용당동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전남 순천시],23,29,31,14,22,25,19,20,24,40,13,13,24,24,16,12,8,8,15,18,20,13,21,24,17,17,14,5,10,16
연향동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전남 순천시],31,36,44,18,25,31,22,28,32,50,18,16,26,29,20,17,12,12,18,22,27,17,25,29,21,21,19,10,14,20
장천동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전남 여수시],26,32,27,9,14,22,13,28,28,47,11,12,22,20,17,12,8,11,20,23,21,14,20,23,21,17,21,6,16,12
광무동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전남 여수시],28,35,32,13,19,27,15,27,30,45,13,15,24,20,16,14,9,11,20,22,24,16,20,25,20,17,19,8,14,15
여천동(여수),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[전남 영암군],37,46,38,20,27,27,21,28,33,31,14,18,33,29,-,-,18,19,27,28,22,19,22,26,23,16,14,12,11,14
나불리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
