gungu,5-1,5-2,5-3,5-4,5-5,5-6,5-7,5-8,5-9,5-10,5-11,5-12,5-13,5-14,5-15,5-16,5-17,5-18,5-19,5-20,5-21,5-22,5-23,5-24,5-25,5-26,5-27,5-28,5-29,5-30,5-31
강서구,68,43,41,44,28,128,132,134,54,35,60,54,40,50,44,28,49,65,55,45,39,50,53,42,52,37,35,37,51,86,54
강서구,65,35,47,45,28,133,127,120,61,33,65,62,45,57,45,34,53,63,52,47,40,46,52,49,51,35,36,35,58,84,66
금정구,56,34,39,40,30,121,116,98,54,35,65,54,50,53,44,37,50,60,53,44,37,53,48,45,48,35,34,34,51,70,61
금정구,65,41,41,43,32,134,123,100,53,35,65,56,52,57,47,41,53,59,58,53,44,58,53,53,50,39,37,39,60,75,73
기장군,61,38,41,38,29,149,124,108,51,35,66,52,52,53,45,41,55,63,52,47,41,57,58,50,54,39,35,36,58,79,63
기장군,56,33,37,37,23,132,116,84,46,29,56,46,46,48,43,38,49,51,51,44,35,56,51,52,42,39,32,33,58,60,63
남구,61,35,38,44,35,129,142,135,59,42,73,54,51,63,48,37,57,70,60,50,48,62,65,54,60,42,41,42,64,94,60
동구,91,32,43,47,32,147,158,145,60,37,75,58,54,68,51,43,55,86,63,52,51,68,74,59,59,46,42,39,65,103,65
동래구,72,50,60,54,43,143,145,127,67,47,78,63,59,67,63,53,67,70,68,59,52,71,67,57,62,53,49,54,72,97,72
부산진구,64,30,39,42,30,135,136,126,55,34,69,55,50,55,45,21,-,-,57,46,39,57,66,47,56,36,35,36,57,91,58
북구,50,24,31,34,28,106,97,91,48,34,57,56,45,44,32,17,54,51,44,38,34,44,49,44,48,30,26,28,50,74,64
사상구,60,38,44,41,31,133,142,136,60,48,80,62,46,58,57,36,59,71,67,53,45,48,70,55,69,52,44,49,80,109,82
사하구,59,33,44,49,31,129,134,141,53,38,65,51,44,58,48,36,58,72,68,50,46,54,59,47,66,42,35,39,54,90,52
서구,59,32,33,38,25,129,137,122,51,34,70,58,50,60,45,35,54,70,55,45,40,50,60,50,61,39,35,31,57,86,54
연제구,57,27,30,35,22,117,125,108,51,30,61,49,45,48,37,30,48,56,47,40,31,51,52,41,49,38,29,30,49,71,50
영도구,53,24,31,38,32,136,157,176,53,32,60,40,41,63,39,26,44,61,55,44,41,53,55,46,53,30,27,35,46,70,31
중구,60,33,42,46,34,135,155,147,62,38,68,50,46,65,50,34,52,67,53,39,34,45,47,36,39,32,31,33,44,65,32
해운대구,59,33,44,43,40,136,137,135,60,43,71,56,51,62,49,39,52,64,59,51,51,60,60,54,61,41,39,44,57,80,54
동구,72,43,56,61,44,142,148,148,68,48,88,77,71,65,52,56,81,87,69,61,60,79,86,71,74,56,53,45,70,122,89
동래구,64,39,44,47,36,109,116,103,56,40,65,60,50,57,48,45,60,57,57,48,43,60,65,51,59,48,44,43,63,81,65
