buoy,date,speed,direction,code
Sinan,2016-01-01 00,0.6,71,ENE
Sinan,2016-01-01 01,1,47,NE
Sinan,2016-01-01 02,1.2,336,NNW
Sinan,2016-01-01 03,2.9,33,NNE
Sinan,2016-01-01 04,1.6,339,NNW
Sinan,2016-01-01 05,2.6,333,NNW
Sinan,2016-01-01 06,3,188,S
Sinan,2016-01-01 07,2.7,44,NE
Sinan,2016-01-01 08,2.8,70,ENE
Sinan,2016-01-01 09,2.5,36,NE
Sinan,2016-01-01 10,0.7,35,NE
Sinan,2016-01-01 11,2.3,330,NNW
Sinan,2016-01-01 12,1.3,37,NE
Sinan,2016-01-01 13,1.6,320,NW
Sinan,2016-01-01 14,0.8,58,ENE
Sinan,2016-01-01 15,0.3,125,SE
Sinan,2016-01-01 16,4.3,266,W
Sinan,2016-01-01 17,3.4,189,S
Sinan,2016-01-01 18,3.7,303,WNW
Sinan,2016-01-01 19,3.7,251,WSW
Sinan,2016-01-01 20,1.5,261,W
Sinan,2016-01-01 21,1.4,262,W
Sinan,2016-01-01 22,1.1,264,W
Sinan,2016-01-01 23,2.4,154,SSE
Sinan,2016-01-02 00,3,153,SSE
Sinan,2016-01-02 01,1.7,139,SE
Sinan,2016-01-02 02,3.2,130,SE
Sinan,2016-01-02 03,4.8,153,SSE
Sinan,2016-01-02 04,3.7,127,SE
Sinan,2016-01-02 05,2.4,162,SSE
Sinan,2016-01-02 06,3.4,125,SE
Sinan,2016-01-02 07,2.7,134,SE
Sinan,2016-01-02 08,3.6,133,SE
Sinan,2016-01-02 09,3.9,136,SE
Sinan,2016-01-02 10,2.1,66,ENE
Sinan,2016-01-02 11,2.5,117,ESE
Sinan,2016-01-02 12,0.6,320,NW
Sinan,2016-01-02 13,0.5,188,S
Sinan,2016-01-02 14,2.3,113,ESE
Sinan,2016-01-02 15,1.4,202,SSW
Sinan,2016-01-02 16,2,193,SSW
Sinan,2016-01-02 17,2.2,176,S
Sinan,2016-01-02 18,0.8,196,SSW
Sinan,2016-01-02 19,1.2,56,NE
Sinan,2016-01-02 20,2,153,SSE
Sinan,2016-01-02 21,1.6,161,SSE
Sinan,2016-01-02 22,2.7,149,SSE
Sinan,2016-01-02 23,2.6,142,SE
Sinan,2016-01-03 00,0.9,88,E
Sinan,2016-01-03 01,0.2,10,N
Sinan,2016-01-03 02,1.6,142,SE
Sinan,2016-01-03 03,0.3,93,E
Sinan,2016-01-03 04,0.5,336,NNW
Sinan,2016-01-03 05,0.6,214,SW
Sinan,2016-01-03 06,1.3,245,WSW
Sinan,2016-01-03 07,1.8,234,SW
Sinan,2016-01-03 08,1.6,321,NW
Sinan,2016-01-03 09,0.2,355,N
Sinan,2016-01-03 10,0.6,116,ESE
Sinan,2016-01-03 11,0.4,87,E
Sinan,2016-01-03 12,0.4,304,NW
Sinan,2016-01-03 13,0.7,175,S
Sinan,2016-01-03 14,2.4,200,SSW
Sinan,2016-01-03 15,1.7,204,SSW
Sinan,2016-01-03 16,2.2,174,S
Sinan,2016-01-03 17,1.2,257,WSW
Sinan,2016-01-03 18,1.2,174,S
Sinan,2016-01-03 19,2,192,SSW
Sinan,2016-01-03 20,2.4,184,S
Sinan,2016-01-03 21,1.9,74,ENE
Sinan,2016-01-03 22,3.3,133,SE
Sinan,2016-01-03 23,1,130,SE
Sinan,2016-01-04 00,1.2,160,SSE
Sinan,2016-01-04 01,2.6,250,WSW
Sinan,2016-01-04 02,1.8,250,WSW
Sinan,2016-01-04 03,2.1,333,NNW
Sinan,2016-01-04 04,2,349,N
Sinan,2016-01-04 05,2.8,343,NNW
Sinan,2016-01-04 06,4.8,352,N
Sinan,2016-01-04 07,4,9,N
Sinan,2016-01-04 08,6.3,15,NNE
Sinan,2016-01-04 09,4.6,18,NNE
Sinan,2016-01-04 10,6.2,36,NE
Sinan,2016-01-04 11,7.6,31,NNE
Sinan,2016-01-04 12,7.1,27,NNE
Sinan,2016-01-04 13,6.9,8,N
Sinan,2016-01-04 14,6.4,29,NNE
Sinan,2016-01-04 15,8.9,16,NNE
Sinan,2016-01-04 16,5.9,18,NNE
