DATE1,LOC,a_pm10,a_pm25
20160101,강원,55.8403,48.7364
20160101,경기,76.4510,49.3881
20160101,경남,55.4076,40.1221
20160101,경북,55.8309,46.6250
20160101,광주,61.5833,42.9821
20160101,대구,65.9721,44.8730
20160101,대전,54.9042,44.1250
20160101,부산,55.4245,46.0511
20160101,서울,69.9798,43.5061
20160101,세종,62.2292,0.0000
20160101,Ulsan,48.7913,36.2917
20160101,인천,61.3406,45.7727
20160101,전남,51.0051,40.0000
20160101,전북,61.9008,48.2935
20160101,제주,52.1771,36.5765
20160101,충남,47.5208,49.5263
20160101,충북,68.0492,55.2792
20160102,강원,49.3243,41.6338
20160102,경기,58.0323,35.2944
20160102,경남,62.3030,42.5833
20160102,경북,51.4167,40.2391
20160102,광주,61.5231,40.2500
20160102,대구,67.8502,44.4531
20160102,대전,48.4500,31.4583
20160102,부산,59.3821,46.6199
20160102,서울,53.5830,30.9466
20160102,세종,52.2917,0.0000
20160102,Ulsan,53.1972,36.0139
20160102,인천,50.6481,37.1406
20160102,전남,50.2500,40.7085
20160102,전북,55.6979,40.0211
20160102,제주,44.1789,30.2442
20160102,충남,43.9707,32.8750
20160102,충북,54.5606,40.7083
20160103,강원,68.2034,56.6831
20160103,경기,97.9524,57.9553
20160103,경남,60.7553,41.3270
20160103,경북,57.5244,53.6667
20160103,광주,67.6852,45.0893
20160103,대구,72.4231,46.6073
20160103,대전,61.8608,45.2609
20160103,부산,60.6064,46.6646
20160103,서울,98.5324,57.7521
20160103,세종,67.3333,0.0000
20160103,Ulsan,60.8694,39.3427
20160103,인천,90.9582,70.7181
20160103,전남,51.7843,38.8559
20160103,전북,69.4694,58.2809
20160103,제주,60.7419,45.1884
20160103,충남,64.3458,57.2917
20160103,충북,72.3485,56.8824
20160104,강원,73.8583,58.3264
20160104,경기,84.8138,48.9577
20160104,경남,68.8642,49.7713
20160104,경북,79.3107,61.1042
20160104,광주,80.3785,55.7470
20160104,대구,74.4161,47.1316
20160104,대전,82.1042,63.1667
20160104,부산,81.4037,62.6270
20160104,서울,78.6567,46.8711
20160104,세종,71.5625,0.0000
20160104,Ulsan,73.6966,48.4786
20160104,인천,70.8768,52.5284
20160104,전남,81.5012,56.7026
20160104,전북,98.0917,72.3636
20160104,제주,117.9255,87.6800
20160104,충남,64.3290,62.1364
20160104,충북,82.1776,61.4958
20160105,강원,26.9780,17.5504
20160105,경기,39.0441,17.7151
20160105,경남,46.7022,28.7266
20160105,경북,23.5035,16.4318
20160105,광주,24.9194,14.1758
20160105,대구,31.2939,17.8696
20160105,대전,32.4000,16.4762
20160105,부산,45.6000,30.1122
20160105,서울,33.7587,16.3946
20160105,세종,33.2917,0.0000
20160105,Ulsan,34.4956,13.6331
20160105,인천,35.5761,15.7838
20160105,전남,29.2935,20.8945
20160105,전북,36.0882,19.8280
20160105,제주,42.0211,27.8000
20160105,충남,30.1682,17.4091
20160105,충북,32.2738,19.1500
