buoy,date,time,speed,direction,code
Uljin,2016-01-01,0,6.9,263,W
Uljin,2016-01-01,1,6.9,265,W
Uljin,2016-01-01,2,6.5,262,W
Uljin,2016-01-01,3,5.6,261,W
Uljin,2016-01-01,4,5.1,254,WSW
Uljin,2016-01-01,5,6.4,277,W
Uljin,2016-01-01,6,4.8,305,NW
Uljin,2016-01-01,7,3.8,314,NW
Uljin,2016-01-01,8,5,290,WNW
Uljin,2016-01-01,9,5.2,321,NW
Uljin,2016-01-01,10,3.4,305,NW
Uljin,2016-01-01,11,3.2,266,W
Uljin,2016-01-01,12,3.8,237,WSW
Uljin,2016-01-01,13,4.6,231,SW
Uljin,2016-01-01,14,4.4,229,SW
Uljin,2016-01-01,15,3.5,259,W
Uljin,2016-01-01,16,4.8,228,SW
Uljin,2016-01-01,17,6.2,233,SW
Uljin,2016-01-01,18,7.2,248,WSW
Uljin,2016-01-01,19,7.8,248,WSW
Uljin,2016-01-01,20,8.9,255,WSW
Uljin,2016-01-01,21,8.2,250,WSW
Uljin,2016-01-01,22,8.8,269,W
Uljin,2016-01-01,23,8.5,275,W
Uljin,2016-01-02,0,10.6,256,WSW
Uljin,2016-01-02,1,8.9,260,W
Uljin,2016-01-02,2,9.2,240,WSW
Uljin,2016-01-02,3,10.1,250,WSW
Uljin,2016-01-02,4,10.7,260,W
Uljin,2016-01-02,5,10.5,237,WSW
Uljin,2016-01-02,6,12.9,291,WNW
Uljin,2016-01-02,7,12.8,273,W
Uljin,2016-01-02,8,12.2,251,WSW
Uljin,2016-01-02,9,11,252,WSW
Uljin,2016-01-02,10,11.3,247,WSW
Uljin,2016-01-02,11,10.4,248,WSW
Uljin,2016-01-02,12,8.3,246,WSW
Uljin,2016-01-02,13,6.8,237,WSW
Uljin,2016-01-02,14,5.5,239,WSW
Uljin,2016-01-02,15,5,233,SW
Uljin,2016-01-02,16,8.1,258,WSW
Uljin,2016-01-02,17,6.2,248,WSW
Uljin,2016-01-02,18,9.9,242,WSW
Uljin,2016-01-02,19,7.1,252,WSW
Uljin,2016-01-02,20,7.9,264,W
Uljin,2016-01-02,21,5.8,282,WNW
Uljin,2016-01-02,22,9.1,278,W
Uljin,2016-01-02,23,8.6,260,W
Uljin,2016-01-03,0,8.6,247,WSW
Uljin,2016-01-03,1,11,251,WSW
Uljin,2016-01-03,2,9.6,272,W
Uljin,2016-01-03,3,6.2,262,W
Uljin,2016-01-03,4,6.9,276,W
Uljin,2016-01-03,5,6.2,280,W
Uljin,2016-01-03,6,3.3,278,W
Uljin,2016-01-03,7,2.8,268,W
Uljin,2016-01-03,8,2.8,269,W
Uljin,2016-01-03,9,2.2,344,NNW
Uljin,2016-01-03,10,2.6,258,WSW
Uljin,2016-01-03,11,1,234,SW
Uljin,2016-01-03,12,1.2,222,SW
Uljin,2016-01-03,13,1.1,231,SW
Uljin,2016-01-03,14,1.3,204,SSW
Uljin,2016-01-03,15,1.7,126,SE
Uljin,2016-01-03,16,2.2,119,ESE
Uljin,2016-01-03,17,3.8,121,ESE
Uljin,2016-01-03,18,3.3,131,SE
Uljin,2016-01-03,19,3.9,120,ESE
Uljin,2016-01-03,20,4.1,251,WSW
Uljin,2016-01-03,21,6.5,248,WSW
Uljin,2016-01-03,22,5.4,265,W
Uljin,2016-01-03,23,4.1,277,W
Uljin,2016-01-04,0,5,249,WSW
Uljin,2016-01-04,1,8.1,249,WSW
Uljin,2016-01-04,2,8.6,261,W
Uljin,2016-01-04,3,8.5,282,WNW
Uljin,2016-01-04,4,8.9,278,W
Uljin,2016-01-04,5,10.3,236,SW
Uljin,2016-01-04,6,9.3,261,W
Uljin,2016-01-04,7,7.5,260,W
Uljin,2016-01-04,8,6.8,271,W
Uljin,2016-01-04,9,7.8,262,W
Uljin,2016-01-04,10,6.8,279,W
Uljin,2016-01-04,11,6.5,285,WNW
Uljin,2016-01-04,12,6.7,285,WNW
Uljin,2016-01-04,13,5.2,300,WNW
Uljin,2016-01-04,14,5.3,342,NNW
Uljin,2016-01-04,15,2.7,252,WSW
Uljin,2016-01-04,16,1.5,208,SSW
