buoy,date,speed,direction,code
울산,2016-01-01 00,2.9,340,NNW
울산,2016-01-01 01,2.2,345,NNW
울산,2016-01-01 02,2.8,295,WNW
울산,2016-01-01 03,3.2,285,WNW
울산,2016-01-01 04,3.9,278,W
울산,2016-01-01 05,4.6,280,W
울산,2016-01-01 06,3,285,WNW
울산,2016-01-01 07,4.6,279,W
울산,2016-01-01 08,4.1,306,NW
울산,2016-01-01 09,5.7,325,NW
울산,2016-01-01 10,5.6,299,WNW
울산,2016-01-01 11,5.8,284,WNW
울산,2016-01-01 12,4.6,280,W
울산,2016-01-01 13,5.1,281,W
울산,2016-01-01 14,6.2,232,SW
울산,2016-01-01 15,5.9,250,WSW
울산,2016-01-01 16,7.3,233,SW
울산,2016-01-01 17,9.4,239,WSW
울산,2016-01-01 18,9.5,249,WSW
울산,2016-01-01 19,10.5,242,WSW
울산,2016-01-01 20,9.6,239,WSW
울산,2016-01-01 21,9.7,254,WSW
울산,2016-01-01 22,10.3,257,WSW
울산,2016-01-01 23,10.5,253,WSW
울산,2016-01-02 00,11.3,268,W
울산,2016-01-02 01,10.5,256,WSW
울산,2016-01-02 02,11.4,256,WSW
울산,2016-01-02 03,12.3,267,W
울산,2016-01-02 04,14.6,264,W
울산,2016-01-02 05,12.7,292,WNW
울산,2016-01-02 06,9.6,287,WNW
울산,2016-01-02 07,7.4,280,W
울산,2016-01-02 08,4.8,294,WNW
울산,2016-01-02 09,5.7,276,W
울산,2016-01-02 10,7,262,W
울산,2016-01-02 11,8.2,272,W
울산,2016-01-02 12,9.2,251,WSW
울산,2016-01-02 13,8.8,268,W
울산,2016-01-02 14,9,246,WSW
울산,2016-01-02 15,10,256,WSW
울산,2016-01-02 16,10,255,WSW
울산,2016-01-02 17,10.5,242,WSW
울산,2016-01-02 18,10,250,WSW
울산,2016-01-02 19,10.2,250,WSW
울산,2016-01-02 20,8.9,239,WSW
울산,2016-01-02 21,8.3,264,W
울산,2016-01-02 22,7.5,261,W
울산,2016-01-02 23,7.1,262,W
울산,2016-01-03 00,7.2,252,WSW
울산,2016-01-03 01,6.7,266,W
울산,2016-01-03 02,6.1,263,W
울산,2016-01-03 03,5.9,266,W
울산,2016-01-03 04,3.5,297,WNW
울산,2016-01-03 05,2.3,317,NW
울산,2016-01-03 06,2,333,NNW
울산,2016-01-03 07,1.7,312,NW
울산,2016-01-03 08,0.7,278,W
울산,2016-01-03 09,0.7,219,SW
울산,2016-01-03 10,0.6,186,S
울산,2016-01-03 11,0.6,215,SW
울산,2016-01-03 12,1.3,172,S
울산,2016-01-03 13,3.3,248,WSW
울산,2016-01-03 14,3.6,240,WSW
울산,2016-01-03 15,4.9,232,SW
울산,2016-01-03 16,5.9,234,SW
울산,2016-01-03 17,6.6,230,SW
울산,2016-01-03 18,6.8,246,WSW
울산,2016-01-03 19,7.3,242,WSW
울산,2016-01-03 20,7.6,248,WSW
울산,2016-01-03 21,8.2,237,WSW
울산,2016-01-03 22,8.3,245,WSW
울산,2016-01-03 23,7.8,268,W
울산,2016-01-04 00,7.9,245,WSW
울산,2016-01-04 01,7.3,261,W
울산,2016-01-04 02,7.6,261,W
울산,2016-01-04 03,9.5,256,WSW
울산,2016-01-04 04,7.9,278,W
울산,2016-01-04 05,4.4,313,NW
울산,2016-01-04 06,4.8,325,NW
울산,2016-01-04 07,7.3,353,N
울산,2016-01-04 08,7.7,336,NNW
울산,2016-01-04 09,6.6,346,NNW
울산,2016-01-04 10,4.5,356,N
울산,2016-01-04 11,4.4,344,NNW
울산,2016-01-04 12,5.5,341,NNW
울산,2016-01-04 13,5.7,336,NNW
울산,2016-01-04 14,6,354,N
울산,2016-01-04 15,5.9,2,N
울산,2016-01-04 16,5.1,4,N
울산,2016-01-04 17,4,351,N
울산,2016-01-04 18,6.1,321,NW
울산,2016-01-04 19,8.4,333,NNW
울산,2016-01-04 20,8.9,315,NW
울산,2016-01-04 21,7.2,314,NW
울산,2016-01-04 22,8.6,321,NW
울산,2016-01-04 23,8.1,293,WNW
울산,2016-01-05 00,7.7,331,NNW
울산,2016-01-05 01,6.5,319,NW
울산,2016-01-05 02,6.6,310,NW
울산,2016-01-05 03,4.2,323,NW
울산,2016-01-05 04,5.5,345,NNW
울산,2016-01-05 05,6.2,359,N
울산,2016-01-05 06,9.2,9,N
울산,2016-01-05 07,7.6,339,NNW
울산,2016-01-05 08,8.8,347,NNW
울산,2016-01-05 09,8.9,348,NNW
울산,2016-01-05 10,8.4,347,NNW
울산,2016-01-05 11,8.4,359,N
울산,2016-01-05 12,6.4,336,NNW
울산,2016-01-05 13,4.7,314,NW
울산,2016-01-05 14,4,275,W
울산,2016-01-05 15,4.2,297,WNW
울산,2016-01-05 16,3.6,281,W
울산,2016-01-05 17,3.6,341,NNW
울산,2016-01-05 18,4.5,338,NNW
울산,2016-01-05 19,5.8,347,NNW
울산,2016-01-05 20,5.5,358,N
울산,2016-01-05 21,5.6,333,NNW
울산,2016-01-05 22,6.3,329,NNW
울산,2016-01-05 23,6.2,333,NNW
울산,2016-01-06 00,6.6,352,N
울산,2016-01-06 01,6.1,10,N
울산,2016-01-06 02,5.7,329,NNW
울산,2016-01-06 03,6.8,330,NNW
울산,2016-01-06 04,7.3,350,N
울산,2016-01-06 05,7.1,329,NNW
울산,2016-01-06 06,9.8,326,NW
울산,2016-01-06 07,10.8,323,NW
울산,2016-01-06 08,10.1,323,NW
울산,2016-01-06 09,8.9,345,NNW
울산,2016-01-06 10,9.9,313,NW
울산,2016-01-06 11,9.1,330,NNW
울산,2016-01-06 12,9.2,344,NNW
