buoy,date,speed,direction,code,lat,lon
울릉도,2017-06-02 00,15.3,12.0,NNE,37.5063677,130.8549649
덕적도,2017-06-02 00,5.6,289.0,WNW,37.2376713,126.1257618
칠발도,2017-06-02 00,4.2,293.0,WNW,34.4716,125.4718
거문도,2017-06-02 00,6.0,292.0,WNW,34.0485456,127.3161459
거제도,2017-06-02 00,2.7,67.0,ENE,34.8869142,128.6216859
동해,2017-06-02 00,8.3,29.0,NNE,37.5156793,129.0580591
포항,2017-06-02 00,11.3,26.0,NNE,36.0192796,129.2995591
마라도,2017-06-02 00,7.2,2.0,N,33.1206371,126.2649317
외연도,2017-06-02 00,7.3,324.0,NW,36.2028883,125.9779714
신안,2017-06-02 00,2.4,281.0,W,34.8340627,125.5301644
추자도,2017-06-02 00,5.8,343.0,NNW,33.9470135,126.3179082
인천,2017-06-02 00,7.0,324.0,NW,37.4644673,126.5342622
부안,2017-06-02 00,6.4,314.0,NW,35.6824492,126.5091913
서귀포,2017-06-02 00,3.9,348.0,NNW,33.2501988,126.5499903
통영,2017-06-02 00,7.0,281.0,W,34.856045,128.3837303
울산,2017-06-02 00,3.5,3.0,N,35.561969,129.2114119
울진,2017-06-02 00,8.1,9.0,N,36.8946832,128.9958665
